date,open,high,low,close,volume
2020-06-15,0.3554,0.3567,0.3208,0.3443,10998292.25
2020-06-16,0.3443,0.3553,0.3383,0.343,4849920.88
2020-06-17,0.343,0.3468,0.3337,0.3415,3465114.92
2020-06-18,0.3415,0.3427,0.3292,0.3311,3496811.81
2020-06-19,0.3311,0.3424,0.3245,0.3315,4731403.13
2020-06-20,0.3315,0.3596,0.331,0.3499,8471278.95
2020-06-21,0.3499,0.3577,0.3426,0.3462,6011138.96
2020-06-22,0.3462,0.3637,0.3459,0.355,6193396.32
2020-06-23,0.355,0.3672,0.3496,0.3633,5269920.63
2020-06-24,0.3633,0.3751,0.3335,0.3438,8306054.74
2020-06-25,0.3438,0.3478,0.3301,0.3347,5604143.79
2020-06-26,0.3347,0.3629,0.3321,0.3513,8171172.04
2020-06-27,0.3513,0.3661,0.3176,0.3329,10098317.27
2020-06-28,0.3329,0.3433,0.3227,0.3322,3967195.47
2020-06-29,0.3322,0.3474,0.3276,0.3458,4878872.74
2020-06-30,0.3458,0.3464,0.3333,0.3357,2412624.64
2020-07-01,0.3357,0.3439,0.3315,0.3362,3088957.84
2020-07-02,0.3362,0.359,0.3338,0.3444,8735866.3
2020-07-03,0.3444,0.4,0.3425,0.3802,25748739.91
2020-07-04,0.3802,0.429,0.3745,0.3865,21382676.02
2020-07-05,0.3865,0.421,0.3604,0.4202,14438920.47
2020-07-06,0.4202,0.4234,0.3875,0.3997,20065856.19
2020-07-07,0.3997,0.4269,0.3913,0.4087,14596641.42
2020-07-08,0.4087,0.4786,0.4054,0.4482,39393862.25
2020-07-09,0.4482,0.45,0.4041,0.4256,15914259.92
2020-07-10,0.4256,0.4284,0.3982,0.4104,12639347.71
2020-07-11,0.4104,0.4434,0.4081,0.4361,14497853.57
2020-07-12,0.4361,0.443,0.4152,0.4278,8441137.75
2020-07-13,0.4278,0.4288,0.3954,0.4011,13664853.14
2020-07-14,0.4011,0.4049,0.3808,0.395,12410327.81
2020-07-15,0.395,0.4095,0.3868,0.3896,7052620.61
2020-07-16,0.3896,0.402,0.3674,0.4005,12492211.42
2020-07-17,0.4005,0.4137,0.3806,0.3969,10740085.03
2020-07-18,0.3969,0.4299,0.387,0.4184,12704089.57
2020-07-19,0.4184,0.4306,0.4043,0.4201,8890572.47
2020-07-20,0.4201,0.4274,0.3948,0.3961,7203769.27
2020-07-21,0.3961,0.4098,0.394,0.401,4363306.11
2020-07-22,0.401,0.4085,0.3946,0.4008,4360400.21
2020-07-23,0.4008,0.41,0.3893,0.3936,5010070.0
2020-07-24,0.3936,0.3966,0.3839,0.3878,5006462.67
2020-07-25,0.3878,0.3997,0.3841,0.3944,4361012.75
2020-07-26,0.3944,0.3966,0.3797,0.3853,4228826.49
2020-07-27,0.3853,0.3886,0.3423,0.3674,13435837.04
2020-07-28,0.3674,0.3869,0.3627,0.3834,7788998.54
2020-07-29,0.3834,0.4115,0.3826,0.3845,11241529.22
2020-07-30,0.3845,0.3939,0.3796,0.3888,3934302.32
