date,open,high,low,close,volume
2020-06-15,0.02576,0.02697,0.02433,0.02527,2531204.81
2020-06-16,0.02527,0.02896,0.02401,0.02677,2981715.27
2020-06-17,0.02677,0.0279,0.02346,0.02601,2484122.9
2020-06-18,0.02601,0.0303,0.0258,0.02917,2916376.35
2020-06-19,0.02917,0.03163,0.02744,0.02949,3597872.01
2020-06-20,0.02949,0.03285,0.02883,0.02995,1985727.26
2020-06-21,0.02995,0.0315,0.02899,0.02974,2595548.53
2020-06-22,0.02974,0.03411,0.02937,0.03063,2632967.96
2020-06-23,0.03063,0.03311,0.02907,0.03051,3278061.76
2020-06-24,0.03051,0.02974,0.02732,0.02899,1893046.09
2020-06-25,0.02899,0.02929,0.02652,0.02717,2468530.93
2020-06-26,0.02717,0.02793,0.02674,0.02711,1412531.36
2020-06-27,0.02711,0.0272,0.02459,0.02549,1637298.85
2020-06-28,0.02549,0.02809,0.02472,0.02645,1388277.69
2020-06-29,0.02645,0.0282,0.02499,0.0271,1240302.69
2020-06-30,0.0271,0.02823,0.02421,0.02595,817316.61
2020-07-01,0.02595,0.0279,0.02513,0.02661,2210661.27
2020-07-02,0.02661,0.02773,0.02546,0.02655,2922317.77
2020-07-03,0.02655,0.0282,0.02647,0.02802,3600298.11
2020-07-04,0.02802,0.02843,0.02715,0.02816,1852455.71
2020-07-05,0.02816,0.02824,0.02579,0.02797,1884519.19
2020-07-06,0.02797,0.02916,0.02673,0.02739,2951941.56
2020-07-07,0.02739,0.0287,0.02657,0.02749,2717445.18
2020-07-08,0.02749,0.02851,0.02728,0.02813,1811092.61
2020-07-09,0.02813,0.0291,0.02605,0.02716,2425523.71
2020-07-10,0.02716,0.02787,0.02619,0.02657,3600072.93
2020-07-11,0.02657,0.02771,0.02596,0.02743,3242377.5
2020-07-12,0.02743,0.02855,0.02688,0.02809,2988513.51
2020-07-13,0.02809,0.02855,0.02661,0.02716,4514622.2
2020-07-14,0.02716,0.02768,0.02656,0.02721,1749486.91
2020-07-15,0.02721,0.02841,0.02675,0.02786,3405911.83
2020-07-16,0.02786,0.03087,0.02758,0.02959,3404838.35
2020-07-17,0.02959,0.03296,0.02839,0.03177,5506915.18
2020-07-18,0.03177,0.04451,0.03157,0.04075,18067467.21
2020-07-19,0.04075,0.04912,0.04,0.04396,19689297.63
2020-07-20,0.04396,0.06378,0.04335,0.04756,25547152.8
2020-07-21,0.04756,0.06068,0.04386,0.05448,26473250.87
2020-07-22,0.05448,0.06466,0.05188,0.05427,18437166.66
2020-07-23,0.05427,0.05769,0.04952,0.05115,79883273.76
2020-07-24,0.05115,0.0509,0.04279,0.04479,14473274.82
