date,open,high,low,close,volume
2020-06-15,0.1107,0.112,0.1063,0.1099,13872681.17
2020-06-16,0.1099,0.1179,0.1076,0.112,12969936.69
2020-06-17,0.112,0.1122,0.1066,0.108,14598227.09
2020-06-18,0.108,0.1208,0.1045,0.1094,10474111.91
2020-06-19,0.1094,0.1211,0.107,0.1121,13373770.75
2020-06-20,0.1121,0.1133,0.1085,0.1119,11126769.12
2020-06-21,0.1119,0.1116,0.1046,0.1087,13084969.57
2020-06-22,0.1087,0.1165,0.1056,0.109,13095390.02
2020-06-23,0.109,0.1094,0.1041,0.105,13467786.88
2020-06-24,0.105,0.1064,0.09924,0.1032,7010227.62
2020-06-25,0.1032,0.1034,0.09968,0.1013,9687916.34
2020-06-26,0.1013,0.1003,0.09731,0.09775,9297300.23
2020-06-27,0.09775,0.09782,0.08994,0.09362,9233927.22
2020-06-28,0.09362,0.09652,0.09292,0.0954,7979428.7
2020-06-29,0.0954,0.1009,0.09593,0.09885,7718019.14
2020-06-30,0.09885,0.104,0.09732,0.1038,10313062.11
2020-07-01,0.1038,0.1084,0.09498,0.09635,11429731.98
2020-07-02,0.09635,0.09825,0.09218,0.09415,3756490.86
2020-07-03,0.09415,0.09621,0.09188,0.09477,9111505.65
2020-07-04,0.09477,0.102,0.09586,0.09999,9822504.55
2020-07-05,0.09999,0.1019,0.09557,0.096,10375604.6
2020-07-06,0.096,0.1075,0.1011,0.1025,9985518.77
2020-07-07,0.1025,0.1077,0.09959,0.1029,8744207.43
2020-07-08,0.1029,0.1138,0.104,0.1107,6967132.44
2020-07-09,0.1107,0.1087,0.1024,0.1058,9800624.72
2020-07-10,0.1058,0.1083,0.1003,0.1023,9407866.83
2020-07-11,0.1023,0.106,0.1007,0.1046,8115972.08
2020-07-12,0.1046,0.1112,0.1042,0.1095,8819186.08
2020-07-13,0.1095,0.1174,0.1066,0.1078,8703170.2
2020-07-14,0.1078,0.1108,0.1068,0.1101,6973889.74
2020-07-15,0.1101,0.1108,0.1073,0.1097,5370558.61
2020-07-16,0.1097,0.1093,0.1044,0.1061,4613499.71
2020-07-17,0.1061,0.1061,0.1018,0.1049,1813403.55
