date,open,high,low,close,volume
2020-06-15,0.05236,0.05601,0.05017,0.05431,8011450.26
2020-06-16,0.05431,0.05506,0.05183,0.05221,3765219.5
2020-06-17,0.05221,0.05269,0.05061,0.05174,4449462.17
2020-06-18,0.05174,0.05338,0.05103,0.05272,6374474.11
2020-06-19,0.05272,0.05516,0.0506,0.05274,8726248.31
2020-06-20,0.05274,0.05494,0.05269,0.05372,5068575.32
2020-06-21,0.05372,0.05576,0.05306,0.05464,6320825.28
2020-06-22,0.05464,0.05728,0.05466,0.05505,3639552.79
2020-06-23,0.05505,0.05649,0.05322,0.05351,7698792.27
2020-06-24,0.05351,0.05223,0.04962,0.05009,3998406.43
2020-06-25,0.05009,0.05055,0.04852,0.04907,4099873.42
2020-06-26,0.04907,0.05449,0.04854,0.05165,20563291.53
2020-06-27,0.05165,0.05125,0.04747,0.04783,7223958.0
2020-06-28,0.04783,0.04916,0.04715,0.04834,3716559.41
2020-06-29,0.04834,0.04897,0.04786,0.04814,2767653.3
2020-06-30,0.04814,0.04888,0.04714,0.04742,3270683.1
2020-07-01,0.04742,0.05035,0.04703,0.04767,3367910.54
2020-07-02,0.04767,0.04765,0.04646,0.0471,5357005.08
2020-07-03,0.0471,0.04959,0.04651,0.04923,3563570.03
2020-07-04,0.04923,0.0511,0.04845,0.0501,7559698.4
2020-07-05,0.0501,0.05113,0.04904,0.05104,7759669.14
2020-07-06,0.05104,0.05328,0.05122,0.05197,7910923.11
2020-07-07,0.05197,0.05249,0.05008,0.05064,4542796.29
2020-07-08,0.05064,0.05399,0.05154,0.0538,6329058.89
2020-07-09,0.0538,0.05377,0.05118,0.05275,6430897.66
2020-07-10,0.05275,0.05313,0.05109,0.05229,3640499.97
2020-07-11,0.05229,0.05376,0.05182,0.0533,4526228.43
2020-07-12,0.0533,0.05395,0.05032,0.05246,3308846.51
2020-07-13,0.05246,0.05432,0.05007,0.05146,16258848.17
2020-07-14,0.05146,0.05331,0.04915,0.05091,18527630.56
2020-07-15,0.05091,0.0536,0.04974,0.05332,25097021.7
2020-07-16,0.05332,0.06585,0.05242,0.0611,87973542.97
