date,open,high,low,close,volume
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-16,1.256,1.334,1.269,1.329,4936.17
2020-06-17,1.329,1.343,1.32,1.343,23585.68
2020-06-18,1.343,1.339,1.281,1.282,32857.17
2020-06-19,1.282,1.843,1.173,1.569,46743.52
2020-06-20,1.569,1.593,1.413,1.424,22721.06
2020-06-21,1.424,1.84,1.404,1.745,37323.05
2020-06-22,1.745,1.935,1.747,1.771,20257.77
2020-06-23,1.771,1.838,1.649,1.744,11129.29
2020-06-24,1.744,1.684,1.597,1.645,3048.43
2020-06-25,1.645,1.696,1.636,1.695,3471.56
2020-06-26,1.695,1.681,1.564,1.564,12271.5
2020-06-27,1.564,1.592,1.461,1.581,10152.65
2020-06-28,1.581,1.601,1.473,1.497,6275.68
2020-06-29,1.497,1.527,1.446,1.446,2988.3
2020-06-30,1.446,1.636,1.412,1.446,15117.34
2020-07-01,1.446,1.478,1.386,1.391,20290.06
2020-07-02,1.391,1.601,1.366,1.51,18991.64
2020-07-03,1.51,1.705,1.506,1.628,20655.13
2020-07-04,1.628,1.719,1.642,1.688,19411.63
2020-07-05,1.688,1.707,1.66,1.666,20678.71
2020-07-06,1.666,1.757,1.688,1.748,5465.65
2020-07-07,1.748,1.731,1.602,1.639,6464.83
2020-07-08,1.639,1.672,1.548,1.549,6515.67
2020-07-09,1.549,1.548,1.432,1.469,37249.8
2020-07-10,1.469,1.673,1.477,1.641,10092.07
2020-07-11,1.641,1.729,1.566,1.58,8355.32
2020-07-12,1.58,1.59,1.442,1.492,2406.0
2020-07-13,1.492,1.64,1.46,1.548,17097.44
2020-07-14,1.548,1.569,1.512,1.562,7980.23
2020-07-15,1.562,1.676,1.552,1.631,12778.4
2020-07-16,1.631,1.665,1.552,1.607,12812.3
2020-07-17,1.607,1.655,1.557,1.615,12022.15
2020-07-18,1.615,1.678,1.608,1.671,6084.53
2020-07-19,1.671,1.687,1.661,1.687,4613.31
2020-07-20,1.687,1.769,1.677,1.761,14652.7
2020-07-21,1.761,1.805,1.597,1.665,12690.76
2020-07-22,1.665,1.691,1.584,1.609,10802.16
2020-07-23,1.609,1.673,1.569,1.652,11718.94
2020-07-24,1.652,1.798,1.639,1.721,9464.2
2020-07-25,1.721,1.796,1.686,1.712,9587.45
2020-07-26,1.712,1.799,1.651,1.727,19452.61
2020-07-27,1.727,1.918,1.639,1.641,12543.59
2020-07-28,1.641,1.651,1.546,1.613,8191.32
2020-07-29,1.613,1.659,1.389,1.518,16356.81
2020-07-30,1.518,1.649,1.518,1.599,5481.73
2020-07-31,1.599,1.634,1.419,1.451,9433.65
2020-08-01,1.451,1.636,1.478,1.557,7266.14
2020-08-02,1.557,1.572,1.45,1.554,5138.03
2020-08-03,1.554,1.578,1.502,1.513,2170.11
2020-08-04,1.513,1.541,1.508,1.534,2764.72
2020-08-05,1.534,1.622,1.543,1.55,7026.13
2020-08-06,1.55,1.667,1.553,1.661,10581.92
2020-08-07,1.661,2.173,1.623,1.745,23932.31
2020-08-08,1.745,1.836,1.702,1.769,9370.86
2020-08-09,1.769,2.303,1.756,2.252,39865.26
2020-08-10,2.252,2.312,1.823,2.228,35281.79
2020-08-11,2.228,2.274,2.108,2.168,31706.08
2020-08-12,2.168,2.311,2.173,2.264,11580.16
2020-08-13,2.264,2.541,2.231,2.541,28165.96
2020-08-14,2.541,3.264,2.484,3.085,40259.24
2020-08-15,3.085,3.288,2.784,3.045,53685.52
2020-08-16,3.045,3.554,3.059,3.429,12890.71
2020-08-17,3.429,3.934,3.474,3.54,16350.1
2020-08-18,3.54,3.624,3.348,3.548,11285.31
2020-08-19,3.548,3.558,2.931,3.238,18670.18
2020-08-20,3.238,3.355,3.2,3.213,5582.94
2020-08-21,3.213,3.126,2.575,2.79,21895.07
2020-08-22,2.79,3.863,2.744,3.36,21008.01
2020-08-23,3.36,3.414,3.186,3.414,2824.96
2020-08-24,3.414,4.336,3.445,4.336,16842.14
2020-08-25,4.336,4.179,2.743,3.958,15977.85
2020-08-26,3.958,5.096,3.922,4.978,28900.95
2020-08-27,4.978,5.584,4.75,5.169,27198.2
2020-08-28,5.169,5.768,5.219,5.621,13523.49
2020-08-29,5.621,7.59,5.594,7.141,16486.06
2020-08-30,7.141,7.48,6.444,6.548,12325.17
2020-08-31,6.548,6.686,5.36,5.748,17561.91
2020-09-01,5.748,7.687,5.881,6.798,16925.74
2020-09-02,6.798,6.839,4.98,6.491,13026.06
2020-09-03,6.491,6.105,4.959,4.959,5830.56
2020-09-04,4.959,6.49,5.102,6.28,3464.28
2020-09-05,6.28,6.355,4.466,4.644,12992.93
2020-09-06,4.644,5.715,3.547,5.002,20595.13
2020-09-07,5.002,5.679,4.348,4.733,10987.33
2020-09-08,4.733,4.742,4.232,4.478,4565.12
2020-09-09,4.478,5.467,4.306,4.84,5683.19
2020-09-10,4.84,4.935,4.586,4.605,3570.2
2020-09-11,4.605,4.628,4.169,4.471,5990.93
2020-09-12,4.471,4.597,4.2,4.44,7051.51
2020-09-13,4.44,4.96,4.185,4.319,9982.44
2020-09-14,4.319,5.126,4.27,4.407,5382.09
2020-09-15,4.407,4.681,3.865,3.865,6335.35
2020-09-16,3.865,4.072,3.508,3.725,17513.6
2020-09-17,3.725,3.785,3.349,3.552,4722.31
2020-09-18,3.552,3.632,3.549,3.566,1953.51
2020-09-19,3.566,3.651,3.613,3.642,1665.88
2020-09-20,3.642,3.648,3.561,3.561,2310.74
2020-09-21,3.561,3.396,2.921,2.949,3208.51
2020-09-22,2.949,3.048,2.651,2.929,54773.56
2020-09-23,2.929,3.153,2.846,3.057,18383.12
2020-09-24,3.057,3.208,2.826,2.876,3015.73
2020-09-25,0.0,0.0,0.0,0.0,0.0
2020-09-26,0.0,0.0,0.0,0.0,0.0
2020-09-27,0.0,0.0,0.0,0.0,0.0
2020-09-28,2.886,5.05,2.815,3.731,1280.48
2020-09-29,3.731,5.204,3.78,4.756,17484.46
2020-09-30,4.756,5.913,3.927,4.809,10882.14
2020-10-01,4.809,4.739,4.145,4.181,2542.31
2020-10-02,4.181,4.432,3.702,4.428,6549.51
2020-10-03,4.428,4.465,4.149,4.172,1709.97
2020-10-04,4.172,4.224,4.153,4.167,1189.24
2020-10-05,4.167,4.31,4.118,4.133,923.77
2020-10-06,4.133,4.06,3.76,3.76,1013.5
2020-10-07,3.76,3.899,3.553,3.582,2602.82
2020-10-08,3.582,4.808,3.65,4.025,2585.77
2020-10-09,4.025,4.073,3.842,4.063,180.71
2020-10-10,4.063,5.651,3.843,5.392,15250.32
2020-10-11,5.392,5.688,4.574,4.7,9018.47
2020-10-12,4.7,5.754,4.667,4.768,3717.2
2020-10-13,4.768,4.898,4.644,4.802,1432.32
2020-10-14,4.802,4.868,4.217,4.303,4431.1
2020-10-15,4.303,4.417,3.627,3.805,11171.26
2020-10-16,3.805,3.744,3.14,3.14,7543.11
2020-10-17,3.14,3.328,3.126,3.134,6192.46
2020-10-18,3.134,3.395,3.174,3.335,2856.56
2020-10-19,3.335,3.406,2.979,3.141,3966.69
2020-10-20,3.141,3.232,2.878,2.98,3601.58
2020-10-21,2.98,3.203,2.624,2.624,13478.54
2020-10-22,2.624,2.728,2.625,2.644,3171.28
2020-10-23,2.644,3.177,2.633,2.929,2709.5
2020-10-24,2.929,3.036,2.909,3.03,3674.19
2020-10-25,3.03,3.01,2.779,2.939,4285.2
2020-10-26,2.939,3.227,2.826,2.938,2607.32
2020-10-27,2.938,3.068,2.593,2.593,4439.25
2020-10-28,2.593,2.623,2.386,2.397,659.3
2020-10-29,2.397,2.462,2.317,2.412,3584.88
2020-10-30,2.412,2.431,2.26,2.26,2033.56
2020-10-31,2.26,2.3,2.166,2.193,6486.06
