date,open,high,low,close,volume
2020-06-15,1.342,1.361,1.211,1.316,1166804.0
2020-06-16,1.316,1.334,1.257,1.263,571432.0
2020-06-17,1.263,1.292,1.23,1.238,494468.0
2020-06-18,1.238,1.379,1.183,1.316,1115838.0
2020-06-19,1.316,1.385,1.237,1.266,1329434.0
2020-06-20,1.266,1.345,1.271,1.285,482517.0
2020-06-21,1.285,1.294,1.236,1.241,433515.0
2020-06-22,1.241,1.339,1.289,1.31,511099.0
2020-06-23,1.31,1.386,1.261,1.301,952789.0
2020-06-24,1.301,1.294,1.242,1.266,441266.0
2020-06-25,1.266,1.271,1.218,1.232,356387.0
2020-06-26,1.232,1.245,1.13,1.163,768450.0
2020-06-27,1.163,1.169,0.9935,1.044,622927.0
2020-06-28,1.044,1.14,1.048,1.107,312855.0
2020-06-29,1.107,1.156,1.088,1.149,342562.0
2020-06-30,1.149,1.174,1.093,1.096,394490.0
2020-07-01,1.096,1.153,1.071,1.086,581033.0
2020-07-02,1.086,1.209,1.068,1.101,1137367.0
2020-07-03,1.101,1.102,1.056,1.079,669860.0
2020-07-04,1.079,1.155,1.079,1.108,663411.0
2020-07-05,1.108,1.15,1.086,1.093,556798.0
2020-07-06,1.093,1.215,1.096,1.213,917861.0
2020-07-07,1.213,1.359,1.154,1.353,2083724.0
2020-07-08,1.353,1.718,1.354,1.695,3188380.0
2020-07-09,1.695,1.72,1.499,1.7,1757680.0
2020-07-10,1.7,1.717,1.582,1.663,980728.0
2020-07-11,1.663,2.012,1.637,1.88,1985576.0
2020-07-12,1.88,2.082,1.798,2.02,1871807.0
2020-07-13,2.02,2.44,1.971,2.119,3871531.0
2020-07-14,2.119,2.469,2.084,2.444,1971735.0
2020-07-15,2.444,2.638,2.333,2.598,1760279.0
2020-07-16,2.598,2.63,2.283,2.404,1399141.0
2020-07-17,2.404,2.607,2.364,2.568,800279.0
2020-07-18,2.568,3.195,2.416,3.166,2064818.0
2020-07-19,3.166,4.296,3.01,4.177,3167115.0
2020-07-20,4.177,5.226,3.645,3.969,4851443.0
2020-07-21,3.969,4.893,3.673,4.469,3058767.0
2020-07-22,4.469,5.131,4.387,4.557,2337475.0
