date,open,high,low,close,volume
2020-06-15,0.2236,0.2276,0.2072,0.2228,2032082.57
2020-06-16,0.2228,0.2282,0.2205,0.2253,637496.95
2020-06-17,0.2253,0.2272,0.2099,0.224,1209579.49
2020-06-18,0.224,0.224,0.2148,0.2177,510029.81
2020-06-19,0.2177,0.2223,0.2144,0.2172,934962.42
2020-06-20,0.2172,0.233,0.2161,0.2311,1661478.42
2020-06-21,0.2311,0.252,0.2305,0.2419,2917474.64
2020-06-22,0.2419,0.25,0.2403,0.2443,2264943.0
2020-06-23,0.2443,0.2625,0.2414,0.2572,2548671.56
2020-06-24,0.2572,0.2652,0.2432,0.2491,1708857.46
2020-06-25,0.2491,0.2699,0.241,0.2697,2715843.58
2020-06-26,0.2697,0.2735,0.2555,0.2719,1854712.87
2020-06-27,0.2719,0.2991,0.2661,0.2708,8115223.85
2020-06-28,0.2708,0.2721,0.2565,0.2637,5130141.8
2020-06-29,0.2637,0.2682,0.2544,0.2619,3360024.93
2020-06-30,0.2619,0.2634,0.251,0.2523,1597653.18
2020-07-01,0.2523,0.2736,0.25,0.2572,1833604.23
2020-07-02,0.2572,0.2607,0.2417,0.2426,2814364.58
2020-07-03,0.2426,0.2484,0.2402,0.2402,1951705.53
2020-07-04,0.2402,0.2547,0.2393,0.2498,1691728.72
2020-07-05,0.2498,0.2499,0.2419,0.2472,1197992.05
2020-07-06,0.2472,0.2615,0.2438,0.2615,1871087.98
2020-07-07,0.2615,0.2635,0.2535,0.2542,1332642.23
2020-07-08,0.2542,0.2702,0.2515,0.2634,1952944.82
2020-07-09,0.2634,0.2705,0.2534,0.2614,1298073.41
2020-07-10,0.2614,0.262,0.2457,0.255,1241478.64
2020-07-11,0.255,0.2598,0.2521,0.258,576317.17
2020-07-12,0.258,0.2624,0.2527,0.259,676596.41
2020-07-13,0.259,0.2789,0.2559,0.2628,2534899.75
2020-07-14,0.2628,0.2671,0.2439,0.2628,1535367.92
2020-07-15,0.2628,0.2655,0.2549,0.2598,1005109.03
2020-07-16,0.2598,0.2757,0.2376,0.2587,4779880.17
2020-07-17,0.2587,0.2766,0.2587,0.2657,3025666.91
