date,open,high,low,close,volume
2020-06-15,0.4772,0.4882,0.4489,0.4797,9793565.32
2020-06-16,0.4797,0.5014,0.4681,0.476,7214518.28
2020-06-17,0.476,0.4772,0.4612,0.4684,7313231.47
2020-06-18,0.4684,0.5007,0.4569,0.4881,7709758.36
2020-06-19,0.4881,0.5288,0.4786,0.5028,8299816.34
2020-06-20,0.5028,0.5199,0.4862,0.4898,6198387.02
2020-06-21,0.4898,0.506,0.4827,0.487,4678053.79
2020-06-22,0.487,0.5119,0.4751,0.4899,6248824.89
2020-06-23,0.4899,0.4983,0.474,0.4851,3928071.25
2020-06-24,0.4851,0.484,0.4614,0.48,6781427.26
2020-06-25,0.48,0.5019,0.4607,0.4979,7271138.63
2020-06-26,0.4979,0.5253,0.4848,0.4968,9025902.87
2020-06-27,0.4968,0.494,0.4277,0.4349,4824123.36
2020-06-28,0.4349,0.4741,0.4241,0.4373,2968104.93
2020-06-29,0.4373,0.4439,0.4122,0.4193,3892292.82
2020-06-30,0.4193,0.4374,0.3985,0.4091,3970796.04
2020-07-01,0.4091,0.4251,0.384,0.3895,3280120.64
2020-07-02,0.3895,0.3944,0.3688,0.3803,4424620.74
2020-07-03,0.3803,0.3829,0.3654,0.3684,3473361.01
2020-07-04,0.3684,0.3967,0.3698,0.3778,4508351.12
2020-07-05,0.3778,0.3831,0.3598,0.3636,4267677.75
2020-07-06,0.3636,0.4017,0.372,0.3964,4395751.03
2020-07-07,0.3964,0.4003,0.3847,0.3875,4063680.87
2020-07-08,0.3875,0.4124,0.3905,0.4096,4339318.14
2020-07-09,0.4096,0.4161,0.3902,0.3982,3904151.76
2020-07-10,0.3982,0.4076,0.3845,0.4038,4334007.73
2020-07-11,0.4038,0.4086,0.3906,0.4022,3438656.25
2020-07-12,0.4022,0.4081,0.3925,0.3985,3351933.92
2020-07-13,0.3985,0.3982,0.3791,0.3823,4517326.16
2020-07-14,0.3823,0.391,0.371,0.3771,3252064.58
2020-07-15,0.3771,0.3861,0.3666,0.3673,3104999.09
2020-07-16,0.3673,0.3698,0.3468,0.3515,3504799.66
2020-07-17,0.3515,0.3638,0.3428,0.3543,2721526.83
2020-07-18,0.3543,0.3742,0.3472,0.3724,2591936.31
2020-07-19,0.3724,0.3755,0.3495,0.3711,3091740.77
2020-07-20,0.3711,0.3921,0.3637,0.3849,4441065.42
2020-07-21,0.3849,0.3989,0.3807,0.3847,3620092.22
2020-07-22,0.3847,0.4095,0.3871,0.3942,4427512.34
2020-07-23,0.3942,0.4587,0.3905,0.4306,9234826.61
2020-07-24,0.4306,0.4789,0.4149,0.4483,8983502.07
2020-07-25,0.4483,0.4913,0.4378,0.4555,6212065.89
2020-07-26,0.4555,0.4733,0.4036,0.4173,5342381.25
2020-07-27,0.4173,0.4677,0.3615,0.3866,6092191.05
2020-07-28,0.3866,0.4222,0.3739,0.4042,5085067.22
2020-07-29,0.4042,0.422,0.3844,0.3951,4906711.65
2020-07-30,0.3951,0.4188,0.3724,0.3995,4094599.8
2020-07-31,0.3995,0.4172,0.3809,0.4043,3431301.22
2020-08-01,0.4043,0.4247,0.4007,0.416,3476579.9
2020-08-02,0.416,0.4085,0.3859,0.3978,3041705.24
2020-08-03,0.3978,0.4075,0.3896,0.3982,3546836.17
2020-08-04,0.3982,0.4099,0.3903,0.4043,2941443.4
2020-08-05,0.4043,0.4353,0.4029,0.4165,2302492.6
2020-08-06,0.4165,0.45,0.4127,0.4345,4117236.01
2020-08-07,0.4345,0.4413,0.4187,0.4327,4062071.01
2020-08-08,0.4327,0.5211,0.4286,0.5019,8055567.72
2020-08-09,0.5019,0.6493,0.4962,0.5945,15164988.73
2020-08-10,0.5945,0.6065,0.5242,0.5611,6421613.45
2020-08-11,0.5611,0.5613,0.4822,0.5031,5053941.35
2020-08-12,0.5031,0.6241,0.4949,0.5898,8397083.52
2020-08-13,0.5898,0.6096,0.5365,0.5526,5946506.97
2020-08-14,0.5526,0.5821,0.539,0.5599,4222456.1
2020-08-15,0.5599,0.5773,0.5289,0.5566,5514054.61
2020-08-16,0.5566,0.561,0.5234,0.5399,4891693.26
2020-08-17,0.5399,0.6351,0.5469,0.5985,8500588.55
2020-08-18,0.5985,0.63,0.5671,0.6173,6794952.25
2020-08-19,0.6173,0.6225,0.5384,0.567,5064648.15
2020-08-20,0.567,0.6061,0.559,0.596,3536134.7
2020-08-21,0.596,0.5881,0.5207,0.5331,5418246.41
