date,open,high,low,close,volume
2020-06-15,179.11,181.05,172.37,173.51,170592.51
2020-06-16,173.51,178.05,173.96,177.67,136549.66
2020-06-17,177.67,176.98,174.43,175.18,153643.29
2020-06-18,175.18,174.67,170.82,172.23,158702.23
2020-06-19,172.23,171.25,169.01,170.78,179774.6
2020-06-20,170.78,176.89,171.55,173.33,176611.19
2020-06-21,173.33,172.2,169.97,170.52,135326.28
2020-06-22,170.52,180.94,177.07,177.55,150246.31
2020-06-23,177.55,180.46,175.74,178.15,149190.43
2020-06-24,178.15,174.61,171.27,172.48,127546.75
2020-06-25,172.48,173.46,170.04,172.35,117078.18
2020-06-26,172.35,170.98,166.68,167.96,114484.74
2020-06-27,167.96,166.81,141.32,155.37,183604.19
2020-06-28,155.37,161.52,154.23,160.61,201272.79
2020-06-29,160.61,163.16,157.74,159.3,149321.9
2020-06-30,159.3,159.61,155.96,157.97,134366.17
2020-07-01,157.97,160.02,152.44,158.45,152758.5
2020-07-02,158.45,156.21,152.4,154.67,114443.61
2020-07-03,154.67,157.85,152.95,155.67,112430.81
2020-07-04,155.67,158.25,153.86,156.79,123281.21
2020-07-05,156.79,156.02,151.3,154.11,133408.6
2020-07-06,154.11,198.72,158.62,194.04,405518.22
2020-07-07,194.04,195.05,181.35,185.79,332050.41
2020-07-08,185.79,192.37,187.18,189.16,175695.12
2020-07-09,189.16,188.01,182.01,185.52,136766.57
2020-07-10,185.52,186.89,178.62,181.68,150085.06
2020-07-11,181.68,182.06,179.29,181.32,91224.46
2020-07-12,181.32,189.83,182.58,185.83,144228.8
2020-07-13,185.83,184.76,178.94,181.62,133577.87
2020-07-14,181.62,182.07,177.72,180.86,126948.17
2020-07-15,180.86,184.23,178.26,179.91,120488.47
2020-07-16,179.91,178.83,170.97,174.17,126897.32
2020-07-17,174.17,174.8,171.14,172.51,81784.64
2020-07-18,172.51,175.38,172.16,173.91,54768.86
2020-07-19,173.91,174.92,164.32,172.34,94644.71
2020-07-20,172.34,172.11,166.61,169.18,75275.02
2020-07-21,169.18,181.85,173.02,179.12,103390.62
2020-07-22,179.12,185.02,179.78,184.45,80087.89
2020-07-23,184.45,188.55,183.55,185.19,113939.15
2020-07-24,185.19,184.13,178.11,180.02,135531.34
2020-07-25,180.02,194.75,182.71,194.65,134871.91
