date,open,high,low,close,volume
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-16,0.0,0.0,0.0,0.0,0.0
2020-06-17,0.0,0.0,0.0,0.0,0.0
2020-06-18,0.0,0.0,0.0,0.0,0.0
2020-06-19,0.0,0.0,0.0,0.0,0.0
2020-06-20,0.0,0.0,0.0,0.0,0.0
2020-06-21,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-23,0.0,0.0,0.0,0.0,0.0
2020-06-24,0.0,0.0,0.0,0.0,0.0
2020-06-25,0.0,0.0,0.0,0.0,0.0
2020-06-26,0.0,0.0,0.0,0.0,0.0
2020-06-27,0.0,0.0,0.0,0.0,0.0
2020-06-28,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-06-30,1.55,1.614,1.55,1.6,290.14
2020-07-01,1.6,1.616,1.566,1.569,2241.88
2020-07-02,1.569,1.615,1.49,1.553,776.3
2020-07-03,1.553,1.664,1.433,1.547,12267.16
2020-07-04,1.547,1.693,1.536,1.593,6415.04
2020-07-05,1.593,1.697,1.535,1.613,36571.1
2020-07-06,1.613,1.676,1.528,1.62,9194.05
2020-07-07,1.62,1.642,1.55,1.606,6894.61
2020-07-08,1.606,1.646,1.544,1.58,6971.78
2020-07-09,1.58,1.623,1.53,1.581,7216.91
2020-07-10,1.581,1.734,1.572,1.646,10003.83
2020-07-11,1.646,1.706,1.51,1.655,12867.38
2020-07-12,1.655,1.751,1.612,1.675,9986.02
2020-07-13,1.675,1.699,1.623,1.68,6608.02
2020-07-14,1.68,1.728,1.549,1.694,8551.49
2020-07-15,1.694,1.964,1.513,1.912,12841.73
2020-07-16,1.912,1.949,1.714,1.81,10542.42
2020-07-17,1.81,1.826,1.697,1.739,11170.41
2020-07-18,1.739,1.834,1.697,1.806,11938.77
2020-07-19,1.806,1.976,1.704,1.82,29739.55
2020-07-20,1.82,1.994,1.786,1.936,28609.73
2020-07-21,1.936,1.96,1.81,1.913,19979.66
2020-07-22,1.913,2.164,1.913,2.148,29070.28
2020-07-23,2.148,2.286,2.025,2.109,28033.85
2020-07-24,2.109,2.29,1.994,2.038,27968.89
2020-07-25,2.038,2.28,1.893,2.005,26663.41
2020-07-26,2.005,2.024,1.776,1.905,25801.84
