date,open,high,low,close,volume
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-16,0.0,0.0,0.0,0.0,0.0
2020-06-17,0.0,0.0,0.0,0.0,0.0
2020-06-18,0.0,0.0,0.0,0.0,0.0
2020-06-19,0.0,0.0,0.0,0.0,0.0
2020-06-20,0.0,0.0,0.0,0.0,0.0
2020-06-21,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-23,0.0,0.0,0.0,0.0,0.0
2020-06-24,0.0,0.0,0.0,0.0,0.0
2020-06-25,1.806,1.853,1.806,1.832,22806.43
2020-06-26,1.832,1.834,1.8,1.83,29734.56
2020-06-27,1.83,1.832,1.752,1.823,16269.14
2020-06-28,1.823,1.835,1.773,1.81,38476.49
2020-06-29,1.81,1.828,1.741,1.762,21649.53
2020-06-30,1.762,1.831,1.705,1.774,20277.8
2020-07-01,1.774,1.856,1.773,1.804,17609.11
2020-07-02,1.804,1.877,1.798,1.844,4956.99
2020-07-03,1.843,2.131,1.831,1.833,8936.41
2020-07-04,1.842,1.862,1.841,1.851,2241.49
2020-07-05,1.851,1.866,1.823,1.843,7179.57
2020-07-06,1.843,1.926,1.84,1.924,23565.35
2020-07-07,1.924,1.938,1.907,1.917,10787.29
2020-07-08,1.917,1.926,1.8,1.894,16732.59
2020-07-09,1.894,1.898,1.66,1.808,25107.45
2020-07-10,1.808,1.811,1.701,1.786,21378.62
2020-07-11,1.786,1.794,1.622,1.724,152767.98
2020-07-12,1.724,1.768,1.687,1.708,30514.08
2020-07-13,1.708,1.861,1.677,1.787,60437.15
2020-07-14,1.787,1.816,1.67,1.741,35564.53
2020-07-15,1.741,1.876,1.713,1.839,91589.87
2020-07-16,1.839,1.894,1.781,1.841,10257.69
2020-07-17,1.811,7.69,1.79,1.818,199675.5
2020-07-18,1.818,1.881,1.799,1.814,9396.82
2020-07-19,1.814,1.888,1.761,1.772,15313.44
2020-07-20,1.776,1.793,1.77,1.778,4249.56
2020-07-21,1.787,1.832,1.742,1.744,16532.97
2020-07-22,1.773,1.773,1.7,1.722,7634.55
2020-07-23,1.722,1.786,1.722,1.75,3789.49
2020-07-24,1.75,1.791,1.75,1.778,3459.94
2020-07-25,1.778,1.793,1.765,1.781,2378.83
