date,open,high,low,close,volume
2020-06-15,0.01157,0.01226,0.01141,0.01188,112125689.47
2020-06-16,0.0132,0.0132,0.0132,0.0132,21359.0
2020-06-17,0.0132,0.0132,0.0132,0.0132,13661.24
2020-06-18,0.0132,0.014,0.01166,0.014,13073.43
2020-06-19,0.014,0.03733,0.01303,0.01611,154531.23
2020-06-20,0.01611,0.017,0.01611,0.017,562.05
2020-06-21,0.017,0.01794,0.0145,0.0145,87043.59
2020-06-22,0.0145,0.01455,0.0133,0.0133,37922.49
2020-06-23,0.01405,0.01424,0.01367,0.01405,82019728.25
2020-06-24,0.0133,0.01499,0.01206,0.01206,16777.99
2020-06-25,0.01301,0.01312,0.01257,0.01266,48416053.37
2020-06-26,0.01266,0.01264,0.012,0.01227,91176003.7
2020-06-27,0.01227,0.01243,0.01135,0.01144,60259917.86
2020-06-28,0.01206,0.01206,0.012,0.012,5000.0
2020-06-29,0.01177,0.01222,0.01167,0.01204,46318681.22
2020-06-30,0.012,0.01208,0.012,0.01205,61880.61
2020-07-01,0.01205,0.01205,0.0115,0.0115,2994.11
2020-07-02,0.0115,0.01155,0.0115,0.0115,65656.28
2020-07-03,0.01137,0.01142,0.01097,0.01124,59869744.53
2020-07-04,0.01124,0.0117,0.01124,0.01152,51874505.63
2020-07-05,0.0115,0.0139,0.0115,0.0139,1203.0
2020-07-06,0.01162,0.01215,0.01178,0.01196,45404116.25
2020-07-07,0.01196,0.0124,0.01176,0.01194,72208366.61
2020-07-08,0.0139,0.0139,0.0115,0.012,106389.81
2020-07-09,0.01218,0.01256,0.01183,0.0122,85475317.47
2020-07-10,0.0122,0.01291,0.01217,0.01273,114625088.1
2020-07-11,0.01273,0.01265,0.01229,0.01238,51209659.64
2020-07-12,0.01238,0.01256,0.01228,0.01228,38871390.49
2020-07-13,0.012,0.0125,0.012,0.0125,9923.37
2020-07-14,0.01219,0.0125,0.01203,0.01231,56051671.85
2020-07-15,0.0125,0.0139,0.0125,0.0139,6604.0
2020-07-16,0.0139,0.0139,0.01239,0.01239,5017.97
2020-07-17,0.01239,0.01239,0.01151,0.01194,66432.38
2020-07-18,0.01209,0.01221,0.01202,0.01211,17345906.95
2020-07-19,0.01211,0.01263,0.01069,0.01198,123859696.11
2020-07-20,0.01194,0.01194,0.01188,0.01188,9088.0
2020-07-21,0.01191,0.0123,0.01193,0.01202,33889269.95
2020-07-22,0.01202,0.01249,0.01192,0.01211,57685670.48
2020-07-23,0.01211,0.0125,0.01202,0.01202,50111982.57
2020-07-24,0.01202,0.01222,0.01175,0.01184,27384804.2
2020-07-25,0.01188,0.01389,0.01188,0.01196,9192.74
2020-07-26,0.01184,0.01233,0.01173,0.01173,54358675.26
2020-07-27,0.01196,0.01199,0.01196,0.01199,5420.98
2020-07-28,0.01199,0.012,0.008387,0.01199,23236.35
2020-07-29,0.01199,0.01209,0.01199,0.01209,1000.0
2020-07-30,0.01209,0.01378,0.01209,0.0137,8088.21
2020-07-31,0.0137,0.0139,0.0137,0.01371,60384.4
2020-08-01,0.01371,0.01371,0.01371,0.01371,1643.24
2020-08-02,0.01371,0.01472,0.0137,0.01472,13343.01
2020-08-03,0.01472,0.01472,0.01472,0.01472,1001.0
2020-08-04,0.01472,0.01472,0.01202,0.0127,1746.04
2020-08-05,0.01332,0.0141,0.01316,0.01328,81377243.15
2020-08-06,0.01328,0.01377,0.01307,0.0133,114800697.87
2020-08-07,0.0133,0.01334,0.01276,0.01311,53880170.61
2020-08-08,0.01311,0.01354,0.01307,0.01342,57566120.19
2020-08-09,0.0127,0.01337,0.0122,0.01328,87361.0
2020-08-10,0.01391,0.01487,0.01321,0.0144,180876937.14
2020-08-11,0.01328,0.01389,0.01239,0.01389,9929.61
2020-08-12,0.01389,0.01918,0.0135,0.0135,68982.92
2020-08-13,0.0135,0.0135,0.01278,0.01278,508.99
2020-08-14,0.01278,0.01999,0.01278,0.01999,38690.22
2020-08-15,0.01999,0.01999,0.01572,0.01572,1638.44
2020-08-16,0.01572,0.02,0.01572,0.02,410.0
2020-08-17,0.02,0.02719,0.02,0.02719,27373.4
2020-08-18,0.02719,0.02719,0.01737,0.02286,3830.86
2020-08-19,0.02286,0.02794,0.0168,0.0202,73811.45
2020-08-20,0.0202,0.0202,0.01621,0.01734,17550.53
2020-08-21,0.01734,0.0181,0.017,0.017,55406.03
2020-08-22,0.017,0.017,0.0165,0.0165,13996.04
2020-08-23,0.0165,0.01674,0.01515,0.01515,4394.94
2020-08-24,0.01515,0.0175,0.01515,0.0175,16266.65
2020-08-25,0.0175,0.0175,0.0162,0.0174,10585.17
2020-08-26,0.0174,0.0174,0.0174,0.0174,1654.13
2020-08-27,0.01548,0.01564,0.01439,0.01462,113743351.03
2020-08-28,0.01462,0.01534,0.01465,0.01534,74904881.79
2020-08-29,0.01534,0.01527,0.0147,0.01492,50225366.07
2020-08-30,0.01492,0.01535,0.01476,0.015,84727494.88
2020-08-31,0.015,0.01527,0.01457,0.01492,92162557.45
2020-09-01,0.0174,0.0174,0.0173,0.0174,16848.84
2020-09-02,0.0174,0.0174,0.01203,0.01203,11465.81
2020-09-03,0.01203,0.01596,0.012,0.012,17246.85
2020-09-04,0.012,0.012,0.01149,0.01149,749.25
2020-09-05,0.01149,0.0156,0.0105,0.0156,39853.71
2020-09-06,0.0156,0.0156,0.01399,0.01479,18337.06
2020-09-07,0.01108,0.01194,0.01059,0.01131,60337620.47
2020-09-08,0.01131,0.01145,0.01074,0.01104,43567592.01
2020-09-09,0.01104,0.01258,0.01094,0.01227,152420142.11
2020-09-10,0.01479,0.01479,0.01479,0.01479,5000.0
2020-09-11,0.01241,0.013,0.01227,0.01248,49621872.78
2020-09-12,0.01479,0.01479,0.014,0.014,569.26
2020-09-13,0.01296,0.01292,0.01209,0.0123,38085075.71
2020-09-14,0.014,0.014,0.01329,0.01329,22983.32
2020-09-15,0.01329,0.01329,0.01274,0.01274,25014.28
2020-09-16,0.01274,0.01326,0.01193,0.01326,9012.28
2020-09-17,0.01238,0.01281,0.01215,0.01281,41659430.98
2020-09-18,0.01326,0.01326,0.01204,0.01204,3298.37
2020-09-19,0.01214,0.01241,0.01153,0.01208,43429483.04
2020-09-20,0.01204,0.01326,0.01161,0.01326,1111.73
2020-09-21,0.01326,0.01326,0.0112,0.0112,4012.74
2020-09-22,0.0112,0.01126,0.0112,0.01126,8770.46
2020-09-23,0.01126,0.01126,0.01054,0.01054,60244.61
2020-09-24,0.01024,0.01149,0.01074,0.01139,44322253.29
2020-09-25,0.01139,0.01166,0.01101,0.01123,23583598.22
2020-09-26,0.01123,0.01149,0.01116,0.01127,21652441.37
2020-09-27,0.01127,0.01154,0.011,0.011,32930915.31
2020-09-28,0.011,0.01102,0.0107,0.01081,28512904.88
2020-09-29,0.01081,0.01117,0.01095,0.01106,16886386.29
2020-09-30,0.01106,0.01218,0.01078,0.01153,164641931.04
2020-10-01,0.01153,0.01169,0.01084,0.01126,94850903.72
2020-10-02,0.01126,0.01121,0.01037,0.01058,44490532.3
2020-10-03,0.01058,0.01129,0.01055,0.01076,27390276.58
2020-10-04,0.01076,0.0111,0.01078,0.0111,13290057.69
2020-10-05,0.0111,0.01177,0.0109,0.01101,53163262.02
2020-10-06,0.01054,0.01083,0.01054,0.01083,2297.79
2020-10-07,0.01083,0.01083,0.01006,0.01019,21716.7
2020-10-08,0.01035,0.01071,0.01038,0.0106,18659669.96
2020-10-09,0.0106,0.01128,0.01062,0.01117,40203636.47
2020-10-10,0.01061,0.01175,0.01061,0.01166,6984.44
2020-10-11,0.01119,0.01149,0.01103,0.01103,26909651.11
2020-10-12,0.01166,0.01166,0.01116,0.01116,835.21
2020-10-13,0.01108,0.01177,0.01074,0.01086,37636351.99
2020-10-14,0.01086,0.01109,0.01074,0.01086,15774819.79
2020-10-15,0.01086,0.01105,0.01059,0.0107,15110392.54
2020-10-16,0.0107,0.01099,0.01008,0.01065,44763516.87
2020-10-17,0.01116,0.019,0.01062,0.01063,5746.48
2020-10-18,0.01063,0.01073,0.01063,0.01073,14934.98
2020-10-19,0.01073,0.01073,0.01052,0.01068,44417.3
2020-10-20,0.01068,0.0108,0.01068,0.0108,2370.65
2020-10-21,0.0108,0.0109,0.01046,0.0108,27023.97
2020-10-22,0.01044,0.01133,0.01064,0.01076,6668910.51
2020-10-23,0.0108,0.0108,0.01068,0.01074,2683.19
2020-10-24,0.01074,0.01074,0.01074,0.01074,227612.33
2020-10-25,0.01085,0.0108,0.01048,0.01059,4303714.7
2020-10-26,0.01059,0.01059,0.01016,0.01043,4148986.22
2020-10-27,0.01074,0.01074,0.01028,0.01031,1670.0
2020-10-28,0.01018,0.01013,0.009661,0.009906,3139349.48
2020-10-29,0.01031,0.01031,0.009597,0.009597,9787.53
2020-10-30,0.009597,0.009597,0.007676,0.00907,63604.25
2020-10-31,0.009527,0.009673,0.009182,0.009414,6295571.67
2020-11-01,0.009414,0.009857,0.009436,0.009563,6793303.48
2020-11-02,0.00907,0.009455,0.00907,0.009452,2963.92
2020-11-03,0.009421,0.009794,0.009192,0.009386,3958470.85
2020-11-04,0.009386,0.009978,0.009523,0.009692,2866836.62
2020-11-05,0.009692,0.01006,0.009584,0.009755,2436131.26
2020-11-06,0.009601,0.01025,0.009601,0.009699,2364.41
2020-11-07,0.01045,0.01032,0.009518,0.01004,3783915.32
2020-11-08,0.01004,0.01055,0.01011,0.01045,3547891.45
2020-11-09,0.009699,0.01047,0.009699,0.01047,2419.69
2020-11-10,0.01069,0.0113,0.01067,0.01091,3705577.26
2020-11-11,0.01091,0.01127,0.01056,0.01072,6379348.55
2020-11-12,0.01072,0.01088,0.01038,0.01055,8410835.68
2020-11-13,0.01058,0.01146,0.01058,0.0111,4875.86
2020-11-14,0.01098,0.01084,0.01054,0.01077,5243196.04
2020-11-15,0.0111,0.0111,0.01061,0.01065,1859.54
2020-11-16,0.01059,0.0112,0.01081,0.01108,7848687.7
2020-11-17,0.01108,0.01167,0.01076,0.01097,9008581.14
2020-11-18,0.01097,0.01089,0.01038,0.01057,8712013.36
2020-11-19,0.01057,0.01071,0.01028,0.0105,6364374.82
2020-11-20,0.0105,0.01186,0.01088,0.01094,8615963.54
2020-11-21,0.01083,0.01125,0.01083,0.0112,27133.22
2020-11-22,0.01161,0.01191,0.0109,0.01108,7711616.03
2020-11-23,0.01108,0.01288,0.01179,0.01201,6863408.85
2020-11-24,0.01179,0.01273,0.01179,0.0125,26318.34
2020-11-25,0.0125,0.01456,0.0125,0.01349,113534.94
2020-11-26,0.01349,0.01349,0.01176,0.01199,12780.82
2020-11-27,0.01214,0.01227,0.01149,0.01166,5312904.89
2020-11-28,0.012,0.012,0.01129,0.01188,26929.79
2020-11-29,0.01188,0.01188,0.01153,0.01164,2912.26
2020-11-30,0.01164,0.01211,0.01164,0.01211,5658.09
2020-12-01,0.01211,0.01306,0.01157,0.01226,21455.31
2020-12-02,0.01226,0.0136,0.01199,0.01294,37780.18
2020-12-03,0.01294,0.0132,0.01285,0.01298,58578.57
2020-12-04,0.01298,0.01298,0.01216,0.01222,38678.37
2020-12-05,0.01222,0.01249,0.01217,0.01249,2207.41
2020-12-06,0.01249,0.01255,0.01232,0.01255,3342.67
2020-12-07,0.01255,0.01289,0.01255,0.01278,42589.63
2020-12-08,0.01278,0.01278,0.01217,0.01227,7721.86
2020-12-09,0.01227,0.01244,0.01165,0.01244,22144.71
2020-12-10,0.01216,0.01205,0.01168,0.01202,4505410.52
2020-12-11,0.01244,0.01244,0.01198,0.01217,3987.5
2020-12-12,0.01243,0.01313,0.01223,0.01235,2268481.23
2020-12-13,0.01235,0.0129,0.01253,0.01256,1981488.89
2020-12-14,0.01222,0.01629,0.01222,0.01513,110909.9
2020-12-15,0.01513,0.01561,0.01401,0.0152,17335.63
2020-12-16,0.0152,0.0152,0.01426,0.01448,6990.16
2020-12-17,0.01448,0.01491,0.0138,0.01444,6713043.67
2020-12-18,0.01456,0.01498,0.01443,0.01468,4885.66
2020-12-19,0.01468,0.01691,0.01263,0.01626,60204.31
2020-12-20,0.01626,0.01626,0.0148,0.01593,15557.89
2020-12-21,0.01593,0.023,0.01593,0.01908,158456.54
2020-12-22,0.01908,0.025,0.01627,0.0216,184216.67
2020-12-23,0.0216,0.023,0.01665,0.02168,313400.82
2020-12-24,0.02168,0.02168,0.0175,0.02168,59469.87
2020-12-25,0.02168,0.02168,0.01891,0.01891,94899.07
2020-12-26,0.01891,0.02217,0.01891,0.02056,374111.73
2020-12-27,0.02056,0.02412,0.02023,0.02372,200410.25
2020-12-28,0.02372,0.03,0.0235,0.02822,164591.38
2020-12-29,0.02822,0.0315,0.02745,0.02868,156871.89
2020-12-30,0.02868,0.0315,0.02177,0.02291,409741.83
2020-12-31,0.02291,0.02291,0.019,0.02048,176840.07
2021-01-01,0.02048,0.02147,0.019,0.02086,19666.15
2021-01-02,0.02086,0.02086,0.019,0.01921,167236.22
2021-01-03,0.01921,0.02001,0.018,0.01964,142450.09
2021-01-04,0.01964,0.02055,0.017,0.0183,171537.3
2021-01-05,0.0183,0.0214,0.01805,0.02086,36525.14
2021-01-06,0.02086,0.02211,0.01875,0.02119,288482.09
2021-01-07,0.02119,0.02138,0.01914,0.02038,55361.23
2021-01-08,0.02038,0.02038,0.017,0.01856,30447.45
2021-01-09,0.01924,0.02121,0.02001,0.02022,4006634.34
2021-01-10,0.02087,0.02087,0.01715,0.01929,113270.45
2021-01-11,0.01929,0.0274,0.016,0.01618,3385199.04
2021-01-12,0.01618,0.01861,0.016,0.01721,2878719.16
2021-01-13,0.01721,0.0207,0.01696,0.0202,405811.0
2021-01-14,0.0202,0.02139,0.01883,0.01943,522207.36
2021-01-15,0.01943,0.01986,0.0187,0.01908,112371.89
2021-01-16,0.01908,0.0203,0.01908,0.01947,86762.94
2021-01-17,0.01947,0.02,0.01853,0.01998,370186.86
2021-01-18,0.01998,0.02123,0.01896,0.02006,994834.63
2021-01-19,0.02006,0.02325,0.02006,0.02325,2835608.34
2021-01-20,0.02325,0.02361,0.02101,0.02201,1114495.78
2021-01-21,0.02201,0.02244,0.0188,0.01917,729647.0
2021-01-22,0.01917,0.02039,0.01718,0.01979,108356.12
2021-01-23,0.01979,0.01991,0.01943,0.01964,31550.56
2021-01-24,0.01964,0.0203,0.01949,0.01977,127411.14
2021-01-25,0.01977,0.02107,0.01891,0.01911,742388.53
2021-01-26,0.01911,0.0204,0.01842,0.02029,505208.85
2021-01-27,0.02029,0.02044,0.01859,0.01944,373259.41
2021-01-28,0.01944,0.02037,0.01944,0.02007,194574.72
2021-01-29,0.02007,0.02084,0.0195,0.02084,424178.72
2021-01-30,0.02084,0.02286,0.01988,0.02137,226546.73
2021-01-31,0.02137,0.02198,0.01981,0.02166,275116.52
2021-02-01,0.02166,0.02333,0.01673,0.02251,283273.72
2021-02-02,0.02251,0.02334,0.02201,0.02274,195566.9
2021-02-03,0.02274,0.02395,0.02265,0.02352,203468.01
2021-02-04,0.02352,0.02457,0.0219,0.0232,1650451.84
2021-02-05,0.0232,0.0254,0.0232,0.0251,272343.61
2021-02-06,0.0251,0.0254,0.02209,0.02389,961341.22
2021-02-07,0.02389,0.02389,0.02127,0.0227,497509.86
2021-02-08,0.0227,0.02444,0.02137,0.02437,540685.47
2021-02-09,0.02437,0.02784,0.02406,0.02686,720218.61
2021-02-10,0.02686,0.03111,0.02413,0.02946,1806087.19
2021-02-11,0.02946,0.03243,0.02885,0.02941,650382.07
2021-02-12,0.02941,0.03705,0.02721,0.036,1148225.53
2021-02-13,0.036,0.0376,0.032,0.0364,1024629.48
2021-02-14,0.0364,0.03857,0.03226,0.03533,858034.12
2021-02-15,0.03533,0.03808,0.02829,0.03352,1185969.98
2021-02-16,0.03352,0.03695,0.02912,0.033,256359.63
2021-02-17,0.033,0.03917,0.033,0.0365,60145.15
2021-02-18,0.0365,0.03975,0.03645,0.039,95430.37
2021-02-19,0.039,0.06791,0.039,0.0533,1880220.95
2021-02-20,0.0533,0.05603,0.04628,0.05035,86865.46
2021-02-21,0.05035,0.05617,0.04589,0.0546,111565.14
2021-02-22,0.0546,0.0546,0.04104,0.04805,68712.54
2021-02-23,0.04805,0.04805,0.03159,0.04044,180510.13
2021-02-24,0.04044,0.05597,0.03951,0.04997,90058.27
2021-02-25,0.04997,0.064,0.0461,0.05157,87860.08
2021-02-26,0.05157,0.05359,0.04604,0.05036,122835.38
2021-02-27,0.05036,0.0618,0.05036,0.05286,235016.19
2021-02-28,0.05286,0.05485,0.04703,0.05072,208859.55
2021-03-01,0.05072,0.05661,0.05072,0.05339,159026.3
2021-03-02,0.05339,0.06813,0.05339,0.0658,1565673.85
2021-03-03,0.0658,0.09002,0.0658,0.08509,2363386.45
2021-03-04,0.08509,0.1511,0.08256,0.1188,3042715.25
2021-03-05,0.1188,0.1424,0.1044,0.12,487205.36
2021-03-06,0.12,0.1225,0.1013,0.1154,820292.03
2021-03-07,0.1154,0.1649,0.1154,0.1291,848046.32
2021-03-08,0.1291,0.25,0.1291,0.2221,3756965.89
2021-03-09,0.2221,0.319,0.2106,0.264,4236002.65
2021-03-10,0.264,0.2866,0.2345,0.252,1434121.22
2021-03-11,0.252,0.4,0.252,0.3527,2316269.62
2021-03-12,0.3527,0.92,0.3527,0.7246,5512691.97
2021-03-13,0.7246,0.9,0.595,0.6,3684144.1
2021-03-14,0.6,0.75,0.5786,0.6566,3848219.74
2021-03-15,0.6566,0.7,0.585,0.6034,2354413.78
2021-03-16,0.6034,0.6106,0.474,0.5243,3032391.15
2021-03-17,0.5243,0.61,0.48,0.5806,2773459.98
2021-03-18,0.5806,0.67,0.5656,0.6401,2217085.5
2021-03-19,0.6401,0.7123,0.5876,0.6047,1709584.24
2021-03-20,0.6047,0.6156,0.5352,0.5387,1625814.52
2021-03-21,0.5387,0.61,0.534,0.554,1162067.37
