date,open,high,low,close,volume
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-16,0.0,0.0,0.0,0.0,0.0
2020-06-17,0.0,0.0,0.0,0.0,0.0
2020-06-18,2.34e-06,208.12,2.31e-06,203.49,39.38
2020-06-19,203.49,320.19,93.77,246.09,104.24
2020-06-20,246.09,260.93,195.79,260.48,190.15
2020-06-21,260.48,383.44,259.27,334.91,992.91
2020-06-22,334.91,369.82,235.76,283.44,509.2
2020-06-23,1.05e-05,427.24,1.05e-05,240.8,30294.48
2020-06-24,240.8,249.0,190.19,208.15,27396.13
2020-06-25,208.15,254.78,197.55,227.13,64770.05
2020-06-26,227.13,272.9,226.3,262.38,48687.16
2020-06-27,262.38,265.0,223.52,230.25,33524.06
2020-06-28,230.25,255.0,228.0,244.81,18516.23
2020-06-29,243.7,247.59,232.07,233.17,40258.21
2020-06-30,233.67,242.55,211.32,215.98,26436.91
2020-07-01,215.98,220.98,201.0,201.15,19319.1
2020-07-02,201.15,205.12,175.34,180.0,35877.58
2020-07-03,180.22,192.21,171.08,171.9,116007.75
2020-07-04,171.77,194.0,163.01,179.92,32581.18
2020-07-05,179.92,220.0,177.5,200.16,59410.63
2020-07-06,200.16,207.39,186.36,195.02,31480.42
2020-07-07,195.02,197.43,183.2,187.17,14946.33
2020-07-08,187.17,190.5,174.04,184.52,22146.93
2020-07-09,184.52,188.99,175.61,180.34,13899.54
2020-07-10,180.34,180.7,170.51,175.43,12140.9
2020-07-11,175.43,185.14,174.4,178.19,13434.22
2020-07-12,178.19,183.55,173.93,175.86,8928.94
2020-07-13,175.86,178.47,157.39,166.19,17070.37
2020-07-14,166.19,168.84,159.88,164.06,11444.82
2020-07-15,164.06,167.44,159.35,160.12,9857.01
2020-07-16,160.12,163.71,152.68,155.13,18483.14
2020-07-17,155.13,178.79,154.17,167.02,29434.64
2020-07-18,167.02,167.73,161.03,163.95,11895.88
2020-07-19,163.95,164.73,159.59,163.08,7912.05
2020-07-20,163.08,175.51,154.85,158.25,22729.28
2020-07-21,158.25,163.3,157.31,159.73,8688.99
2020-07-22,159.73,160.03,153.74,157.6,13540.11
2020-07-23,157.6,164.77,155.49,156.02,16320.96
2020-07-24,156.02,158.21,155.11,155.33,6433.79
2020-07-25,155.33,157.5,154.58,155.8,8541.34
