date,open,high,low,close,volume
2020-06-15,0.04089,0.04119,0.0375,0.03836,341492.79
2020-06-16,0.03836,0.0395,0.03836,0.0394,19293.67
2020-06-17,0.0394,0.0417,0.03836,0.0414,12033.4
2020-06-18,0.0414,0.0414,0.04054,0.041,39207.54
2020-06-19,0.04181,0.04236,0.04046,0.04117,9547160.99
2020-06-20,0.04117,0.04257,0.0412,0.04234,14562154.79
2020-06-21,0.04102,0.04478,0.04102,0.04478,3202.28
2020-06-22,0.04478,0.0469,0.04405,0.04439,15213.36
2020-06-23,0.04623,0.0462,0.04472,0.04498,17273100.65
2020-06-24,0.04498,0.04386,0.04149,0.0429,11949016.58
2020-06-25,0.0429,0.04278,0.04087,0.04275,13808709.66
2020-06-26,0.04394,0.04394,0.03842,0.03889,32402.45
2020-06-27,0.03889,0.03987,0.03501,0.03605,37690.03
2020-06-28,0.03605,0.04276,0.03464,0.0369,95297.22
2020-06-29,0.0369,0.03768,0.03569,0.03705,68626.39
2020-06-30,0.03705,0.04369,0.03698,0.0375,14605.26
2020-07-01,0.0379,0.0402,0.03882,0.03951,11745799.61
2020-07-02,0.03951,0.03961,0.03782,0.03801,7412875.55
2020-07-03,0.03801,0.03904,0.0376,0.03821,6130421.91
2020-07-04,0.03821,0.03968,0.03853,0.03922,12770504.51
2020-07-05,0.03922,0.03922,0.03781,0.03831,7705600.75
2020-07-06,0.03725,0.04,0.03612,0.04,10564.4
2020-07-07,0.04,0.04092,0.03891,0.04092,9175.99
2020-07-08,0.04,0.04324,0.0405,0.04102,12933519.4
2020-07-09,0.04102,0.0414,0.03987,0.03992,13944937.13
2020-07-10,0.03992,0.04086,0.03905,0.04052,10850626.0
2020-07-11,0.0402,0.0402,0.03834,0.03843,21285.79
2020-07-12,0.03843,0.04092,0.03843,0.04051,8849.96
2020-07-13,0.04051,0.04236,0.03977,0.03977,38656.65
2020-07-14,0.04098,0.04143,0.03965,0.04015,10034204.69
2020-07-15,0.04015,0.04101,0.03934,0.03958,229807521.59
2020-07-16,0.04024,0.04024,0.03751,0.03763,8680.02
2020-07-17,0.03901,0.03976,0.03862,0.03911,11128273.85
2020-07-18,0.03911,0.03986,0.03891,0.03962,10770522.68
2020-07-19,0.0394,0.04163,0.0394,0.04163,17208.54
2020-07-20,0.04163,0.04265,0.04124,0.04124,62596.95
2020-07-21,0.04124,0.05115,0.04124,0.04779,442549.77
2020-07-22,0.04779,0.04884,0.04518,0.046,18515.43
2020-07-23,0.046,0.04931,0.04566,0.04781,53170.73
2020-07-24,0.04802,0.05094,0.04555,0.04613,18527586.85
2020-07-25,0.04613,0.05557,0.04643,0.04643,16357010.5
2020-07-26,0.04643,0.0489,0.04217,0.04429,14052761.43
2020-07-27,0.04598,0.04598,0.03901,0.04002,281143.95
