date,open,high,low,close,volume
2020-06-15,1.632,1.656,1.546,1.584,111493.91
2020-06-16,1.584,1.615,1.565,1.601,57760.08
2020-06-17,1.601,1.64,1.583,1.618,115321.77
2020-06-18,1.618,1.636,1.568,1.571,42516.61
2020-06-19,1.571,1.645,1.558,1.614,63083.24
2020-06-20,1.614,1.682,1.599,1.671,71926.84
2020-06-21,1.671,1.673,1.589,1.612,61176.71
2020-06-22,1.612,1.706,1.62,1.622,99863.16
2020-06-23,1.622,1.678,1.604,1.674,66619.44
2020-06-24,1.674,1.642,1.572,1.59,73559.62
2020-06-25,1.59,1.62,1.557,1.565,73020.18
2020-06-26,1.565,1.622,1.536,1.561,128000.3
2020-06-27,1.561,1.542,1.423,1.438,100389.68
2020-06-28,1.438,1.529,1.366,1.415,251427.97
2020-06-29,1.415,1.513,1.373,1.417,727202.1
2020-06-30,1.417,1.408,1.359,1.399,49847.7
2020-07-01,1.396,1.467,1.38,1.413,67479.77
2020-07-02,1.413,1.411,1.345,1.359,104669.19
2020-07-03,1.359,1.456,1.346,1.442,96115.11
2020-07-04,1.442,1.489,1.425,1.48,101835.95
2020-07-05,1.48,1.482,1.418,1.437,105785.99
2020-07-06,1.437,1.546,1.462,1.524,115238.39
2020-07-07,1.524,1.529,1.415,1.521,94977.57
2020-07-08,1.521,1.599,1.538,1.598,147643.51
2020-07-09,1.598,1.581,1.533,1.552,107970.73
2020-07-10,1.551,1.959,1.546,1.891,94600.67
2020-07-11,1.891,2.041,1.797,1.936,37323.24
2020-07-12,1.936,2.244,1.852,2.141,46490.02
2020-07-13,2.136,2.14,1.896,2.065,168245.37
2020-07-14,2.065,2.097,1.901,2.019,107439.31
2020-07-15,2.019,2.092,1.96,1.96,124830.7
2020-07-16,1.96,2.004,1.875,1.964,136139.78
2020-07-17,1.964,1.997,1.883,1.958,118921.04
2020-07-18,1.967,2.031,1.927,1.947,33871.84
2020-07-19,1.947,2.219,1.937,2.089,40103.07
2020-07-20,2.075,2.127,2.016,2.056,134306.34
2020-07-21,2.056,2.112,2.018,2.068,120651.07
2020-07-22,2.068,2.278,2.079,2.088,173301.48
2020-07-23,2.088,2.226,2.068,2.11,124804.13
2020-07-24,2.11,2.421,2.054,2.413,265286.41
2020-07-25,2.382,3.485,2.558,3.167,198255.94
2020-07-26,3.184,3.298,2.595,2.728,485561.45
2020-07-27,2.728,3.031,2.618,2.714,294014.21
2020-07-28,2.714,3.012,2.655,2.948,207540.96
2020-07-29,2.948,3.164,2.915,2.979,232115.59
2020-07-30,2.979,3.083,2.744,2.751,256284.64
2020-07-31,2.751,2.888,2.697,2.699,162815.59
2020-08-01,2.699,2.836,2.62,2.692,203329.3
2020-08-02,2.692,2.574,2.375,2.422,172180.38
2020-08-03,2.422,2.594,2.417,2.511,179654.49
2020-08-04,2.511,2.529,2.429,2.506,143455.63
