date,open,high,low,close,volume
2020-06-15,6.309,7.844,5.85,7.844,177197.29
2020-06-16,7.844,8.168,5.858,7.535,258752.4
2020-06-17,7.535,7.793,7.04,7.761,64792.94
2020-06-18,7.761,8.003,6.948,7.336,97507.22
2020-06-19,7.336,7.428,6.538,6.686,78290.89
2020-06-20,6.686,7.027,6.435,6.91,57750.32
2020-06-21,6.91,7.318,6.748,7.129,27143.67
2020-06-22,7.129,7.613,6.718,6.909,55399.7
2020-06-23,6.909,6.977,5.828,6.374,90405.27
2020-06-24,6.374,6.464,5.827,6.27,41648.1
2020-06-25,6.27,6.386,5.641,5.88,28243.07
2020-06-26,5.88,6.019,5.499,5.499,46283.56
2020-06-27,5.499,5.928,4.454,5.86,29798.42
2020-06-28,5.86,6.003,5.297,5.691,20315.76
2020-06-29,5.691,5.92,5.115,5.549,40027.8
2020-06-30,5.549,5.716,4.991,5.558,40899.92
2020-07-01,5.558,6.409,5.374,6.372,78511.78
2020-07-02,6.372,7.452,6.008,6.442,149537.68
2020-07-03,6.442,6.525,5.614,5.892,66657.05
2020-07-04,5.892,6.079,5.795,5.95,31565.47
2020-07-05,5.95,6.116,5.69,5.998,36682.01
2020-07-06,5.998,6.411,5.591,5.866,65237.41
2020-07-07,5.866,5.915,5.329,5.479,57230.07
2020-07-08,5.479,5.695,5.208,5.38,67405.31
2020-07-09,5.38,6.169,5.088,6.023,112675.81
2020-07-10,6.023,6.214,5.675,5.834,49387.08
2020-07-11,5.834,5.916,5.564,5.771,38771.46
2020-07-12,5.771,5.935,5.635,5.917,42771.52
2020-07-13,5.917,6.651,5.731,6.205,126947.88
2020-07-14,6.205,7.004,6.042,6.613,78570.87
2020-07-15,6.613,6.568,5.731,5.796,62453.95
2020-07-16,5.796,5.919,5.452,5.607,63926.5
2020-07-17,5.607,5.84,5.356,5.735,45794.56
2020-07-18,5.735,5.963,5.522,5.679,22218.07
2020-07-19,5.679,5.86,5.375,5.712,25423.24
2020-07-20,5.712,5.886,5.106,5.779,31208.69
2020-07-21,5.779,5.971,5.186,5.505,25577.37
2020-07-22,5.505,6.862,5.476,6.862,63734.6
2020-07-23,6.862,7.538,6.406,6.977,128411.57
2020-07-24,6.977,7.64,6.691,7.311,57210.8
2020-07-25,7.311,7.776,6.772,6.991,30345.38
2020-07-26,6.991,7.559,6.584,6.849,30231.63
2020-07-27,6.849,7.976,7.177,7.5,33055.82
2020-07-28,7.5,7.544,6.785,6.955,13886.38
2020-07-29,6.955,8.194,6.439,7.802,58456.74
2020-07-30,7.802,8.838,7.621,8.309,86409.59
2020-07-31,8.309,8.831,7.6,8.377,59307.77
2020-08-01,8.377,9.397,8.227,9.381,45630.34
2020-08-02,9.381,9.713,8.589,9.448,92240.26
2020-08-03,9.448,13.23,9.571,12.02,98773.07
2020-08-04,12.02,12.34,11.32,12.17,38606.89
2020-08-05,12.17,12.82,11.41,11.93,39877.05
2020-08-06,11.93,12.01,10.85,11.41,34261.47
2020-08-07,11.41,11.78,10.6,11.06,29146.79
2020-08-08,11.06,12.94,11.15,12.71,27282.12
2020-08-09,12.71,12.73,10.98,11.8,32874.35
2020-08-10,11.8,12.71,11.37,11.94,45057.81
2020-08-11,11.94,12.02,11.05,11.86,21466.27
2020-08-12,11.86,12.72,11.78,11.78,33699.39
2020-08-13,11.78,12.57,11.69,12.0,50128.23
2020-08-14,12.0,12.23,10.92,11.97,35734.19
2020-08-15,11.97,12.34,11.42,11.77,37058.86
2020-08-16,11.77,12.85,11.83,12.16,29215.62
2020-08-17,12.16,13.27,12.22,12.95,67795.3
2020-08-18,12.95,13.33,12.29,12.73,53891.42
2020-08-19,12.73,12.78,11.55,12.12,33275.34
2020-08-20,12.12,13.58,11.76,13.1,57240.83
2020-08-21,13.1,13.07,12.0,12.28,28707.29
2020-08-22,12.28,13.0,12.18,12.83,33442.45
2020-08-23,12.83,12.89,12.46,12.6,10513.24
