date,open,high,low,close,volume
2020-06-15,0.181,0.1811,0.1597,0.1788,1547194.18
2020-06-16,0.1788,0.1862,0.1701,0.1794,1040454.6
2020-06-17,0.1794,0.1802,0.1694,0.1738,1125935.43
2020-06-18,0.1738,0.1848,0.1718,0.1774,2559769.71
2020-06-19,0.1774,0.1801,0.1709,0.1724,1195367.04
2020-06-20,0.1724,0.1738,0.1674,0.1706,952789.25
2020-06-21,0.1706,0.1751,0.1689,0.1704,588699.55
2020-06-22,0.1704,0.1775,0.1697,0.1775,1902503.5
2020-06-23,0.1775,0.19,0.1753,0.1816,2566867.35
2020-06-24,0.1816,0.1874,0.1701,0.1751,1715339.73
2020-06-25,0.1751,0.1752,0.1663,0.1694,1098525.74
2020-06-26,0.1694,0.1732,0.1586,0.1601,1783153.53
2020-06-27,0.1601,0.1602,0.1468,0.153,1731305.48
2020-06-28,0.153,0.16,0.1451,0.1555,1429615.25
2020-06-29,0.1555,0.1755,0.1528,0.1717,1761852.99
2020-06-30,0.1717,0.1793,0.1675,0.1675,1588878.65
2020-07-01,0.1675,0.173,0.1627,0.1721,1775236.37
2020-07-02,0.1721,0.1751,0.1611,0.1671,2299367.22
2020-07-03,0.1671,0.1748,0.1657,0.1717,2343374.02
2020-07-04,0.1717,0.1852,0.1709,0.1815,4261561.23
2020-07-05,0.1815,0.1894,0.1685,0.1731,2323358.39
2020-07-06,0.1731,0.1802,0.1713,0.1787,1504179.9
2020-07-07,0.1787,0.1791,0.1736,0.1763,2192950.13
2020-07-08,0.1763,0.1855,0.1752,0.1848,4030969.25
2020-07-09,0.1848,0.1946,0.177,0.1844,2567040.48
2020-07-10,0.1844,0.1846,0.1695,0.1764,2576769.7
2020-07-11,0.1764,0.1824,0.1753,0.1811,1810229.92
2020-07-12,0.1811,0.1817,0.173,0.177,1771263.75
2020-07-13,0.177,0.1916,0.1745,0.18,3154430.39
2020-07-14,0.18,0.1992,0.1775,0.1859,5065220.41
2020-07-15,0.1859,0.192,0.1838,0.1843,1895130.73
2020-07-16,0.1843,0.1992,0.1703,0.1916,6088490.07
2020-07-17,0.1916,0.2158,0.1915,0.2005,8927874.97
2020-07-18,0.2005,0.2173,0.1968,0.2076,3643987.22
2020-07-19,0.2076,0.2117,0.1968,0.208,1545401.48
2020-07-20,0.208,0.208,0.1927,0.1935,1906830.4
2020-07-21,0.1935,0.1976,0.186,0.1943,2276224.23
2020-07-22,0.1943,0.1982,0.1903,0.1904,1184328.16
2020-07-23,0.1904,0.1918,0.1848,0.1858,1736795.08
2020-07-24,0.1858,0.1887,0.1836,0.1865,712144.98
2020-07-25,0.1865,0.1934,0.1856,0.1876,695222.97
2020-07-26,0.1876,0.1897,0.1772,0.1791,1272715.11
2020-07-27,0.1791,0.1798,0.1619,0.1698,2017877.79
2020-07-28,0.1698,0.1766,0.1653,0.1744,835842.88
2020-07-29,0.1744,0.1846,0.1744,0.176,1409486.06
2020-07-30,0.176,0.1799,0.1737,0.1784,399307.92
2020-07-31,0.1784,0.1828,0.1725,0.1748,820797.45
2020-08-01,0.1748,0.1799,0.1728,0.1763,1110971.9
2020-08-02,0.1763,0.1809,0.1672,0.1747,1006560.91
2020-08-03,0.1747,0.1808,0.1743,0.1785,772293.38
2020-08-04,0.1785,0.1906,0.1785,0.1875,962174.21
2020-08-05,0.1875,0.1982,0.1864,0.1893,1076334.49
2020-08-06,0.1893,0.1952,0.1857,0.1928,619084.04
2020-08-07,0.1928,0.2111,0.1928,0.2093,2187715.83
2020-08-08,0.2093,0.22,0.2065,0.2119,2561630.84
2020-08-09,0.2119,0.2387,0.2044,0.2215,3538079.61
2020-08-10,0.2215,0.2261,0.2076,0.2248,1911724.95
2020-08-11,0.2248,0.2255,0.1958,0.2031,1695412.08
2020-08-12,0.2031,0.2099,0.1958,0.2079,682849.88
2020-08-13,0.2079,0.2219,0.2001,0.2108,1668582.33
2020-08-14,0.2108,0.218,0.2057,0.2091,1181785.87
2020-08-15,0.2091,0.2142,0.2039,0.2058,925433.63
2020-08-16,0.2058,0.2146,0.2031,0.2139,676016.59
2020-08-17,0.2139,0.2147,0.2014,0.2065,1344173.5
2020-08-18,0.2065,0.2133,0.1994,0.2085,1276174.99
2020-08-19,0.2085,0.2111,0.1933,0.1972,1249662.4
2020-08-20,0.1972,0.21,0.1951,0.2083,887617.33
2020-08-21,0.2083,0.2354,0.2069,0.2096,3533639.94
2020-08-22,0.2096,0.2278,0.197,0.2263,1656542.1
2020-08-23,0.2263,0.2271,0.2131,0.2212,675367.13
2020-08-24,0.2212,0.2585,0.2158,0.2458,3479492.01
2020-08-25,0.2458,0.2458,0.2141,0.2278,2460499.3
2020-08-26,0.2278,0.2361,0.2204,0.2271,1014184.94
2020-08-27,0.2271,0.2273,0.2015,0.2111,1167671.92
2020-08-28,0.2111,0.2243,0.2073,0.2221,651666.43
2020-08-29,0.2221,0.2221,0.2108,0.2133,756045.12
2020-08-30,0.2133,0.2275,0.212,0.2185,886128.54
2020-08-31,0.2185,0.2235,0.2141,0.2147,483231.91
2020-09-01,0.2147,0.2162,0.2075,0.2105,904674.07
2020-09-02,0.2105,0.2106,0.1991,0.2021,788558.7
2020-09-03,0.2021,0.2084,0.1625,0.1709,1888359.43
2020-09-04,0.1709,0.1848,0.1593,0.1703,589662.11
2020-09-05,0.1703,0.1759,0.1427,0.1539,723707.29
2020-09-06,0.1539,0.1618,0.1437,0.1595,671424.02
2020-09-07,0.1595,0.1612,0.1383,0.15,1197464.06
2020-09-08,0.15,0.1566,0.1424,0.1535,513916.4
2020-09-09,0.1535,0.1719,0.1509,0.1641,931464.91
2020-09-10,0.1641,0.1783,0.1639,0.1764,700975.39
2020-09-11,0.1764,0.1772,0.1665,0.172,291514.99
2020-09-12,0.172,0.1728,0.1667,0.1724,268750.91
2020-09-13,0.1724,0.1734,0.1575,0.1619,262421.83
2020-09-14,0.1619,0.1675,0.159,0.1672,239311.08
2020-09-15,0.1672,0.174,0.1577,0.1581,668963.04
2020-09-16,0.1581,0.159,0.1526,0.1558,325615.19
2020-09-17,0.1558,0.1633,0.1551,0.1614,317497.16
2020-09-18,0.1614,0.1708,0.1583,0.1654,755509.93
2020-09-19,0.1654,0.1724,0.1629,0.1691,371974.36
2020-09-20,0.1691,0.1691,0.1564,0.1603,537756.23
2020-09-21,0.1603,0.166,0.1412,0.145,620692.27
2020-09-22,0.145,0.1572,0.1405,0.1548,665965.52
2020-09-23,0.1548,0.1631,0.1427,0.1434,843198.72
2020-09-24,0.1434,0.1568,0.1417,0.1552,532884.05
2020-09-25,0.1552,0.159,0.1471,0.1537,709527.77
2020-09-26,0.1537,0.1638,0.1537,0.1615,345967.82
2020-09-27,0.1615,0.1808,0.1565,0.1698,2196490.09
2020-09-28,0.1698,0.1774,0.1645,0.1678,1388157.62
2020-09-29,0.1678,0.182,0.1566,0.1607,2284427.12
2020-09-30,0.1607,0.164,0.1564,0.1606,1040203.0
2020-10-01,0.1606,0.1654,0.1503,0.1537,820267.88
2020-10-02,0.1537,0.1547,0.1438,0.1507,951258.24
2020-10-03,0.1507,0.1541,0.1484,0.1495,289053.25
2020-10-04,0.1495,0.1545,0.1463,0.1527,398855.79
2020-10-05,0.1527,0.1559,0.1483,0.1549,698351.67
2020-10-06,0.1549,0.1557,0.1427,0.1434,849930.73
2020-10-07,0.1434,0.1489,0.139,0.1488,636516.76
2020-10-08,0.1488,0.1522,0.1413,0.1508,1182087.12
2020-10-09,0.1508,0.1565,0.1476,0.1543,576800.82
2020-10-10,0.1543,0.1636,0.1542,0.16,483760.21
2020-10-11,0.16,0.1663,0.1565,0.1587,578118.23
2020-10-12,0.1587,0.1719,0.1578,0.1663,1505840.92
2020-10-13,0.1663,0.1666,0.1575,0.1617,675792.24
2020-10-14,0.1617,0.1626,0.1501,0.1539,503757.96
2020-10-15,0.1539,0.1559,0.1496,0.1528,516105.15
2020-10-16,0.1528,0.1533,0.144,0.1457,593655.65
2020-10-17,0.1457,0.1512,0.1446,0.1485,217197.86
2020-10-18,0.1485,0.1509,0.1471,0.1509,180768.87
2020-10-19,0.1509,0.1511,0.1469,0.1491,252721.87
2020-10-20,0.1491,0.1491,0.1373,0.1402,383163.13
2020-10-21,0.1402,0.149,0.1401,0.1438,370530.93
2020-10-22,0.1438,0.1543,0.1438,0.1512,535902.51
2020-10-23,0.1512,0.1532,0.1453,0.1473,324166.14
2020-10-24,0.1473,0.1502,0.1447,0.1466,178819.58
2020-10-25,0.1466,0.1484,0.1422,0.144,279551.93
2020-10-26,0.144,0.1455,0.1326,0.1383,402449.03
2020-10-27,0.1383,0.1418,0.1358,0.139,230805.15
2020-10-28,0.139,0.1409,0.131,0.1345,182436.23
2020-10-29,0.1345,0.1375,0.1304,0.1323,384137.48
2020-10-30,0.1323,0.1333,0.1252,0.1267,504834.85
2020-10-31,0.1267,0.1311,0.1262,0.1272,233782.7
2020-11-01,0.1272,0.1287,0.124,0.1263,303129.81
2020-11-02,0.1263,0.1294,0.121,0.1217,316218.53
2020-11-03,0.1217,0.1217,0.1153,0.1188,279473.46
2020-11-04,0.1188,0.1197,0.1115,0.1179,180396.46
