date,open,high,low,close,volume
2020-06-15,2.567,2.568,2.425,2.533,1555848.25
2020-06-16,2.533,2.566,2.523,2.554,721314.9
2020-06-17,2.554,2.603,2.521,2.57,1021730.14
2020-06-18,2.57,2.574,2.499,2.538,647838.88
2020-06-19,2.538,2.547,2.502,2.524,637720.82
2020-06-20,2.524,2.557,2.465,2.538,955666.01
2020-06-21,2.538,2.556,2.512,2.516,485116.02
2020-06-22,2.516,2.608,2.513,2.59,1304451.19
2020-06-23,2.59,2.601,2.558,2.572,743453.87
2020-06-24,2.572,2.6,2.459,2.501,1557719.44
2020-06-25,2.501,2.53,2.436,2.479,826402.19
2020-06-26,2.479,2.512,2.387,2.481,775401.82
2020-06-27,2.481,2.483,2.22,2.332,1431241.04
2020-06-28,2.332,2.425,2.307,2.369,642024.47
2020-06-29,2.369,2.415,2.325,2.38,744501.59
2020-06-30,2.38,2.388,2.346,2.369,414713.11
2020-07-01,2.369,2.404,2.357,2.379,635749.46
2020-07-02,2.379,2.388,2.308,2.36,988690.52
2020-07-03,2.36,2.456,2.353,2.419,1070801.34
2020-07-04,2.419,2.495,2.416,2.461,907041.86
2020-07-05,2.461,2.472,2.33,2.411,736179.9
2020-07-06,2.411,2.639,2.403,2.615,2885119.55
2020-07-07,2.615,2.628,2.526,2.557,1056006.4
2020-07-08,2.557,2.704,2.544,2.683,2039449.81
2020-07-09,2.683,2.728,2.584,2.651,1766779.35
2020-07-10,2.651,2.651,2.575,2.624,842753.99
2020-07-11,2.624,2.639,2.593,2.621,391922.4
2020-07-12,2.621,2.656,2.573,2.618,1178775.78
2020-07-13,2.618,2.647,2.457,2.554,2113490.24
2020-07-14,2.554,2.575,2.506,2.56,740951.15
2020-07-15,2.56,2.567,2.499,2.539,918837.75
2020-07-16,2.539,2.572,2.441,2.501,1243052.76
2020-07-17,2.501,2.52,2.476,2.497,430595.95
2020-07-18,2.497,2.519,2.484,2.504,330734.23
2020-07-19,2.504,2.611,2.473,2.585,1184823.68
2020-07-20,2.585,2.616,2.539,2.566,1052204.52
2020-07-21,2.566,2.636,2.56,2.625,1109556.9
2020-07-22,2.625,2.672,2.584,2.667,1136182.16
2020-07-23,2.667,2.692,2.636,2.659,1715873.54
2020-07-24,2.659,2.659,2.578,2.6,1019852.07
2020-07-25,2.6,2.749,2.598,2.731,1643786.2
2020-07-26,2.731,2.805,2.689,2.716,1961145.42
2020-07-27,2.716,2.933,2.649,2.853,4424470.98
2020-07-28,2.853,3.08,2.782,3.004,3844225.37
2020-07-29,3.004,3.153,2.957,3.027,2994774.16
2020-07-30,3.027,3.105,2.962,3.053,1582118.67
2020-07-31,3.053,3.146,3.016,3.096,1550569.63
2020-08-01,3.096,3.328,3.074,3.307,3581276.06
2020-08-02,3.307,3.486,2.614,2.943,6129756.87
2020-08-03,2.943,3.122,2.905,3.048,2212953.48
2020-08-04,3.048,3.1,2.962,3.035,1691764.39
2020-08-05,3.035,3.1,3.005,3.054,1435249.76
2020-08-06,3.054,3.177,3.002,3.089,2450741.0
2020-08-07,3.089,3.246,2.816,3.01,3168165.46
2020-08-08,3.01,3.088,2.975,3.064,1051960.73
2020-08-09,3.064,3.083,2.938,3.03,1638259.41
2020-08-10,3.03,3.297,3.029,3.24,3944847.21
2020-08-11,3.24,3.297,2.886,3.005,3844103.78
2020-08-12,3.005,3.048,2.891,3.025,1794107.13
2020-08-13,3.025,3.149,2.922,3.141,2613154.93
2020-08-14,3.141,3.296,3.092,3.263,3617297.15
2020-08-15,3.263,3.852,3.263,3.719,8831958.55
2020-08-16,3.719,3.945,3.53,3.884,6929739.71
2020-08-17,3.884,3.915,3.686,3.781,4127672.65
2020-08-18,3.781,3.825,3.547,3.585,2915093.86
2020-08-19,3.585,3.63,3.222,3.351,4516953.98
2020-08-20,3.351,3.463,3.351,3.444,2574275.3
2020-08-21,3.444,3.627,3.233,3.248,5335787.91
2020-08-22,3.248,3.38,3.166,3.367,1634560.92
2020-08-23,3.367,3.386,3.231,3.324,1107898.41
2020-08-24,3.324,3.424,3.29,3.388,1300369.89
2020-08-25,3.388,3.392,3.026,3.126,4293412.79
2020-08-26,3.126,3.168,3.066,3.12,1360252.4
2020-08-27,3.12,3.15,2.86,2.981,2655474.07
2020-08-28,2.981,3.177,2.945,3.118,1490959.6
2020-08-29,3.118,3.206,3.088,3.132,1980601.85
2020-08-30,3.132,3.274,3.131,3.265,1733631.61
2020-08-31,3.265,3.297,3.198,3.211,972559.76
2020-09-01,3.211,3.554,3.156,3.477,3248364.85
2020-09-02,3.477,3.499,2.957,3.106,3791512.29
2020-09-03,3.106,3.16,2.52,2.621,4043652.42
2020-09-04,2.621,3.224,2.59,3.006,3532257.74
2020-09-05,3.006,3.156,2.783,2.937,5198047.41
2020-09-06,2.937,3.028,2.818,2.905,1488003.82
2020-09-07,2.905,2.939,2.672,2.856,2409700.9
2020-09-08,2.856,2.864,2.68,2.767,1449982.35
2020-09-09,2.767,2.815,2.701,2.752,831278.52
2020-09-10,2.752,2.845,2.746,2.781,1454022.44
2020-09-11,2.781,2.821,2.721,2.788,1470409.35
2020-09-12,2.788,2.83,2.744,2.807,1145957.99
2020-09-13,2.807,2.826,2.676,2.722,1442345.23
2020-09-14,2.722,2.765,2.691,2.731,971782.3
2020-09-15,2.731,2.784,2.701,2.708,2203985.17
2020-09-16,2.708,2.754,2.591,2.715,1948769.19
2020-09-17,2.715,2.779,2.699,2.741,1223895.77
2020-09-18,2.741,2.755,2.656,2.694,1432317.39
2020-09-19,2.694,2.737,2.684,2.706,659087.74
2020-09-20,2.706,2.706,2.627,2.672,506441.49
2020-09-21,2.672,2.69,2.503,2.507,1009567.43
2020-09-22,2.507,2.587,2.496,2.574,523612.57
2020-09-23,2.574,2.58,2.393,2.442,1004757.56
2020-09-24,2.441,2.671,2.518,2.535,3102169.99
2020-09-25,2.535,2.563,2.467,2.548,1081876.61
2020-09-26,2.548,2.608,2.511,2.569,681490.19
2020-09-27,2.569,2.603,2.53,2.591,485790.96
2020-09-28,2.591,2.634,2.557,2.564,850943.02
2020-09-29,2.564,2.604,2.558,2.602,490466.64
2020-09-30,2.602,2.603,2.558,2.578,474786.29
2020-10-01,2.578,2.628,2.492,2.548,1592311.8
2020-10-02,2.548,2.556,2.421,2.481,1367779.68
2020-10-03,2.481,2.505,2.473,2.48,296336.26
2020-10-04,2.48,2.535,2.468,2.519,514207.67
2020-10-05,2.519,2.54,2.494,2.529,485789.13
2020-10-06,2.529,2.975,2.49,2.696,7265412.71
2020-10-07,2.696,2.717,2.594,2.647,2466739.64
2020-10-08,2.647,2.657,2.507,2.61,2770632.72
2020-10-09,2.61,2.658,2.585,2.646,975885.38
2020-10-10,2.646,2.721,2.638,2.642,1305055.18
2020-10-11,2.642,2.689,2.62,2.66,771720.69
2020-10-12,2.66,2.686,2.613,2.647,1197156.52
2020-10-13,2.647,2.664,2.613,2.64,354521.59
2020-10-14,2.64,2.653,2.586,2.611,580323.53
2020-10-15,2.611,2.631,2.585,2.599,963505.22
2020-10-16,2.599,2.612,2.496,2.538,1232342.26
2020-10-17,2.538,2.55,2.508,2.526,387084.75
2020-10-18,2.526,2.556,2.521,2.548,308084.68
2020-10-19,2.548,2.612,2.527,2.584,586042.57
2020-10-20,2.584,2.586,2.506,2.529,622626.48
2020-10-21,2.529,2.659,2.525,2.612,2049621.23
2020-10-22,2.612,2.706,2.611,2.671,1362161.33
2020-10-23,2.671,2.685,2.603,2.642,737020.68
2020-10-24,2.642,2.673,2.618,2.663,412752.89
2020-10-25,2.663,2.741,2.622,2.709,921342.25
2020-10-26,2.709,2.749,2.596,2.633,1163579.89
2020-10-27,2.633,2.696,2.629,2.672,572214.54
2020-10-28,2.672,2.746,2.625,2.655,712517.57
2020-10-29,2.655,2.677,2.605,2.638,587492.35
2020-10-30,2.638,2.646,2.422,2.51,2200356.19
2020-10-31,2.51,2.557,2.5,2.527,1346169.12
2020-11-01,2.527,2.541,2.463,2.518,762671.26
2020-11-02,2.518,2.549,2.41,2.435,1177073.12
2020-11-03,2.435,2.443,2.264,2.368,1155699.27
2020-11-04,2.368,2.375,2.295,2.35,475550.68
2020-11-05,2.35,2.49,2.35,2.442,898150.91
2020-11-06,2.442,2.544,2.439,2.534,908412.59
2020-11-07,2.534,2.625,2.459,2.501,981362.28
2020-11-08,2.501,2.563,2.49,2.539,371211.71
2020-11-09,2.539,2.559,2.463,2.497,514632.4
2020-11-10,2.497,2.528,2.481,2.501,440946.15
2020-11-11,2.501,2.541,2.496,2.502,904489.25
2020-11-12,2.502,2.505,2.438,2.462,970134.23
2020-11-13,2.462,2.642,2.459,2.598,1868103.72
2020-11-14,2.598,2.606,2.497,2.538,1110091.54
2020-11-15,2.538,2.547,2.469,2.498,753553.95
2020-11-16,2.498,2.607,2.487,2.584,1525926.71
2020-11-17,2.584,2.755,2.578,2.718,3619028.72
2020-11-18,2.718,2.734,2.451,2.64,3428836.63
2020-11-19,2.64,2.699,2.562,2.638,1912391.78
2020-11-20,2.638,2.828,2.637,2.782,3851488.07
2020-11-21,2.782,3.254,2.695,3.228,9942794.91
2020-11-22,3.228,3.3,2.909,3.063,6544925.16
2020-11-23,3.063,3.397,2.99,3.379,8453939.93
2020-11-24,3.379,3.766,3.335,3.594,14377125.57
2020-11-25,3.594,3.888,3.302,3.427,10736687.43
2020-11-26,3.427,3.526,2.714,2.958,12129743.78
2020-11-27,2.958,3.033,2.76,2.876,4191558.6
2020-11-28,2.876,3.073,2.829,2.998,3423513.8
2020-11-29,2.998,3.099,2.908,3.034,2483235.28
2020-11-30,3.034,3.283,3.0,3.261,5608341.16
2020-12-01,3.261,3.337,2.924,2.999,6603255.75
2020-12-02,2.999,3.086,2.97,3.061,1627386.72
2020-12-03,3.061,3.136,3.013,3.085,1466735.7
2020-12-04,3.085,3.139,2.8,2.847,3235107.97
2020-12-05,2.847,3.013,2.824,3.012,1112214.87
2020-12-06,3.012,3.034,2.913,2.998,938747.75
2020-12-07,2.998,3.008,2.908,2.952,1074483.46
2020-12-08,2.952,2.962,2.748,2.802,2191112.52
2020-12-09,2.802,2.887,2.669,2.812,4584899.27
2020-12-10,2.812,2.814,2.704,2.743,1110667.84
2020-12-11,2.743,2.748,2.653,2.696,3809122.04
2020-12-12,2.696,2.788,2.681,2.767,1148857.41
2020-12-13,2.767,2.901,2.755,2.853,2270075.76
2020-12-14,2.853,2.864,2.801,2.845,1138010.85
2020-12-15,2.845,2.903,2.809,2.865,1876078.5
2020-12-16,2.865,3.112,2.821,3.103,3727968.85
2020-12-17,3.103,3.248,2.958,3.042,15414865.6
2020-12-18,3.042,3.13,2.98,3.064,2350333.56
2020-12-19,3.064,3.121,3.036,3.056,1829406.27
2020-12-20,3.056,3.329,3.006,3.132,6596128.73
2020-12-21,3.132,3.273,2.905,2.929,6562260.2
2020-12-22,2.929,2.952,2.768,2.901,3004136.48
2020-12-23,2.901,2.912,1.958,2.312,16284982.9
2020-12-24,2.312,2.689,2.252,2.668,11593643.46
2020-12-25,2.668,2.743,2.545,2.666,8010305.4
2020-12-26,2.666,2.693,2.526,2.608,4584251.34
2020-12-27,2.608,2.865,2.474,2.713,7641466.53
2020-12-28,2.713,2.889,2.685,2.763,4137178.54
2020-12-29,2.763,2.786,2.501,2.636,5101756.07
2020-12-30,2.636,2.666,2.538,2.612,3339048.32
2020-12-31,2.612,2.656,2.513,2.593,4333614.49
2021-01-01,2.593,2.734,2.571,2.64,4495835.89
2021-01-02,2.64,2.724,2.565,2.632,6161474.96
2021-01-03,2.632,2.848,2.579,2.796,8262468.9
2021-01-04,2.796,3.124,2.608,2.822,16223653.0
2021-01-05,2.822,2.957,2.714,2.894,6260631.78
2021-01-06,2.894,3.461,2.853,3.376,18587525.19
2021-01-07,3.376,3.454,3.054,3.196,15601755.22
2021-01-08,3.196,3.255,2.891,3.114,10336578.05
2021-01-09,3.114,3.743,3.015,3.63,14625715.98
2021-01-10,3.63,3.922,2.862,3.065,36303619.5
2021-01-11,3.065,3.073,2.384,2.669,24797079.77
2021-01-12,2.669,2.772,2.533,2.595,7890697.37
2021-01-13,2.595,2.793,2.524,2.77,8083291.04
2021-01-14,2.77,2.856,2.693,2.81,7912200.05
2021-01-15,2.81,2.932,2.581,2.762,9664382.26
2021-01-16,2.762,2.882,2.707,2.778,7607198.31
2021-01-17,2.778,2.808,2.683,2.765,3994742.54
2021-01-18,2.765,2.834,2.704,2.815,3553514.89
2021-01-19,2.815,2.93,2.787,2.793,6176356.81
2021-01-20,2.793,2.825,2.66,2.777,4167353.38
2021-01-21,2.777,2.784,2.497,2.544,5318490.44
2021-01-22,2.544,2.68,2.433,2.629,5678159.84
2021-01-23,2.629,2.78,2.576,2.705,5052911.34
2021-01-24,2.705,2.775,2.651,2.718,3709107.18
2021-01-25,2.718,2.77,2.633,2.649,4654553.17
2021-01-26,2.649,2.674,2.557,2.631,3203686.58
2021-01-27,2.631,2.631,2.459,2.507,3796382.48
2021-01-28,2.507,2.797,2.483,2.712,6433996.26
2021-01-29,2.712,2.907,2.654,2.728,8380797.73
2021-01-30,2.728,3.097,2.69,2.934,11785440.87
2021-01-31,2.934,3.071,2.807,2.932,11250948.46
2021-02-01,2.932,3.279,2.897,3.058,18562907.16
2021-02-02,3.058,3.077,2.96,3.003,5686039.79
2021-02-03,3.003,3.143,2.99,3.071,6155982.98
2021-02-04,3.071,3.15,2.988,3.027,6669904.39
2021-02-05,3.027,3.379,3.014,3.316,12362738.48
2021-02-06,3.316,3.328,3.139,3.216,7161207.93
2021-02-07,3.216,3.596,3.033,3.444,19470259.08
2021-02-08,3.444,3.601,3.352,3.601,10282921.1
2021-02-09,3.601,4.315,3.491,4.17,24582663.66
2021-02-10,4.17,4.541,3.667,4.132,29437349.48
2021-02-11,4.132,4.678,4.008,4.586,18425008.87
2021-02-12,4.586,4.843,4.243,4.761,15631525.14
2021-02-13,4.761,5.565,4.498,5.562,25390976.22
2021-02-14,5.562,5.608,4.874,5.071,19173294.81
2021-02-15,5.071,5.247,4.114,4.709,27385445.16
2021-02-16,4.709,4.969,4.413,4.649,15809287.3
2021-02-17,4.649,4.888,4.434,4.842,10705840.68
2021-02-18,4.842,4.985,4.667,4.823,7813055.56
2021-02-19,4.823,5.37,4.646,5.23,13497459.75
2021-02-20,5.23,5.448,4.514,4.839,15988586.42
2021-02-21,4.839,5.363,4.736,5.102,8749115.9
2021-02-22,5.102,5.302,4.12,4.688,25601358.57
2021-02-23,4.688,4.716,3.192,3.852,39123152.15
2021-02-24,3.852,4.141,3.679,3.893,10731153.41
2021-02-25,3.893,4.096,3.626,3.67,7484374.76
2021-02-26,3.67,3.769,3.402,3.553,9884606.0
2021-02-27,3.553,3.841,3.546,3.677,5954073.01
2021-02-28,3.677,3.7,3.252,3.482,7973044.48
2021-03-01,3.482,3.762,3.459,3.708,5172982.54
