date,open,high,low,close,volume
2020-06-15,0.02853,0.02945,0.02631,0.02855,69683.04
2020-06-16,0.02855,0.03297,0.02909,0.03295,195695.43
2020-06-17,0.03295,0.03436,0.03053,0.03058,190613.74
2020-06-18,0.03058,0.03129,0.03025,0.03055,29379.74
2020-06-19,0.03055,0.03236,0.02941,0.03158,133790.36
2020-06-20,0.03158,0.03266,0.03058,0.03117,29175.88
2020-06-21,0.03117,0.03242,0.03039,0.03105,60687.99
2020-06-22,0.03105,0.0355,0.03075,0.03136,121625.66
2020-06-23,0.03136,0.03164,0.02981,0.03008,30002.93
2020-06-24,0.03008,0.0308,0.02217,0.02864,3463.47
2020-06-25,0.02864,0.02837,0.02619,0.02804,197125.77
2020-06-26,0.02804,0.03334,0.02737,0.02772,117706.3
2020-06-27,0.02772,0.02683,0.02575,0.02632,32415.36
2020-06-28,0.02632,0.0295,0.02621,0.02666,25194.93
2020-06-29,0.02666,0.03005,0.02686,0.02718,45014.1
2020-06-30,0.02718,0.02966,0.02646,0.02748,40612.46
2020-07-01,0.02748,0.02842,0.02724,0.02754,27399.79
2020-07-02,0.02754,0.03119,0.027,0.02967,74685.76
2020-07-03,0.02967,0.03375,0.02884,0.03049,82202.15
2020-07-04,0.03049,0.03298,0.02919,0.02997,143789.68
2020-07-05,0.02997,0.03076,0.02839,0.02839,143386.33
2020-07-06,0.02839,0.03169,0.02957,0.03169,37339.95
2020-07-07,0.03169,0.03262,0.03006,0.03191,122556.12
2020-07-08,0.03191,0.03642,0.03183,0.03642,198981.03
2020-07-09,0.03642,0.03571,0.03324,0.03498,33503.33
2020-07-10,0.03498,0.03683,0.03324,0.03534,101262.13
2020-07-11,0.03534,0.04613,0.03381,0.03852,117523.5
2020-07-12,0.03852,0.04284,0.03728,0.04199,152578.94
2020-07-13,0.04199,0.05047,0.04141,0.04688,479523.81
2020-07-14,0.04688,0.0528,0.04282,0.04592,264988.69
2020-07-15,0.04592,0.04876,0.0433,0.04828,97577.49
2020-07-16,0.04828,0.05672,0.04644,0.05219,178016.48
2020-07-17,0.05219,0.05382,0.04967,0.05114,120717.81
2020-07-18,0.05114,0.925,0.04913,0.05625,211495.28
2020-07-19,0.05625,0.06748,0.04964,0.05437,222832.24
2020-07-20,0.05437,0.06022,0.05221,0.05552,173125.09
2020-07-21,0.05552,0.05987,0.04851,0.05648,494499.34
2020-07-22,0.05648,0.06534,0.05207,0.05514,297793.63
2020-07-23,0.05514,0.05783,0.04816,0.05287,345486.27
2020-07-24,0.05287,0.05363,0.04812,0.05027,139488.44
2020-07-25,0.05027,0.06486,0.05059,0.05059,364925.76
2020-07-26,0.05059,0.05426,0.04987,0.05379,67460.96
2020-07-27,0.05379,0.06632,0.05052,0.06364,332759.87
2020-07-28,0.06364,0.07454,0.05997,0.07302,722520.2
2020-07-29,0.07302,0.07616,0.06652,0.06836,152964.1
2020-07-30,0.06836,0.0819,0.07137,0.07583,96707.08
2020-07-31,0.07583,0.08962,0.0713,0.07415,238093.16
2020-08-01,0.07415,0.08918,0.07117,0.07547,359045.17
2020-08-02,0.07547,0.0806,0.06713,0.07137,178677.31
2020-08-03,0.07137,0.07923,0.07062,0.07224,150584.85
2020-08-04,0.07224,0.08408,0.07016,0.0773,79539.08
2020-08-05,0.0773,0.09222,0.07806,0.08752,221354.26
2020-08-06,0.08752,0.1027,0.08498,0.09679,154409.5
2020-08-07,0.09679,0.1066,0.08859,0.09611,164030.62
2020-08-08,0.09611,0.1067,0.09176,0.09382,273018.83
2020-08-09,0.09382,0.09913,0.0861,0.09421,399868.2
2020-08-10,0.09421,0.1094,0.08748,0.1062,327305.03
2020-08-11,0.1062,0.1168,0.08943,0.09364,279559.67
2020-08-12,0.09364,0.1059,0.09207,0.09699,216920.56
2020-08-13,0.09699,0.1197,0.09269,0.09579,318481.66
2020-08-14,0.09579,0.123,0.09599,0.111,555491.17
2020-08-15,0.111,0.1333,0.1055,0.1168,287404.65
2020-08-16,0.1168,0.1514,0.1171,0.1353,467133.98
2020-08-17,0.1353,0.1797,0.1292,0.1594,501386.5
2020-08-18,0.1393,0.1583,0.1393,0.1485,4158312.27
2020-08-19,0.1485,0.1485,0.1298,0.1305,645732.89
2020-08-20,0.1305,0.1439,0.1166,0.1171,12452989.04
