date,open,high,low,close,volume
2020-06-15,0.5098,0.515,0.494,0.513,39410.0
2020-06-16,0.513,0.517,0.5078,0.5132,32036.0
2020-06-17,0.5132,0.5132,0.5044,0.5099,20343.0
2020-06-18,0.5099,0.5128,0.5019,0.5107,27081.0
2020-06-19,0.5107,0.5107,0.4948,0.5019,34582.02
2020-06-20,0.5019,0.5067,0.4906,0.4977,26656.0
2020-06-21,0.4977,0.5038,0.4962,0.4989,29106.0
2020-06-22,0.4989,0.5148,0.4934,0.511,24268.0
2020-06-23,0.511,0.5127,0.5021,0.5041,28763.0
2020-06-24,0.5041,0.511,0.4923,0.5002,29638.0
2020-06-25,0.5002,0.5031,0.492,0.4997,29113.0
2020-06-26,0.499,0.5012,0.4913,0.4993,318483.08
2020-06-27,0.4978,0.5021,0.4841,0.4856,17424.0
2020-06-28,0.4856,0.4922,0.4758,0.4878,29436.0
2020-06-29,0.4878,0.5121,0.4817,0.5033,43876.0
2020-06-30,0.5033,0.5048,0.4717,0.4864,44542.11
2020-07-01,0.4864,0.4924,0.4777,0.4891,33462.0
2020-07-02,0.4891,0.5088,0.4822,0.4909,35728.0
2020-07-03,0.4909,0.5152,0.4903,0.5044,95299.12
2020-07-04,0.5044,0.5202,0.5002,0.5137,62411.0
2020-07-05,0.5137,0.5189,0.5046,0.5138,60141.01
2020-07-06,0.5138,0.5407,0.5119,0.5359,67174.01
2020-07-07,0.5359,0.5398,0.529,0.5324,46416.06
2020-07-08,0.5324,0.5405,0.53,0.5357,31044.16
2020-07-09,0.5357,0.554,0.5291,0.5356,49225.99
2020-07-10,0.5356,0.5367,0.522,0.5308,41883.03
2020-07-11,0.5308,0.5389,0.5289,0.5322,35825.03
2020-07-12,0.5322,0.5461,0.5309,0.5394,61312.94
2020-07-13,0.5394,0.5417,0.5338,0.5361,47056.98
2020-07-14,0.5361,0.5385,0.5232,0.5294,51735.03
2020-07-15,0.5294,0.5454,0.5137,0.5194,89032.4
2020-07-16,0.5194,0.5224,0.5039,0.5105,30764.01
2020-07-17,0.5105,0.5234,0.5091,0.5179,32594.06
2020-07-18,0.5179,0.5225,0.514,0.5175,12553.0
2020-07-19,0.5175,0.5234,0.5158,0.522,9508.03
2020-07-20,0.522,0.5234,0.5183,0.5204,11515.02
2020-07-21,0.5204,0.5288,0.5174,0.5286,11343.96
2020-07-22,0.5286,0.5315,0.5199,0.5292,19839.78
2020-07-23,0.5292,0.5299,0.5239,0.5277,27129.0
2020-07-24,0.5277,0.5287,0.5165,0.519,33962.0
2020-07-25,0.519,0.5291,0.519,0.5282,26050.0
