date,open,high,low,close,volume
2020-06-15,28.93,29.42,27.43,27.82,982.35
2020-06-16,27.82,30.53,27.65,28.61,664.43
2020-06-17,27.57,29.12,25.87,29.04,465.68
2020-06-18,29.04,29.65,24.18,29.65,757.98
2020-06-19,29.71,30.71,29.51,30.65,573.46
2020-06-20,30.65,30.97,29.32,30.22,182.46
2020-06-21,30.13,30.39,28.59,28.81,1183.84
2020-06-22,28.81,30.63,28.88,29.17,2565.49
2020-06-23,29.17,29.74,26.66,28.87,2502.16
2020-06-24,28.87,28.34,27.41,27.52,2005.85
2020-06-25,27.52,28.19,27.08,27.08,564.71
2020-06-26,27.08,27.03,24.71,24.84,1555.75
2020-06-27,24.84,24.84,21.53,23.05,2840.59
2020-06-28,23.52,24.68,22.3,22.63,1114.54
2020-06-29,22.61,24.47,22.22,23.18,568.6
2020-06-30,23.18,23.54,22.44,22.8,169.83
2020-07-01,22.8,27.96,21.83,26.64,1529.48
2020-07-02,26.64,27.75,24.25,26.08,965.99
2020-07-03,26.02,26.82,25.76,26.03,1536.99
2020-07-04,26.03,26.65,24.84,25.39,1255.59
2020-07-05,25.39,25.24,24.4,24.63,1219.0
2020-07-06,24.63,25.94,24.53,25.64,918.33
2020-07-07,25.69,26.56,25.09,26.03,1861.86
2020-07-08,26.03,27.77,25.81,27.14,2354.44
2020-07-09,27.0,27.29,25.0,25.36,1323.58
2020-07-10,25.95,28.08,25.78,27.52,1842.21
2020-07-11,27.1,27.9,25.75,27.45,1502.55
2020-07-12,28.09,28.89,26.65,27.44,1335.89
2020-07-13,27.44,28.91,26.6,27.28,1022.83
2020-07-14,27.28,28.52,26.93,28.06,1295.13
2020-07-15,28.06,28.29,26.91,27.33,990.6
2020-07-16,27.33,27.3,25.64,25.93,1042.37
2020-07-17,25.93,26.97,25.73,26.78,1580.61
2020-07-18,27.0,36.16,26.58,30.9,1437.64
2020-07-19,30.9,32.82,28.88,32.82,3082.78
2020-07-20,32.82,32.82,29.09,29.76,1464.35
2020-07-21,29.76,31.6,29.72,31.6,459.1
2020-07-22,31.6,32.51,31.29,32.37,1145.4
2020-07-23,32.19,33.99,31.92,32.25,1286.18
2020-07-24,32.17,32.96,30.0,32.5,1230.47
2020-07-25,32.5,33.72,32.42,33.49,986.1
2020-07-26,33.37,34.39,30.15,31.12,1791.92
2020-07-27,31.12,31.53,29.43,29.85,1455.16
2020-07-28,29.85,29.99,29.17,29.7,662.6
2020-07-29,29.49,30.65,29.03,30.33,3028.02
2020-07-30,30.31,31.06,29.17,30.46,1587.89
2020-07-31,30.68,32.01,30.83,31.1,804.96
2020-08-01,30.96,32.21,30.7,31.88,720.15
2020-08-02,31.99,32.12,29.16,30.31,2653.59
2020-08-03,30.31,31.46,29.8,30.54,1200.92
2020-08-04,30.54,31.49,30.08,31.11,998.13
2020-08-05,31.12,33.14,30.36,31.9,1429.35
2020-08-06,31.8,32.28,31.13,31.72,1047.43
2020-08-07,31.42,31.31,30.4,30.87,899.54
2020-08-08,30.87,31.98,30.59,31.91,860.66
2020-08-09,31.83,32.94,31.71,32.8,1014.76
2020-08-10,32.91,33.86,31.77,32.12,1773.19
2020-08-11,32.22,30.85,29.93,30.04,1291.1
2020-08-12,30.04,31.79,30.63,31.56,1729.2
2020-08-13,31.56,41.77,32.07,40.6,3871.26
2020-08-14,40.6,57.81,40.54,50.88,7116.59
2020-08-15,50.88,54.22,45.89,46.84,3368.79
2020-08-16,46.84,51.16,45.67,49.46,2315.48
2020-08-17,49.46,51.66,46.76,47.1,1496.83
2020-08-18,47.1,46.15,41.98,44.12,1255.59
2020-08-19,44.12,45.15,42.55,43.09,2196.57
2020-08-20,43.09,48.32,43.4,47.55,1970.69
2020-08-21,47.4,48.99,44.23,44.33,1121.96
2020-08-22,44.85,46.19,44.01,45.12,642.46
2020-08-23,45.18,45.98,44.0,44.8,669.68
2020-08-24,44.8,45.82,44.43,44.82,393.6
2020-08-25,44.82,44.91,40.91,41.2,751.81
2020-08-26,41.2,41.39,39.53,40.19,713.78
2020-08-27,40.19,40.51,36.97,37.28,570.6
2020-08-28,37.28,41.53,37.28,41.03,755.38
2020-08-29,40.74,42.59,41.0,42.59,1240.7
2020-08-30,42.59,51.61,44.88,44.88,2045.85
2020-08-31,44.9,46.37,42.14,44.99,2015.29
2020-09-01,45.15,71.8,49.34,60.9,14164.11
2020-09-02,59.81,67.0,53.78,66.29,1865.87
2020-09-03,66.29,69.22,49.52,53.98,2611.73
2020-09-04,53.24,64.99,48.82,51.56,4710.87
2020-09-05,51.56,52.26,44.62,48.04,2688.29
2020-09-06,48.04,52.73,48.88,49.09,1800.4
2020-09-07,49.09,49.94,46.83,47.86,1162.16
2020-09-08,47.86,59.32,45.59,55.75,3518.61
2020-09-09,55.2,70.0,55.2,60.67,2826.82
2020-09-10,60.82,72.66,60.15,69.68,3248.76
