date,open,high,low,close,volume
2020-06-15,1.014,1.015,0.999,1.005,12587.5
2020-06-16,1.005,1.013,1.002,1.003,12406.44
2020-06-17,1.003,1.011,0.9994,1.005,12499.8
2020-06-18,1.005,1.007,1.0,1.003,9885.35
2020-06-19,1.003,1.009,1.0,1.001,11673.61
2020-06-20,1.001,1.006,1.0,1.005,12308.03
2020-06-21,1.005,1.008,0.9997,1.005,12496.85
2020-06-22,1.005,1.006,0.999,1.002,12312.32
2020-06-23,1.002,1.006,0.9985,1.0,12410.88
2020-06-24,1.0,1.007,0.9677,0.9963,36963.59
2020-06-25,0.9963,1.006,0.9931,0.9981,13179.49
2020-06-26,0.9981,1.012,0.9937,1.003,12477.65
2020-06-27,1.003,1.013,1.0,1.004,12418.52
2020-06-28,1.004,1.016,1.0,1.014,12406.09
2020-06-29,1.014,1.015,1.001,1.01,12329.9
2020-06-30,1.01,1.01,1.0,1.001,12060.7
2020-07-01,1.001,1.015,0.9801,0.9826,69017.57
2020-07-02,0.9826,1.013,0.9797,1.013,57087.0
2020-07-03,1.013,1.017,0.9931,1.005,12409.86
2020-07-04,1.005,1.014,0.9931,1.001,12484.97
2020-07-05,1.001,1.012,0.9961,1.003,12383.64
2020-07-06,1.003,1.009,0.9973,1.002,12267.1
2020-07-07,1.002,1.005,0.998,0.9998,12389.7
2020-07-08,0.9998,1.013,0.998,1.012,12406.6
2020-07-09,1.012,1.014,0.9998,1.014,12492.29
2020-07-10,1.014,1.014,1.001,1.008,12804.87
2020-07-11,1.008,1.014,1.006,1.012,12359.08
2020-07-12,1.012,1.014,1.009,1.012,11764.43
2020-07-13,1.012,1.014,1.009,1.011,13087.85
2020-07-14,1.011,1.014,1.009,1.011,12692.15
2020-07-15,1.011,1.014,1.009,1.011,12427.36
2020-07-16,1.011,1.013,1.009,1.009,12480.24
2020-07-17,1.009,1.011,1.009,1.01,12643.53
2020-07-18,1.01,1.011,1.005,1.005,12604.2
2020-07-19,1.005,1.011,1.005,1.008,12415.0
2020-07-20,1.008,1.013,1.005,1.012,12098.54
2020-07-21,1.012,1.022,1.005,1.018,12436.86
2020-07-22,1.018,1.024,1.007,1.018,12408.26
2020-07-23,1.018,1.022,1.006,1.01,12185.29
2020-07-24,1.01,1.02,1.006,1.008,12998.04
2020-07-25,1.008,1.018,1.006,1.011,13034.27
2020-07-26,1.011,1.018,1.007,1.013,12363.49
2020-07-27,1.013,1.026,1.006,1.013,13452.12
2020-07-28,1.013,1.032,1.001,1.011,16389.25
2020-07-29,1.011,1.017,1.006,1.009,12708.0
2020-07-30,1.009,1.01,1.006,1.008,12504.77
2020-07-31,1.008,1.01,0.9977,0.9977,12408.73
2020-08-01,0.9977,1.017,0.9976,1.007,12761.38
2020-08-02,1.007,1.018,0.99,1.005,11608.69
2020-08-03,1.005,1.012,0.994,0.9998,12252.13
2020-08-04,0.9998,1.01,0.9925,1.003,12732.42
2020-08-05,1.003,1.013,1.001,1.007,12288.21
2020-08-06,1.007,1.01,1.004,1.006,12376.45
2020-08-07,1.006,1.01,1.005,1.007,12242.59
2020-08-08,1.007,1.01,1.005,1.006,12440.82
2020-08-09,1.006,1.009,1.0,1.005,12756.78
2020-08-10,1.005,1.013,1.0,1.009,12359.86
2020-08-11,1.009,1.009,0.992,0.9985,12479.29
2020-08-12,0.9985,1.01,0.992,1.0,12317.95
2020-08-13,1.0,1.005,0.992,1.002,12214.42
2020-08-14,1.002,1.01,0.9934,1.004,17812.23
2020-08-15,1.004,1.01,0.9969,1.007,12417.06
2020-08-16,1.007,1.01,0.9925,1.003,12651.9
2020-08-17,1.003,1.013,0.996,1.003,11800.83
2020-08-18,1.003,1.012,0.9925,1.005,12117.26
2020-08-19,1.005,1.008,0.9925,0.9954,12230.58
2020-08-20,0.9954,1.001,0.9925,0.9979,12548.49
2020-08-21,0.9979,0.9993,0.9918,0.9967,12711.4
2020-08-22,0.9967,0.9983,0.991,0.9943,12308.14
2020-08-23,0.9943,1.006,0.9923,0.9969,13210.44
2020-08-24,0.9969,1.008,0.9922,0.9976,13413.03
2020-08-25,0.9976,1.007,0.991,0.9981,11729.9
2020-08-26,0.9981,1.002,0.99,0.9938,12275.07
2020-08-27,0.9938,1.002,0.989,0.998,13134.84
2020-08-28,0.998,1.01,0.792,1.004,14402.18
2020-08-29,1.004,1.004,1.002,1.004,11896.39
2020-08-30,1.004,1.004,0.9902,0.9938,12459.91
2020-08-31,0.9938,1.01,0.992,1.005,12392.38
2020-09-01,1.005,1.012,0.9964,1.004,11106.04
2020-09-02,1.004,1.006,0.9566,1.002,26820.29
2020-09-03,1.002,1.005,0.977,0.9835,10010.89
2020-09-04,0.9835,1.006,0.9817,1.0,6496.69
2020-09-05,1.0,1.002,0.977,0.9944,8535.7
2020-09-06,0.9944,1.002,0.977,0.9934,8907.79
2020-09-07,0.9934,1.002,0.977,0.9899,10057.92
2020-09-08,0.9899,1.002,0.9771,0.9883,7848.82
2020-09-09,0.9883,1.0,0.977,0.9867,6984.85
2020-09-10,0.9867,1.003,0.9837,0.9925,7051.31
2020-09-11,0.9925,1.001,0.9878,0.9954,8226.33
2020-09-12,0.9954,1.0,0.9897,0.9993,6956.14
2020-09-13,0.9993,1.002,0.9944,0.9984,6868.51
2020-09-14,0.9984,1.002,0.9952,1.0,6910.65
2020-09-15,1.0,1.002,0.9884,0.9982,6894.65
2020-09-16,0.9982,1.001,0.8844,0.9848,7315.62
2020-09-17,0.9848,1.001,0.9747,0.9963,7235.7
2020-09-18,0.9963,1.002,0.9861,0.9932,6967.14
2020-09-19,0.9932,1.009,0.9886,0.9965,8127.51
2020-09-20,0.9965,1.002,0.9874,0.9947,6990.03
2020-09-21,0.9947,1.0,0.9514,0.9923,5154.98
2020-09-22,0.9923,0.9974,0.96,0.988,6934.76
2020-09-23,0.988,0.9963,0.9789,0.9888,6987.36
2020-09-24,0.9888,1.0,0.9803,0.9979,7049.45
2020-09-25,0.9979,0.9993,0.985,0.9954,8151.8
2020-09-26,0.9954,1.0,0.9809,0.9912,7102.78
2020-09-27,0.9912,0.9959,0.9861,0.995,6951.37
2020-09-28,0.995,0.9959,0.985,0.9905,6977.13
2020-09-29,0.9905,0.9942,0.985,0.9863,7278.26
2020-09-30,0.9863,1.002,0.985,0.9918,10528.53
2020-10-01,0.9918,0.999,0.9657,0.9913,7498.29
2020-10-02,0.9913,0.997,0.98,0.9817,7126.64
2020-10-03,0.9817,0.9935,0.9816,0.9869,6959.65
2020-10-04,0.9869,0.9935,0.9862,0.9911,6886.7
2020-10-05,0.9911,0.9911,0.9822,0.9891,6475.66
2020-10-06,0.9891,0.9891,0.9891,0.9891,5801.96
2020-10-07,0.9891,0.9899,0.98,0.9896,7119.91
2020-10-08,0.9896,1.0,0.9834,0.9971,7608.9
2020-10-09,0.9971,1.0,0.98,0.9907,7172.06
2020-10-10,0.9907,1.0,0.9867,0.9936,7493.45
2020-10-11,0.9936,1.0,0.9814,0.9908,7162.99
2020-10-12,0.9908,1.01,0.9842,1.0,7278.02
2020-10-13,1.0,1.0,0.9862,0.9876,5805.2
2020-10-14,0.9876,0.9961,0.9862,0.9907,6986.16
2020-10-15,0.9907,1.0,0.9668,0.9891,5838.93
2020-10-16,0.9891,0.9932,0.9757,0.9857,6911.65
2020-10-17,0.9857,0.9916,0.9787,0.9825,8721.88
2020-10-18,0.9825,1.0,0.9811,0.9881,7146.83
2020-10-19,0.9881,1.0,0.9831,0.9915,8592.27
2020-10-20,0.9915,1.01,0.983,0.9936,8263.55
2020-10-21,0.9936,1.12,0.991,1.054,16579.87
2020-10-22,1.054,1.078,1.004,1.052,22395.16
2020-10-23,1.052,1.075,1.005,1.013,7874.74
2020-10-24,1.013,1.015,0.987,1.004,5317.25
2020-10-25,1.004,1.006,0.988,0.9996,9523.13
2020-10-26,0.9996,1.02,0.9882,1.015,8906.54
2020-10-27,1.015,1.03,0.9962,1.007,8335.14
2020-10-28,1.007,1.011,1.0,1.009,2519.45
2020-10-29,1.009,2.492,1.004,1.01,16000.03
2020-10-30,1.01,1.014,0.9888,1.008,6684.65
2020-10-31,1.008,1.02,0.999,1.001,6080.4
2020-11-01,1.001,1.002,0.999,0.9999,5722.53
2020-11-02,0.9999,1.001,0.9989,0.9995,5364.94
2020-11-03,0.9995,1.0,0.9951,0.9982,3064.88
2020-11-04,0.9982,0.9994,0.98,0.9902,3129.26
2020-11-05,0.9902,1.0,0.983,0.9897,2654.69
2020-11-06,0.9897,0.998,0.983,0.9865,2660.23
2020-11-07,0.9865,0.998,0.9849,0.994,2470.57
2020-11-08,0.994,1.0,0.9849,0.9954,3147.26
2020-11-09,0.9954,1.0,0.9898,0.9959,3068.01
2020-11-10,0.9959,1.0,0.9932,0.999,3860.17
2020-11-11,0.999,1.0,0.99,0.9992,5792.18
2020-11-12,0.9992,1.631,0.9791,1.005,31595.09
2020-11-13,1.005,1.005,0.983,0.9905,4827.82
2020-11-14,0.9905,1.0,0.99,0.9961,5574.37
2020-11-15,0.9961,1.0,0.9857,0.9899,5689.29
2020-11-16,0.9899,1.0,0.983,0.9904,5809.86
2020-11-17,0.9904,1.0,0.9845,0.9905,3624.06
2020-11-18,0.9905,1.0,0.95,0.9952,6142.18
2020-11-19,0.9952,0.9973,0.9651,0.9862,11141.49
2020-11-20,0.9862,0.99,0.9787,0.9842,4006.74
2020-11-21,0.9842,1.02,0.9794,0.9862,5529.9
2020-11-22,0.9862,0.99,0.9811,0.9871,3966.27
2020-11-23,0.9871,0.9914,0.986,0.9881,13636.64
2020-11-24,0.9881,1.006,0.9819,0.9926,5711.01
2020-11-25,0.9926,1.003,0.9902,0.996,6307.87
2020-11-26,0.996,1.001,0.98,0.9868,4886.1
2020-11-27,0.9868,1.0,0.9835,0.9931,5056.31
2020-11-28,0.9931,0.9998,0.9753,0.9911,3884.87
2020-11-29,0.9911,0.993,0.9751,0.9898,3785.09
2020-11-30,0.9898,1.006,0.98,0.9911,5337.75
2020-12-01,0.9911,1.023,0.9802,0.9898,4591.35
2020-12-02,0.9898,0.996,0.983,0.991,4240.71
2020-12-03,0.991,0.9961,0.9879,0.9946,4031.96
2020-12-04,0.9946,0.996,0.9888,0.992,3565.54
2020-12-05,0.992,0.996,0.985,0.9936,3910.08
2020-12-06,0.9936,0.9967,0.9898,0.9965,3648.88
2020-12-07,0.9965,0.9975,0.9907,0.9927,3887.83
2020-12-08,0.9927,0.996,0.9888,0.9919,3763.93
2020-12-09,0.9919,1.0,0.9862,0.9896,3089.18
2020-12-10,0.9896,0.9931,0.9862,0.989,3846.07
2020-12-11,0.989,0.999,0.9657,0.9869,18624.51
2020-12-12,0.9869,0.9983,0.9867,0.9968,3670.64
2020-12-13,0.9968,1.007,0.9867,0.9919,16609.14
2020-12-14,0.9919,1.006,0.9862,0.9904,4089.41
2020-12-15,0.9904,0.9945,0.9862,0.9894,3709.62
2020-12-16,0.9894,0.9981,0.9862,0.9931,4951.94
2020-12-17,0.9931,1.0,0.9841,0.9889,4719.58
2020-12-18,0.9889,0.999,0.982,0.9894,4569.71
2020-12-19,0.9894,0.999,0.9863,0.9945,4309.71
2020-12-20,0.9945,0.999,0.9913,0.9955,3621.99
2020-12-21,0.9955,0.9999,0.9836,0.9902,4103.2
2020-12-22,0.9902,0.997,0.9835,0.9886,3800.32
2020-12-23,0.9886,0.997,0.975,0.9882,10057.46
