date,open,high,low,close,volume
2020-06-15,0.0042,0.004526,0.00396,0.004243,578142528.3
2020-06-16,0.004243,0.004763,0.004287,0.004478,335869326.58
2020-06-17,0.004478,0.004635,0.004162,0.004351,217626900.08
2020-06-18,0.004351,0.00469,0.004221,0.004409,290128653.72
2020-06-19,0.004409,0.005023,0.004279,0.004837,621022724.25
2020-06-20,0.004837,0.005148,0.004586,0.004867,331826046.9
2020-06-21,0.004867,0.005297,0.004739,0.004832,269596833.41
2020-06-22,0.004832,0.005427,0.004652,0.00504,493464492.79
2020-06-23,0.00504,0.005197,0.004812,0.004908,179512908.6
2020-06-24,0.004908,0.004925,0.004554,0.004646,156213226.2
2020-06-25,0.004646,0.004805,0.004528,0.004621,120773141.25
2020-06-26,0.004621,0.004671,0.004213,0.004304,199349404.17
2020-06-27,0.004304,0.004413,0.003783,0.003963,330733651.74
2020-06-28,0.003963,0.00684,0.003922,0.004651,654701215.87
2020-06-29,0.004651,0.004869,0.004318,0.00441,209707065.91
2020-06-30,0.00441,0.00466,0.004386,0.004477,136067521.36
2020-07-01,0.004477,0.004804,0.004435,0.004619,274918259.84
2020-07-02,0.004619,0.005365,0.004546,0.005183,743602639.48
2020-07-03,0.005183,0.005712,0.004987,0.005168,680406596.36
2020-07-04,0.005168,0.005394,0.005028,0.00512,185799929.97
2020-07-05,0.00512,0.005176,0.004813,0.004904,159217354.53
2020-07-06,0.004904,0.005328,0.004954,0.005234,222607401.36
2020-07-07,0.005234,0.005832,0.005092,0.005554,556967589.26
2020-07-08,0.005554,0.006607,0.005475,0.006135,680035824.08
2020-07-09,0.006135,0.006282,0.005913,0.006005,172073800.71
2020-07-10,0.006005,0.006595,0.005852,0.006223,570568570.17
2020-07-11,0.006223,0.006374,0.005912,0.006004,219695694.67
2020-07-12,0.006004,0.006232,0.005953,0.006046,131618603.48
2020-07-13,0.006046,0.006282,0.005912,0.006005,339649549.43
2020-07-14,0.006005,0.006202,0.005646,0.005924,192881714.79
2020-07-15,0.005924,0.005884,0.005516,0.005608,182002360.27
2020-07-16,0.005608,0.006028,0.005571,0.005937,255801084.9
2020-07-17,0.005937,0.006135,0.005769,0.00586,116226270.94
2020-07-18,0.00586,0.005873,0.005598,0.005782,96733246.14
2020-07-19,0.005782,0.006543,0.005806,0.006359,401017068.6
2020-07-20,0.006359,0.007332,0.006323,0.00669,871817560.83
2020-07-21,0.00669,0.00742,0.006481,0.007139,611882999.36
2020-07-22,0.007139,0.007916,0.006962,0.007153,563004388.75
2020-07-23,0.007153,0.007404,0.006731,0.006923,249573821.43
2020-07-24,0.006923,0.00764,0.006781,0.007449,371095146.89
2020-07-25,0.007449,0.008543,0.007475,0.007961,689198920.93
2020-07-26,0.007961,0.008252,0.007059,0.007655,331370448.97
2020-07-27,0.007655,0.01204,0.008061,0.01005,3502245043.21
2020-07-28,0.01005,0.01006,0.008637,0.009075,723885266.07
2020-07-29,0.009075,0.009556,0.008112,0.008445,426789614.54
2020-07-30,0.008445,0.009335,0.008335,0.00878,385117067.45
2020-07-31,0.00878,0.008969,0.00772,0.008628,358507547.6
2020-08-01,0.008628,0.01004,0.008269,0.008505,509298861.27
2020-08-02,0.008505,0.008408,0.007523,0.008076,372326491.37
2020-08-03,0.008076,0.008538,0.00764,0.007977,347047217.89
2020-08-04,0.007977,0.008396,0.007836,0.008284,298260294.46
2020-08-05,0.008284,0.009167,0.008226,0.009049,269793687.96
2020-08-06,0.009049,0.01001,0.008946,0.00977,444744885.72
2020-08-07,0.00977,0.0101,0.009167,0.009863,303774026.81
2020-08-08,0.009863,0.01071,0.009652,0.01012,234726983.27
2020-08-09,0.01012,0.0104,0.009466,0.0104,365073314.4
2020-08-10,0.0104,0.01237,0.009399,0.01154,1457879838.52
2020-08-11,0.01154,0.01241,0.01036,0.01105,1059441572.41
2020-08-12,0.01105,0.0118,0.01064,0.01122,564211995.93
2020-08-13,0.01122,0.01273,0.01049,0.01191,1034121353.82
2020-08-14,0.01191,0.01448,0.01177,0.01342,1336271708.56
2020-08-15,0.01342,0.01364,0.01222,0.01281,413587729.38
2020-08-16,0.01281,0.01394,0.01239,0.01311,475900490.95
2020-08-17,0.01311,0.01378,0.01181,0.01267,415618049.93
2020-08-18,0.01267,0.01232,0.01112,0.01148,488222633.79
2020-08-19,0.01148,0.01153,0.009996,0.0107,535030098.99
2020-08-20,0.0107,0.01246,0.01068,0.0121,435276279.74
2020-08-21,0.0121,0.01176,0.01014,0.01061,363309965.1
2020-08-22,0.01061,0.01085,0.01004,0.01062,216418956.61
2020-08-23,0.01062,0.01084,0.01025,0.0106,244822107.11
2020-08-24,0.0106,0.01164,0.01058,0.0114,607410889.92
2020-08-25,0.0114,0.01122,0.009744,0.01008,469729460.45
2020-08-26,0.01008,0.01112,0.009518,0.01089,835135353.61
2020-08-27,0.01089,0.01178,0.01042,0.0111,843533942.44
2020-08-28,0.0111,0.0113,0.0105,0.01073,421009727.31
2020-08-29,0.01073,0.01079,0.01033,0.01045,233634453.93
2020-08-30,0.01045,0.01113,0.01019,0.01054,253910740.76
2020-08-31,0.01054,0.01096,0.009909,0.01014,317401977.32
2020-09-01,0.01014,0.0105,0.00978,0.01014,297157175.41
2020-09-02,0.01014,0.01049,0.009004,0.01037,344355502.82
2020-09-03,0.01037,0.009361,0.007733,0.007936,373567225.49
2020-09-04,0.007936,0.008374,0.007222,0.008165,235427443.75
2020-09-05,0.008165,0.008134,0.006711,0.007016,245221006.28
2020-09-06,0.007016,0.007285,0.006259,0.007285,313482229.59
2020-09-07,0.007285,0.007369,0.006435,0.006746,310833984.94
2020-09-08,0.006746,0.006786,0.00628,0.006381,203011589.13
2020-09-09,0.006381,0.006956,0.00624,0.006649,322378442.22
2020-09-10,0.006649,0.007139,0.006621,0.006828,252091678.6
2020-09-11,0.006828,0.007383,0.006655,0.007383,271761230.2
2020-09-12,0.007383,0.008463,0.007314,0.00794,413125686.59
2020-09-13,0.00794,0.007956,0.007129,0.007543,172822768.34
2020-09-14,0.007543,0.007795,0.007048,0.007154,147828918.1
2020-09-15,0.007154,0.007335,0.00658,0.006688,135831770.78
2020-09-16,0.006688,0.006793,0.006026,0.006246,316159461.8
2020-09-17,0.006246,0.006567,0.005801,0.00602,230778219.61
2020-09-18,0.00602,0.006125,0.005797,0.006016,181930208.62
2020-09-19,0.006016,0.006318,0.005874,0.006096,175129652.59
2020-09-20,0.006096,0.006007,0.005461,0.00557,142869338.66
2020-09-21,0.00557,0.005522,0.004584,0.005105,243572865.21
2020-09-22,0.005105,0.005689,0.004846,0.005583,280710178.5
2020-09-23,0.005583,0.005529,0.004607,0.00471,138522816.88
2020-09-24,0.00471,0.005264,0.004834,0.005264,237590525.14
2020-09-25,0.005264,0.005561,0.004919,0.005347,295227908.73
2020-09-26,0.005347,0.005582,0.005152,0.005367,157713883.38
2020-09-27,0.005367,0.005499,0.004959,0.005175,197490039.39
2020-09-28,0.005175,0.005243,0.004922,0.005029,164223617.84
2020-09-29,0.005029,0.005312,0.004987,0.005204,154052005.05
2020-09-30,0.005204,0.005821,0.004959,0.005713,317664478.86
2020-10-01,0.005713,0.005949,0.005099,0.005418,312253971.66
2020-10-02,0.005418,0.005817,0.005183,0.005711,195039299.73
2020-10-03,0.005711,0.005698,0.005382,0.005382,109897338.65
2020-10-04,0.005382,0.005551,0.005231,0.005445,126895009.69
2020-10-05,0.005445,0.005506,0.00529,0.00529,83850179.96
