date,open,high,low,close,volume
2020-06-15,1.155,1.167,1.078,1.097,257353.94
2020-06-16,1.097,1.14,1.066,1.134,213536.92
2020-06-17,1.132,1.218,1.092,1.092,47936.72
2020-06-18,1.092,1.177,1.08,1.165,54489.39
2020-06-19,1.165,1.473,1.122,1.387,116761.51
2020-06-20,1.387,1.465,1.34,1.358,95949.32
2020-06-21,1.358,1.442,1.296,1.416,67234.07
2020-06-22,1.416,1.54,1.417,1.532,65900.81
2020-06-23,1.532,1.6,1.485,1.58,105795.53
2020-06-24,1.58,2.014,1.517,1.924,251025.34
2020-06-25,1.924,1.921,1.696,1.875,110909.01
2020-06-26,1.875,1.927,1.799,1.883,82571.9
2020-06-27,1.883,1.832,1.653,1.669,48157.52
2020-06-28,1.669,1.84,1.663,1.84,54876.54
2020-06-29,1.84,1.878,1.786,1.794,66558.82
2020-06-30,1.794,2.008,1.776,1.963,63555.54
2020-07-01,1.963,2.371,1.987,2.327,182982.46
2020-07-02,2.327,2.507,2.106,2.487,206582.03
2020-07-03,2.487,2.567,2.337,2.504,91494.73
2020-07-04,2.504,2.557,2.179,2.424,88639.58
2020-07-05,2.424,2.586,2.397,2.499,49899.49
2020-07-06,2.502,2.667,2.436,2.455,1303402.73
2020-07-07,2.455,2.599,2.374,2.576,588749.34
2020-07-08,2.59,3.311,2.327,2.844,179296.26
2020-07-09,2.844,3.68,2.573,2.905,320198.51
2020-07-10,2.895,2.985,2.787,2.923,682539.35
2020-07-11,2.923,2.918,2.701,2.828,742760.67
2020-07-12,2.828,2.869,2.749,2.783,594518.73
2020-07-13,2.783,2.828,2.517,2.541,634661.08
2020-07-14,2.541,2.749,2.406,2.748,803204.75
2020-07-15,2.748,3.127,2.681,3.061,1251778.97
2020-07-16,3.061,3.22,2.802,3.093,1039927.75
2020-07-17,3.093,3.53,3.079,3.317,1179322.76
2020-07-18,3.317,3.492,3.189,3.399,852096.25
2020-07-19,3.399,3.509,3.321,3.327,1180476.62
2020-07-20,3.368,4.027,3.221,3.849,86302.71
2020-07-21,3.881,4.07,3.371,3.496,2178037.36
