date,open,high,low,close,volume
2020-06-15,0.04093,0.04213,0.0381,0.04117,4459080.75
2020-06-16,0.04117,0.04316,0.04047,0.04174,2053973.56
2020-06-17,0.04174,0.04291,0.0411,0.04258,4226800.97
2020-06-18,0.04258,0.04996,0.04211,0.04543,18220481.49
2020-06-19,0.04543,0.04599,0.0427,0.04413,7812037.86
2020-06-20,0.04413,0.04467,0.04183,0.0439,4734509.2
2020-06-21,0.0439,0.04429,0.04325,0.04363,2822183.1
2020-06-22,0.04363,0.04409,0.04324,0.04385,3001556.61
2020-06-23,0.04385,0.04393,0.04165,0.04228,6687969.04
2020-06-24,0.04228,0.04286,0.04056,0.04145,4622278.28
2020-06-25,0.04145,0.04163,0.03974,0.04067,5243642.0
2020-06-26,0.04067,0.04079,0.03874,0.03948,6411103.17
2020-06-27,0.03948,0.03981,0.03691,0.03728,7253044.12
2020-06-28,0.03728,0.03952,0.03634,0.03826,7832942.09
2020-06-29,0.03826,0.03987,0.03718,0.03857,3056677.91
2020-06-30,0.03857,0.03905,0.03532,0.0383,3098475.55
2020-07-01,0.0383,0.04068,0.03811,0.03894,5632569.27
2020-07-02,0.03894,0.03993,0.03716,0.03812,5598704.62
2020-07-03,0.03812,0.04065,0.0378,0.03967,7826111.42
2020-07-04,0.03967,0.04126,0.03932,0.04113,6850108.23
2020-07-05,0.04113,0.04128,0.03873,0.03964,7117228.42
2020-07-06,0.03964,0.04062,0.03934,0.04044,6310246.25
2020-07-07,0.04044,0.04156,0.03969,0.0408,7792198.87
2020-07-08,0.0408,0.042,0.04003,0.04192,6624203.67
2020-07-09,0.04192,0.0423,0.03973,0.04078,7315131.45
2020-07-10,0.04078,0.04169,0.04011,0.04141,5911265.67
2020-07-11,0.04141,0.04219,0.0408,0.04166,3289609.32
2020-07-12,0.04166,0.04312,0.04057,0.04277,9436463.22
2020-07-13,0.04277,0.04353,0.04075,0.04113,8432369.82
2020-07-14,0.04113,0.04146,0.04016,0.04092,5864943.08
2020-07-15,0.04092,0.04132,0.0401,0.04056,4129037.7
2020-07-16,0.04056,0.04065,0.03808,0.03895,5463003.54
2020-07-17,0.03895,0.04015,0.03846,0.03939,3860742.22
2020-07-18,0.03939,0.04036,0.03903,0.04011,3238130.5
2020-07-19,0.04011,0.0405,0.03934,0.04007,2964252.97
2020-07-20,0.04007,0.04208,0.04005,0.04084,8379703.18
2020-07-21,0.04084,0.04173,0.04051,0.04159,4565884.31
2020-07-22,0.04159,0.04355,0.0409,0.04228,8146855.61
2020-07-23,0.04228,0.04372,0.04186,0.04256,8082291.92
2020-07-24,0.04256,0.04314,0.0416,0.04294,7257333.76
2020-07-25,0.04294,0.0438,0.04252,0.04292,6491414.46
2020-07-26,0.04292,0.04313,0.04064,0.04112,9004103.63
2020-07-27,0.04112,0.04202,0.03909,0.04005,13473976.82
2020-07-28,0.04005,0.04348,0.03972,0.04298,13204091.76
2020-07-29,0.04298,0.04504,0.04219,0.04396,14519756.7
2020-07-30,0.04396,0.04552,0.04259,0.04286,10821370.51
2020-07-31,0.04286,0.04474,0.04235,0.04455,12087986.25
2020-08-01,0.04455,0.04636,0.0438,0.04589,8631539.53
2020-08-02,0.04589,0.04862,0.04262,0.04354,11874353.18
2020-08-03,0.04354,0.04507,0.04354,0.04404,5365895.87
2020-08-04,0.04404,0.04436,0.04223,0.04319,6806510.6
2020-08-05,0.04319,0.04394,0.0425,0.04364,6208684.66
2020-08-06,0.04364,0.04485,0.04265,0.04442,8240356.64
2020-08-07,0.04442,0.04601,0.04241,0.04391,9270110.73
2020-08-08,0.04391,0.04508,0.04301,0.04508,5674865.27
2020-08-09,0.04508,0.04517,0.04392,0.04507,6951790.34
2020-08-10,0.04507,0.05346,0.04507,0.0529,27359151.15
2020-08-11,0.0529,0.05928,0.0475,0.05153,28528472.68
2020-08-12,0.05153,0.05235,0.04748,0.05209,15535623.27
2020-08-13,0.05209,0.05226,0.04789,0.05138,9372814.16
2020-08-14,0.05138,0.0557,0.0498,0.05446,9501416.69
2020-08-15,0.05446,0.05472,0.05203,0.05232,8509536.28
2020-08-16,0.05232,0.05507,0.05133,0.05377,6642233.1
2020-08-17,0.05377,0.06184,0.05163,0.05704,19558957.76
2020-08-18,0.05704,0.05963,0.05167,0.05318,9996793.82
2020-08-19,0.05318,0.05427,0.04885,0.0502,10031575.83
2020-08-20,0.0502,0.05234,0.04891,0.05231,6171665.84
2020-08-21,0.05231,0.05231,0.04865,0.04896,8605156.29
2020-08-22,0.04896,0.05102,0.04723,0.05009,8724687.21
2020-08-23,0.05009,0.05073,0.04777,0.04889,4378307.4
2020-08-24,0.04889,0.04999,0.04774,0.04973,3162942.23
2020-08-25,0.04973,0.05027,0.04565,0.04649,3897707.66
2020-08-26,0.04649,0.0469,0.04541,0.0464,4089862.28
2020-08-27,0.0464,0.04662,0.04313,0.04405,4767721.08
2020-08-28,0.04405,0.04498,0.04373,0.04494,3758295.89
2020-08-29,0.04494,0.04611,0.04459,0.04546,3596099.03
2020-08-30,0.04546,0.04732,0.04511,0.0471,3249206.06
2020-08-31,0.0471,0.0475,0.04535,0.0457,3110977.57
2020-09-01,0.0457,0.04757,0.0449,0.0453,5731385.09
2020-09-02,0.0453,0.04606,0.04214,0.04266,6289194.13
2020-09-03,0.04266,0.0439,0.03869,0.03878,9823283.15
2020-09-04,0.03878,0.04003,0.03768,0.03894,5767769.6
2020-09-05,0.03894,0.0395,0.03494,0.03617,4759914.71
2020-09-06,0.03617,0.03714,0.03472,0.0366,4040731.77
2020-09-07,0.0366,0.0369,0.0338,0.0368,4639176.45
2020-09-08,0.0368,0.03844,0.03543,0.03606,4445146.65
2020-09-09,0.03606,0.03863,0.0356,0.03713,3093080.81
2020-09-10,0.03713,0.03943,0.03713,0.03879,5186042.05
2020-09-11,0.03879,0.03889,0.03718,0.03854,2830093.66
2020-09-12,0.03854,0.0386,0.03789,0.03847,2623170.45
2020-09-13,0.03847,0.0387,0.03604,0.03684,3293160.91
2020-09-14,0.03684,0.03758,0.03611,0.03739,3197704.26
2020-09-15,0.03739,0.04075,0.03525,0.03577,4449038.41
2020-09-16,0.03577,0.03693,0.03437,0.03615,4970760.82
2020-09-17,0.03615,0.0371,0.03365,0.03461,10671263.93
2020-09-18,0.03461,0.03575,0.03421,0.03436,3868330.0
2020-09-19,0.03436,0.0356,0.03425,0.03451,2029589.29
2020-09-20,0.03451,0.03584,0.03321,0.03351,2528540.72
2020-09-21,0.03351,0.03382,0.0302,0.03144,4043183.95
2020-09-22,0.03144,0.03338,0.03074,0.03202,3790992.98
2020-09-23,0.03202,0.03214,0.02951,0.02989,5403444.05
2020-09-24,0.02989,0.03248,0.02953,0.0322,4926549.76
2020-09-25,0.0322,0.03315,0.03146,0.03228,4803665.85
2020-09-26,0.03228,0.03338,0.03216,0.03221,4437089.38
2020-09-27,0.03221,0.03254,0.03107,0.03157,4449034.78
2020-09-28,0.03157,0.03404,0.03141,0.03183,8097892.15
2020-09-29,0.03183,0.03364,0.0314,0.03204,3520215.2
2020-09-30,0.03204,0.03213,0.03122,0.03178,3288613.37
2020-10-01,0.03178,0.03235,0.02992,0.03088,5068724.14
2020-10-02,0.03088,0.03138,0.02922,0.03038,5671046.65
2020-10-03,0.03038,0.0319,0.03005,0.031,4064296.21
2020-10-04,0.031,0.03175,0.03027,0.03134,3064806.67
2020-10-05,0.03134,0.03148,0.03022,0.03115,9985850.46
2020-10-06,0.03115,0.03144,0.0295,0.03003,5735645.86
2020-10-07,0.03003,0.03049,0.02952,0.03026,3411455.78
2020-10-08,0.03026,0.03279,0.03017,0.032,6531055.32
2020-10-09,0.032,0.03668,0.03196,0.0344,16829467.11
2020-10-10,0.0344,0.03576,0.03411,0.03445,6412450.82
2020-10-11,0.03445,0.0353,0.03373,0.034,2669406.77
2020-10-12,0.034,0.03587,0.03311,0.03402,3780813.77
2020-10-13,0.03402,0.03598,0.03364,0.03401,4944116.78
2020-10-14,0.03401,0.03491,0.03311,0.03483,3504938.63
2020-10-15,0.03483,0.03497,0.03311,0.0336,3750258.04
2020-10-16,0.0336,0.03469,0.03096,0.03146,4371611.17
2020-10-17,0.03146,0.03179,0.03107,0.03154,1729316.75
2020-10-18,0.03154,0.032,0.0311,0.03162,1243106.78
2020-10-19,0.03162,0.032,0.03073,0.0318,2106119.67
2020-10-20,0.0318,0.03188,0.03003,0.0303,2393197.91
2020-10-21,0.0303,0.03394,0.03022,0.0314,3194621.98
2020-10-22,0.0314,0.03499,0.03065,0.03236,3421062.92
2020-10-23,0.03236,0.03468,0.03177,0.03308,3592412.27
2020-10-24,0.03308,0.03361,0.03243,0.03264,2576782.12
2020-10-25,0.03264,0.03356,0.032,0.03244,1951759.0
2020-10-26,0.03244,0.03257,0.03053,0.0307,4139448.04
2020-10-27,0.0307,0.03135,0.0305,0.03123,4335089.38
2020-10-28,0.03123,0.03168,0.0299,0.03015,1633681.44
2020-10-29,0.03015,0.0311,0.02916,0.0297,1994483.43
2020-10-30,0.0297,0.03058,0.0289,0.02932,6294337.06
2020-10-31,0.02932,0.03124,0.02881,0.0295,1311465.3
2020-11-01,0.0295,0.02998,0.0289,0.02976,1554787.78
2020-11-02,0.02976,0.03139,0.0288,0.02989,2136354.13
2020-11-03,0.02989,0.02989,0.02814,0.02855,805425.33
2020-11-04,0.02855,0.02904,0.02767,0.02873,1443830.0
2020-11-05,0.02873,0.0305,0.02831,0.0298,994265.16
2020-11-06,0.0298,0.0317,0.0298,0.03142,956737.14
2020-11-07,0.03142,0.0321,0.02905,0.03001,1037746.97
2020-11-08,0.03001,0.03099,0.03,0.0304,601294.21
2020-11-09,0.0304,0.03127,0.02977,0.03127,1000967.09
