date,open,high,low,close,volume
2020-06-15,0.323,0.3355,0.2962,0.3149,401773.03
2020-06-16,0.3149,0.3245,0.3042,0.3159,205667.41
2020-06-17,0.3159,0.3444,0.3131,0.3232,251193.52
2020-06-18,0.3232,0.3424,0.3226,0.3257,420235.38
2020-06-19,0.3257,0.3308,0.3173,0.3197,723508.6
2020-06-20,0.3197,0.3232,0.3152,0.3189,420659.29
2020-06-21,0.3189,0.3252,0.3173,0.3173,244700.78
2020-06-22,0.3173,0.329,0.3162,0.3258,462303.9
2020-06-23,0.3258,0.3275,0.3217,0.3233,283102.15
2020-06-24,0.3233,0.3285,0.3124,0.3167,414849.79
2020-06-25,0.3167,0.3176,0.3047,0.3111,519317.85
2020-06-26,0.3111,0.3117,0.2972,0.3013,281299.79
2020-06-27,0.3013,0.3021,0.2739,0.2819,1223616.79
2020-06-28,0.2819,0.2957,0.278,0.2876,617029.17
2020-06-29,0.2876,0.3006,0.282,0.2975,1060212.76
2020-06-30,0.2975,0.2999,0.2872,0.2889,359827.37
2020-07-01,0.2889,0.3015,0.2882,0.3015,297781.11
2020-07-02,0.3015,0.3242,0.2986,0.3191,591823.48
2020-07-03,0.3191,0.3422,0.3151,0.3383,940878.84
2020-07-04,0.3383,0.3416,0.3228,0.3344,509385.75
2020-07-05,0.3344,0.3575,0.3323,0.3478,1029880.7
2020-07-06,0.3478,0.3642,0.3462,0.3543,1261078.37
2020-07-07,0.3543,0.4019,0.3473,0.3927,1150352.46
2020-07-08,0.3927,0.416,0.3824,0.3931,1816084.29
2020-07-09,0.3931,0.4098,0.3748,0.389,968553.63
2020-07-10,0.389,0.4058,0.3635,0.4032,604079.57
2020-07-11,0.4032,0.4132,0.3951,0.4042,429584.76
2020-07-12,0.4042,0.414,0.3822,0.3985,374924.72
2020-07-13,0.3985,0.44,0.3953,0.4107,1089854.47
2020-07-14,0.4107,0.4195,0.3914,0.4078,675074.85
2020-07-15,0.4078,0.439,0.3954,0.3967,613073.16
2020-07-16,0.3967,0.4029,0.3659,0.3858,625667.99
2020-07-17,0.3858,0.3951,0.3702,0.3917,573094.94
2020-07-18,0.3917,0.3957,0.3801,0.3895,329866.77
2020-07-19,0.3895,0.4299,0.3781,0.4231,786389.29
2020-07-20,0.4231,0.4272,0.3954,0.4009,386252.8
2020-07-21,0.4009,0.4136,0.3924,0.4112,412582.73
2020-07-22,0.4112,0.4308,0.4028,0.4207,657348.41
2020-07-23,0.4207,0.4212,0.3959,0.409,425539.11
2020-07-24,0.409,0.434,0.3936,0.3975,152692.63
2020-07-25,0.3975,0.4079,0.3954,0.4002,305398.2
2020-07-26,0.4002,0.4002,0.3755,0.387,360670.25
2020-07-27,0.387,0.3916,0.3495,0.3687,717163.57
2020-07-28,0.3687,0.383,0.3622,0.3799,203637.87
2020-07-29,0.3799,0.3838,0.3686,0.3753,252957.22
2020-07-30,0.3753,0.3805,0.3675,0.3721,223745.12
2020-07-31,0.3721,0.3771,0.3694,0.3744,184037.99
2020-08-01,0.3744,0.3871,0.37,0.3814,322354.85
2020-08-02,0.3814,0.3933,0.3613,0.3737,274894.9
2020-08-03,0.3737,0.3822,0.3686,0.3756,189098.98
2020-08-04,0.3756,0.3975,0.3723,0.3942,357283.96
2020-08-05,0.3942,0.4073,0.3838,0.3903,400481.25
2020-08-06,0.3903,0.3976,0.3848,0.3914,186592.42
2020-08-07,0.3914,0.3942,0.3733,0.38,196015.86
2020-08-08,0.38,0.397,0.3765,0.397,338323.95
2020-08-09,0.397,0.4443,0.3933,0.4276,806516.87
2020-08-10,0.4276,0.4686,0.4108,0.4549,1043833.52
2020-08-11,0.4549,0.455,0.403,0.4212,641167.08
2020-08-12,0.4212,0.4548,0.4012,0.4516,392788.57
2020-08-13,0.4516,0.5111,0.4086,0.4895,1682088.61
