date,open,high,low,close,volume
2020-06-15,5.427,5.611,5.271,5.352,34013.56
2020-06-16,5.312,5.877,5.362,5.739,28256.41
2020-06-17,5.743,5.753,5.496,5.528,20941.32
2020-06-18,5.52,5.703,5.443,5.575,23468.34
2020-06-19,5.661,5.626,5.491,5.569,24673.13
2020-06-20,5.569,5.612,5.438,5.583,19916.95
2020-06-21,5.521,5.818,5.428,5.759,22101.07
2020-06-22,5.759,6.111,5.811,5.819,18698.35
2020-06-23,5.819,6.457,5.687,6.038,20891.36
2020-06-24,6.038,6.079,5.552,5.63,16964.9
2020-06-25,5.63,5.719,5.484,5.61,11537.64
2020-06-26,5.61,5.685,5.436,5.475,10943.14
2020-06-27,5.475,5.633,5.341,5.552,10304.49
2020-06-28,5.552,6.27,5.599,6.042,17714.66
2020-06-29,6.042,6.69,5.847,6.436,23401.0
2020-06-30,6.436,6.521,5.974,6.461,31392.37
2020-07-01,6.461,7.99,6.521,7.706,54853.04
2020-07-02,7.706,8.053,7.055,8.004,28847.34
2020-07-03,8.004,8.11,7.574,8.085,17808.62
2020-07-04,8.085,8.815,7.948,8.671,21947.81
2020-07-05,8.671,9.944,8.447,9.308,26205.85
2020-07-06,9.308,10.19,8.656,9.163,30937.54
2020-07-07,9.163,9.13,8.437,8.501,23115.38
2020-07-08,8.501,9.078,7.977,8.519,27571.11
2020-07-09,8.519,8.431,7.339,7.562,26412.47
2020-07-10,7.562,8.136,7.293,7.38,18297.39
2020-07-11,7.38,7.943,7.025,7.12,26908.04
2020-07-12,7.12,7.786,6.973,7.595,22613.79
2020-07-13,7.595,8.648,7.523,8.277,23023.68
2020-07-14,8.277,8.403,7.802,7.954,15236.63
2020-07-15,7.954,8.154,7.731,7.832,15827.86
2020-07-16,7.832,7.989,7.104,7.325,18661.46
2020-07-17,7.325,8.374,7.249,8.203,22281.26
2020-07-18,8.203,8.246,7.693,8.089,19544.73
2020-07-19,8.089,9.723,7.91,9.446,28679.5
2020-07-20,9.446,10.23,8.862,9.256,19497.39
2020-07-21,9.256,9.515,8.417,8.563,22177.62
2020-07-22,8.563,9.957,8.429,9.532,28219.43
2020-07-23,9.532,14.29,9.534,13.88,67425.44
2020-07-24,13.88,15.72,11.3,12.68,56181.07
2020-07-25,12.68,13.79,11.65,12.54,40103.97
2020-07-26,12.54,13.25,11.68,12.41,33528.88
2020-07-27,12.41,16.33,12.2,14.39,63368.36
2020-07-28,14.39,15.13,13.49,14.08,56559.62
2020-07-29,14.08,14.92,13.08,13.5,50878.79
2020-07-30,13.5,14.09,9.033,10.2,47916.97
2020-07-31,10.2,10.51,9.779,9.992,50886.79
2020-08-01,9.992,10.81,9.947,10.53,55351.73
2020-08-02,10.53,10.42,9.601,10.31,55871.78
2020-08-03,10.31,11.39,10.22,10.97,65052.6
2020-08-04,10.97,10.96,10.11,10.29,64091.26
2020-08-05,10.29,11.15,10.41,10.69,55569.22
2020-08-06,10.69,12.52,10.64,11.92,87546.86
2020-08-07,11.92,11.89,11.26,11.64,36827.16
2020-08-08,11.64,12.43,11.71,12.07,37869.85
2020-08-09,12.07,13.77,11.85,13.54,49231.34
2020-08-10,13.54,16.3,13.0,14.81,95223.58
2020-08-11,14.81,14.98,12.08,13.85,93073.03
2020-08-12,13.85,14.28,12.96,13.83,65590.85
2020-08-13,13.83,14.24,12.89,13.26,56623.99
2020-08-14,13.26,13.8,12.78,13.33,45104.36
2020-08-15,13.33,13.45,13.08,13.4,30386.91
2020-08-16,13.4,13.54,11.87,11.87,53748.84
2020-08-17,11.87,12.25,10.05,11.51,81383.21
2020-08-18,11.51,12.33,10.65,11.67,61024.25
2020-08-19,11.67,11.76,11.08,11.7,55512.83
2020-08-20,11.7,13.81,11.56,13.8,69768.55
2020-08-21,13.8,15.47,12.43,13.83,99613.88
2020-08-22,13.83,18.4,13.6,17.77,92730.67
2020-08-23,17.77,18.43,16.58,17.35,48634.24
2020-08-24,17.35,22.85,17.27,22.54,105832.56
2020-08-25,22.54,37.87,21.3,36.02,275263.38
2020-08-26,36.02,36.73,29.44,31.6,118606.44
2020-08-27,31.6,33.1,26.49,27.0,121867.85
2020-08-28,27.0,33.39,27.38,32.1,75235.21
2020-08-29,32.1,38.25,31.2,33.94,82969.39
2020-08-30,33.94,35.52,32.4,34.29,50205.89
2020-08-31,34.29,46.75,33.17,45.47,121547.14
