date,open,high,low,close,volume
2020-06-15,0.00938,0.01035,0.009008,0.009297,768502.38
2020-06-16,0.009297,0.01031,0.009273,0.009781,712719.46
2020-06-17,0.009781,0.01074,0.009234,0.01041,2128216.9
2020-06-18,0.01041,0.01298,0.0103,0.01174,1963022.47
2020-06-19,0.01174,0.01161,0.01007,0.01016,530299.65
2020-06-20,0.01016,0.01189,0.01008,0.01041,1387121.56
2020-06-21,0.01041,0.01036,0.009113,0.009362,847621.05
2020-06-22,0.009362,0.01185,0.009961,0.01056,925468.04
2020-06-23,0.01056,0.01147,0.009172,0.01037,430866.84
2020-06-24,0.01037,0.01032,0.007675,0.009324,1851428.88
2020-06-25,0.009324,0.01219,0.008625,0.009215,1058936.71
2020-06-26,0.009215,0.0102,0.008531,0.009087,624039.91
2020-06-27,0.009087,0.009005,0.007066,0.007066,1215726.29
2020-06-28,0.007066,0.01083,0.005793,0.008628,1133205.3
2020-06-29,0.008628,0.01029,0.007838,0.009591,1719142.95
2020-06-30,0.009591,0.01159,0.00905,0.009271,977998.14
2020-07-01,0.009271,0.01023,0.008484,0.009702,231414.87
2020-07-02,0.009702,0.01154,0.007977,0.009537,1526201.08
2020-07-03,0.009537,0.01264,0.009481,0.011,3017209.18
2020-07-04,0.011,0.01241,0.01015,0.01241,848339.82
2020-07-05,0.01241,0.01368,0.008816,0.01201,5396676.52
2020-07-06,0.01201,0.01357,0.01166,0.01179,934634.8
2020-07-07,0.01179,0.01366,0.01167,0.01235,685680.06
2020-07-08,0.01235,0.01282,0.009946,0.01147,1618930.59
2020-07-09,0.01147,0.01196,0.009862,0.01138,1531009.11
2020-07-10,0.01138,0.01213,0.01015,0.01055,1258241.52
2020-07-11,0.01055,0.01353,0.009809,0.01079,1215600.93
2020-07-12,0.01079,0.01377,0.0104,0.01145,1264773.02
2020-07-13,0.01145,0.01156,0.009605,0.009802,2247358.92
2020-07-14,0.009802,0.01175,0.009812,0.0106,687368.96
2020-07-15,0.0106,0.01223,0.009975,0.01047,306250.26
2020-07-16,0.01047,0.01026,0.008767,0.00895,994531.29
2020-07-17,0.00895,0.01031,0.008766,0.0103,2192714.17
2020-07-18,0.0103,0.012,0.009889,0.012,3223546.56
2020-07-19,0.012,0.0127,0.01031,0.01265,1680955.99
2020-07-20,0.01265,0.02657,0.01249,0.0164,3824621.12
2020-07-21,0.0164,0.01804,0.01479,0.01672,668334.37
2020-07-22,0.01672,0.01929,0.01598,0.01598,1344086.34
2020-07-23,0.01598,0.01868,0.01667,0.01847,462906.41
2020-07-24,0.01847,0.01987,0.01569,0.01719,1901210.29
2020-07-25,0.01719,0.01888,0.01478,0.01651,1356697.95
2020-07-26,0.01651,0.01741,0.01443,0.01443,485291.53
2020-07-27,0.01443,0.01509,0.01179,0.01313,2023816.61
2020-07-28,0.01313,0.01383,0.01161,0.01371,506126.01
2020-07-29,0.01371,0.01691,0.01329,0.01525,771923.91
2020-07-30,0.01525,0.01607,0.01315,0.01315,392312.72
2020-07-31,0.01315,0.01526,0.01328,0.01332,374510.38
2020-08-01,0.01332,0.01838,0.01409,0.01488,936659.26
2020-08-02,0.01488,0.02405,0.01178,0.01439,918082.76
2020-08-03,0.01439,0.01731,0.01384,0.01473,1221009.0
2020-08-04,0.01473,0.01574,0.01337,0.01568,1711001.52
2020-08-05,0.01568,0.01858,0.01527,0.01563,460943.71
2020-08-06,0.01563,0.01815,0.0154,0.01815,442489.21
2020-08-07,0.01815,0.01895,0.01481,0.01637,486375.1
2020-08-08,0.01637,0.02617,0.01687,0.02246,610397.32
2020-08-09,0.02246,0.027,0.02103,0.02241,598419.11
2020-08-10,0.02241,0.03093,0.02222,0.02468,522685.57
2020-08-11,0.02468,0.02974,0.02125,0.02733,903969.02
2020-08-12,0.02733,0.02955,0.02536,0.02703,383067.5
2020-08-13,0.02703,0.03116,0.02624,0.02906,349501.8
2020-08-14,0.02906,0.03006,0.02478,0.025,618261.15
2020-08-15,0.025,0.02792,0.02383,0.02725,279177.86
2020-08-16,0.02725,0.02732,0.02083,0.02218,728544.12
2020-08-17,0.02218,0.02699,0.01984,0.02617,1539511.75
2020-08-18,0.02617,0.02563,0.02062,0.02062,184758.05
2020-08-19,0.02062,0.02545,0.01876,0.02199,1568010.8
2020-08-20,0.02199,0.02328,0.01946,0.02181,1516225.21
2020-08-21,0.02181,0.02034,0.01785,0.01903,256307.64
2020-08-22,0.01903,0.0209,0.01768,0.01893,160703.81
2020-08-23,0.01893,0.0187,0.0137,0.01741,308608.52
2020-08-24,0.01741,0.0193,0.01696,0.01757,74552.65
2020-08-25,0.01757,0.01912,0.01456,0.01668,1304805.52
2020-08-26,0.01668,0.0168,0.01544,0.01649,253796.98
2020-08-27,0.01649,0.01637,0.01533,0.01624,174128.24
2020-08-28,0.01624,0.01677,0.01345,0.01443,1041223.15
2020-08-29,0.01443,0.01616,0.01254,0.0142,829370.33
2020-08-30,0.0142,0.01784,0.01288,0.01754,1002466.95
2020-08-31,0.01754,0.01844,0.01313,0.01416,2639010.2
2020-09-01,0.01416,0.01807,0.01385,0.01475,608701.99
2020-09-02,0.01475,0.01543,0.01323,0.01398,79713.34
2020-09-03,0.01398,0.01339,0.01151,0.01284,165051.56
2020-09-04,0.01284,0.01379,0.0118,0.01182,986128.66
2020-09-05,0.01182,0.01245,0.01027,0.01072,313721.72
2020-09-06,0.01072,0.0118,0.01079,0.01079,911283.22
2020-09-07,0.01079,0.0135,0.01082,0.01139,27067.0
2020-09-08,0.01139,0.01192,0.01087,0.01108,229679.89
2020-09-09,0.01108,0.015,0.01152,0.01319,396093.94
2020-09-10,0.01319,0.01618,0.01241,0.01496,679494.58
2020-09-11,0.01496,0.01524,0.01361,0.01377,79585.01
2020-09-12,0.01377,0.01578,0.01415,0.01524,394459.04
2020-09-13,0.01524,0.01452,0.01333,0.01344,201416.66
2020-09-14,0.01344,0.01458,0.01274,0.01301,99380.07
2020-09-15,0.01301,0.01261,0.01012,0.01201,131611.64
2020-09-16,0.01201,0.02043,0.01205,0.01314,600016.1
2020-09-17,0.01314,0.01531,0.01247,0.01375,299924.11
2020-09-18,0.01375,0.01364,0.01154,0.01154,1042441.89
2020-09-19,0.01154,0.01291,0.01156,0.01255,15739.53
2020-09-20,0.01255,0.01771,0.01209,0.01294,69277.75
2020-09-21,0.01294,0.01304,0.01022,0.01034,69280.73
2020-09-22,0.01034,0.01102,0.01035,0.01102,140189.33
2020-09-23,0.01102,0.01095,0.009039,0.01095,1498263.25
2020-09-24,0.01095,0.01194,0.01084,0.01084,898170.65
2020-09-25,0.01084,0.01203,0.01093,0.01124,140873.53
2020-09-26,0.01124,0.01235,0.01131,0.01161,1004.48
2020-09-27,0.01161,0.01179,0.01073,0.01073,753762.39
2020-09-28,0.01073,0.01062,0.01014,0.01034,232189.88
2020-09-29,0.01034,0.01344,0.01041,0.0133,1441728.29
2020-09-30,0.0133,0.02179,0.01239,0.01306,1051164.17
2020-10-01,0.01306,0.01639,0.01116,0.01321,524059.86
2020-10-02,0.01321,0.01443,0.01103,0.01117,619184.47
2020-10-03,0.01117,0.01203,0.01057,0.01203,257077.17
2020-10-04,0.01203,0.01356,0.01225,0.01341,364443.72
2020-10-05,0.01341,0.01588,0.01098,0.01494,524252.36
2020-10-06,0.01494,0.0158,0.01265,0.01305,538722.76
2020-10-07,0.01305,0.01528,0.01098,0.0137,208413.39
2020-10-08,0.0137,0.01493,0.01225,0.01357,259286.86
2020-10-09,0.01357,0.01432,0.0104,0.01222,137795.0
2020-10-10,0.01222,0.01293,0.01166,0.01293,28202.16
2020-10-11,0.01293,0.01305,0.01269,0.01269,20324.57
2020-10-12,0.01269,0.01336,0.009866,0.01162,345593.89
2020-10-13,0.01162,0.01149,0.01108,0.01149,237973.72
2020-10-14,0.01149,0.013,0.01074,0.01252,422582.22
2020-10-15,0.01252,0.01285,0.01154,0.01257,490272.67
2020-10-16,0.01257,0.01243,0.01185,0.01185,72650.95
2020-10-17,0.01185,0.01194,0.01138,0.01168,24641.94
2020-10-18,0.01168,0.01199,0.01051,0.01051,280.0
