date,open,high,low,close,volume
2020-06-15,1.179,1.184,1.14,1.156,113365.74
2020-06-16,1.156,1.156,1.12,1.134,123417.55
2020-06-17,1.134,1.141,1.123,1.132,21243.38
2020-06-18,1.132,1.149,1.132,1.149,16590.72
2020-06-19,1.149,1.166,1.135,1.166,36947.5
2020-06-20,1.166,1.178,1.163,1.172,49043.33
2020-06-21,1.172,1.186,1.167,1.17,32302.73
2020-06-22,1.17,1.177,1.141,1.164,140650.29
2020-06-23,1.164,1.175,1.152,1.169,51370.52
2020-06-24,1.169,1.194,1.164,1.19,88106.35
2020-06-25,1.19,1.211,1.19,1.19,42599.85
2020-06-26,1.19,1.246,1.19,1.234,70037.36
2020-06-27,1.234,1.252,1.225,1.251,94621.18
2020-06-28,1.251,1.258,1.239,1.258,48599.53
2020-06-29,1.258,1.272,1.247,1.265,154608.5
2020-06-30,1.265,1.273,1.258,1.273,43801.22
2020-07-01,1.273,1.276,1.25,1.258,79007.96
2020-07-02,1.258,1.265,1.236,1.255,44081.33
2020-07-03,1.214,1.331,1.182,1.213,105130.41
2020-07-04,1.239,1.24,1.228,1.236,60601.37
2020-07-05,1.236,1.238,1.179,1.184,208891.2
2020-07-06,1.184,1.229,1.18,1.229,153096.2
2020-07-07,1.229,1.266,1.226,1.232,114996.37
2020-07-08,1.218,1.412,1.222,1.234,89238.27
2020-07-09,1.221,1.239,1.21,1.224,45413.23
2020-07-10,1.224,1.224,1.202,1.224,64368.7
2020-07-11,1.224,1.234,1.204,1.211,16266.46
2020-07-12,1.211,1.211,1.109,1.126,570055.85
2020-07-13,1.126,1.137,1.118,1.131,132294.48
2020-07-14,1.131,1.166,1.103,1.139,182786.32
2020-07-15,1.196,1.446,1.108,1.165,64694.83
2020-07-16,1.165,1.216,1.142,1.176,60011.18
2020-07-17,1.18,1.199,1.179,1.199,32784.02
2020-07-18,1.199,1.206,1.165,1.166,52987.45
2020-07-19,1.166,1.167,1.141,1.164,76853.71
2020-07-20,1.164,1.186,1.164,1.186,85196.81
2020-07-21,1.186,1.195,1.175,1.188,342569.58
2020-07-22,1.211,1.345,1.157,1.26,80247.92
2020-07-23,1.192,1.197,1.182,1.197,70091.35
2020-07-24,1.197,1.204,1.196,1.204,52674.12
2020-07-25,1.204,1.218,1.198,1.218,87900.38
2020-07-26,1.218,1.23,1.211,1.23,71079.36
2020-07-27,1.23,1.262,1.226,1.262,303390.98
2020-07-28,1.262,1.264,1.254,1.263,199611.28
2020-07-29,1.263,1.264,1.252,1.261,184288.1
2020-07-30,1.261,1.268,1.25,1.265,218458.66
2020-07-31,1.265,1.276,1.263,1.276,92015.03
2020-08-01,1.276,1.29,1.269,1.287,75492.19
2020-08-02,1.287,1.289,1.259,1.268,142831.37
