date,open,high,low,close,volume
2020-06-15,0.09322,0.09611,0.08592,0.09202,9905689.38
2020-06-16,0.09202,0.09718,0.08969,0.09176,6249326.79
2020-06-17,0.09176,0.09234,0.08855,0.08953,5231456.31
2020-06-18,0.09,0.13,0.09,0.09859,13858.72
2020-06-19,0.09113,0.09503,0.0876,0.09313,7215464.36
2020-06-20,0.09313,0.09455,0.08943,0.09023,6745045.64
2020-06-21,0.09023,0.09113,0.08894,0.09045,7507644.63
2020-06-22,0.09045,0.09708,0.08362,0.08761,13258568.17
2020-06-23,0.08761,0.08756,0.08418,0.08443,7226991.42
2020-06-24,0.08443,0.08207,0.07886,0.07975,5060752.42
2020-06-25,0.07975,0.07997,0.07503,0.07607,4869985.02
2020-06-26,0.07607,0.08754,0.07487,0.08637,10354020.92
2020-06-27,0.08637,0.08358,0.07291,0.07468,6129539.56
2020-06-28,0.07468,0.07807,0.07492,0.07542,5238546.44
2020-06-29,0.07542,0.07793,0.07296,0.07453,4909444.11
2020-06-30,0.07453,0.07884,0.07316,0.07464,7150908.42
2020-07-01,0.07464,0.08126,0.07528,0.07934,7102845.12
2020-07-02,0.07934,0.08844,0.07732,0.08337,6246687.63
2020-07-03,0.08337,0.09139,0.082,0.09139,6749409.59
2020-07-04,0.089,0.111,0.089,0.111,9989.64
2020-07-05,0.1041,0.1138,0.09963,0.1015,12567394.46
2020-07-06,0.1015,0.1124,0.09915,0.1013,10515066.74
2020-07-07,0.1013,0.1017,0.09665,0.09713,5373598.12
2020-07-08,0.09713,0.1047,0.09645,0.101,9710817.34
2020-07-09,0.101,0.09949,0.09243,0.09272,5896962.01
2020-07-10,0.09272,0.09791,0.09147,0.09747,4535175.67
2020-07-11,0.09747,0.1068,0.09551,0.1047,10253179.6
2020-07-12,0.1047,0.1078,0.1002,0.1035,8257915.26
2020-07-13,0.1035,0.1539,0.1014,0.1256,28950285.35
2020-07-14,0.1256,0.1354,0.1208,0.127,11418143.65
2020-07-15,0.1228,0.1341,0.1228,0.1237,21492.59
2020-07-16,0.1238,0.1224,0.1114,0.1198,7543056.06
2020-07-17,0.1198,0.1357,0.1148,0.1305,6312997.07
2020-07-18,0.1305,0.143,0.1256,0.1349,5697819.54
2020-07-19,0.1349,0.1396,0.1303,0.1335,5012284.7
2020-07-20,0.1335,0.1358,0.1207,0.1246,5460987.21
2020-07-21,0.1246,0.1321,0.12,0.1232,7417095.51
2020-07-22,0.1232,0.1385,0.1228,0.124,6620465.3
2020-07-23,0.124,0.1352,0.1247,0.1249,5584006.35
2020-07-24,0.1249,0.129,0.1153,0.1183,6843972.41
2020-07-25,0.1183,0.132,0.1143,0.1162,4725611.36
2020-07-26,0.1162,0.1212,0.1052,0.1094,7340755.01
2020-07-27,0.1094,0.1134,0.0952,0.1034,13067170.29
2020-07-28,0.1034,0.1183,0.09708,0.115,9283687.13
2020-07-29,0.115,0.1165,0.1044,0.107,5801022.22
2020-07-30,0.107,0.1138,0.1053,0.108,4514557.92
2020-07-31,0.108,0.1138,0.1004,0.1025,5485818.5
2020-08-01,0.1025,0.1171,0.1037,0.1067,4377799.28
2020-08-02,0.1067,0.1316,0.1016,0.1254,12781274.44
2020-08-03,0.1254,0.1305,0.1187,0.1248,7233418.13
2020-08-04,0.1248,0.1381,0.1202,0.1339,4495524.24
2020-08-05,0.1339,0.1383,0.1268,0.1318,3816925.21
2020-08-06,0.1318,0.1347,0.1267,0.1312,3770237.46
2020-08-07,0.1312,0.1294,0.1228,0.1258,2327040.61
2020-08-08,0.1258,0.1388,0.1288,0.1352,3305404.49
2020-08-09,0.1352,0.1537,0.131,0.1459,6683520.47
2020-08-10,0.1459,0.1497,0.1392,0.1465,5583513.74
2020-08-11,0.1465,0.1416,0.1269,0.1344,4138752.42
2020-08-12,0.1344,0.1496,0.1308,0.1451,4464301.11
2020-08-13,0.1451,0.1793,0.1498,0.1594,8445228.81
2020-08-14,0.1594,0.1929,0.1603,0.1898,7444079.09
2020-08-15,0.1898,0.22,0.1737,0.1753,14622503.2
2020-08-16,0.1753,0.1983,0.1731,0.1886,4700516.93
2020-08-17,0.1886,0.2057,0.1786,0.1794,5100104.32
2020-08-18,0.1794,0.1821,0.1669,0.1747,3374702.99
2020-08-19,0.1747,0.1718,0.1591,0.1607,2604952.66
2020-08-20,0.1607,0.1961,0.163,0.1933,5181477.42
2020-08-21,0.1933,0.2166,0.1713,0.173,11990136.14
2020-08-22,0.173,0.197,0.166,0.196,5190344.98
2020-08-23,0.196,0.2081,0.189,0.1916,4334477.79
2020-08-24,0.1916,0.2005,0.186,0.1892,3996148.81
2020-08-25,0.1892,0.1985,0.1766,0.1978,9638586.49
2020-08-26,0.191,0.205,0.191,0.1979,151580.39
2020-08-27,0.1949,0.1962,0.1816,0.1878,16496824.93
2020-08-28,0.1878,0.1965,0.1848,0.1942,14852669.4
2020-08-29,0.1942,0.2137,0.191,0.2053,18642794.32
2020-08-30,0.2053,0.2539,0.2186,0.2367,24113300.26
2020-08-31,0.2351,0.238,0.2157,0.2198,268067.14
2020-09-01,0.2198,0.223,0.2157,0.2182,354328.23
2020-09-02,0.2254,0.2429,0.1949,0.2221,26726159.53
2020-09-03,0.2221,0.236,0.1908,0.213,57883221.51
2020-09-04,0.213,0.2265,0.1979,0.2065,16426799.04
2020-09-05,0.2065,0.1919,0.1602,0.1722,20060267.12
2020-09-06,0.1722,0.1907,0.1675,0.1837,21493315.06
2020-09-07,0.1821,0.1821,0.167,0.179,265854.95
2020-09-08,0.178,0.1787,0.1684,0.1755,6837795.33
