date,open,high,low,close,volume
2020-06-15,0.3085,0.3137,0.2977,0.3107,134453.87
2020-06-16,0.3107,0.3293,0.3144,0.3248,79536.37
2020-06-17,0.3248,0.3305,0.3203,0.3219,74804.71
2020-06-18,0.3219,0.3358,0.3184,0.3307,163864.52
2020-06-19,0.3307,0.3392,0.3209,0.3298,99451.53
2020-06-20,0.3298,0.3353,0.3246,0.3271,67436.16
2020-06-21,0.3271,0.3379,0.3224,0.3233,45153.05
2020-06-22,0.3233,0.3482,0.3212,0.3263,132565.18
2020-06-23,0.3263,0.3319,0.3195,0.3261,100219.28
2020-06-24,0.3261,0.3169,0.3038,0.312,95463.3
2020-06-25,0.312,0.3118,0.3037,0.31,63883.35
2020-06-26,0.31,0.3189,0.3043,0.3167,70272.32
2020-06-27,0.3167,0.3113,0.2904,0.2954,137835.77
2020-06-28,0.2954,0.3051,0.2963,0.3028,29095.65
2020-06-29,0.3028,0.3094,0.298,0.3051,30002.39
2020-06-30,0.3051,0.3203,0.2998,0.3106,182205.14
2020-07-01,0.3106,0.3274,0.3112,0.3184,72161.57
2020-07-02,0.3184,0.3155,0.2992,0.3046,91537.32
2020-07-03,0.3046,0.308,0.301,0.308,52541.54
2020-07-04,0.308,0.3197,0.305,0.305,66310.31
2020-07-05,0.305,0.3154,0.3028,0.3074,75794.12
2020-07-06,0.3074,0.3259,0.3138,0.3162,145304.22
2020-07-07,0.3162,0.3193,0.3107,0.3128,125999.31
2020-07-08,0.3128,0.3341,0.3212,0.3294,162118.69
2020-07-09,0.3294,0.3319,0.3145,0.3292,120272.09
2020-07-10,0.3292,0.349,0.3225,0.336,161745.92
2020-07-11,0.336,0.3436,0.3275,0.3369,65270.69
2020-07-12,0.3369,0.3419,0.3327,0.3329,44045.35
2020-07-13,0.3329,0.3322,0.3205,0.326,123751.15
2020-07-14,0.326,0.3313,0.3224,0.3294,57248.28
2020-07-15,0.3294,0.33,0.32,0.3231,125328.97
2020-07-16,0.3231,0.3271,0.3126,0.3257,125627.73
2020-07-17,0.3257,0.3524,0.318,0.3438,311208.09
2020-07-18,0.3438,0.3696,0.3363,0.342,249075.34
2020-07-19,0.342,0.3552,0.3392,0.3392,131533.05
2020-07-20,0.3392,0.3594,0.3311,0.3434,342102.09
2020-07-21,0.3434,0.3666,0.3373,0.3536,240762.48
2020-07-22,0.3536,0.4282,0.3632,0.3743,721203.2
2020-07-23,0.3743,0.4126,0.3492,0.3666,479167.29
2020-07-24,0.3666,0.3761,0.3459,0.3512,221817.44
2020-07-25,0.3512,0.3968,0.3414,0.3469,228116.73
2020-07-26,0.3469,0.3626,0.3314,0.342,192376.59
2020-07-27,0.342,0.3553,0.3027,0.323,408150.61
2020-07-28,0.323,0.3387,0.3124,0.3286,138708.33
2020-07-29,0.3286,0.3456,0.3215,0.3374,136776.36
2020-07-30,0.3374,0.3705,0.3292,0.3346,107702.27
2020-07-31,0.3346,0.3527,0.3257,0.3257,93664.73
2020-08-01,0.3257,0.3762,0.3301,0.3328,112814.31
2020-08-02,0.3328,0.3347,0.3035,0.3303,109369.23
2020-08-03,0.3303,0.3429,0.3193,0.3324,57493.5
2020-08-04,0.3324,0.3387,0.3243,0.3348,82575.83
2020-08-05,0.3348,0.3474,0.3253,0.3325,99555.62
