date,open,high,low,close,volume
2020-06-15,10.6,10.72,10.23,10.43,1187535.13
2020-06-16,10.43,10.66,10.49,10.58,893972.14
2020-06-17,10.58,10.83,10.5,10.58,942199.26
2020-06-18,10.58,10.55,10.33,10.39,805025.88
2020-06-19,10.39,10.34,10.18,10.24,833538.87
2020-06-20,10.24,10.33,10.16,10.28,222060.44
2020-06-21,10.28,10.47,10.13,10.28,283155.22
2020-06-22,10.29,11.04,10.7,10.81,1119262.01
2020-06-23,10.81,11.2,10.62,10.93,1196385.81
2020-06-24,10.93,10.77,10.37,10.47,1121915.54
2020-06-25,10.47,10.48,10.2,10.33,910333.09
2020-06-26,10.33,10.31,10.04,10.19,1030970.51
2020-06-27,10.19,9.848,9.429,9.694,343700.16
2020-06-28,9.694,10.15,9.832,10.05,276988.55
2020-06-29,10.04,10.26,10.08,10.21,844983.14
2020-06-30,10.21,10.19,10.02,10.03,739214.76
2020-07-01,10.03,10.23,10.02,10.15,651692.91
2020-07-02,10.15,10.11,9.838,9.938,609378.77
2020-07-03,9.938,9.973,9.765,9.783,588336.99
2020-07-04,9.792,10.07,9.91,9.976,224234.61
2020-07-05,9.976,10.12,9.808,10.1,183601.11
2020-07-06,10.09,10.61,10.25,10.58,1056083.45
2020-07-07,10.58,10.64,10.28,10.56,1201865.23
2020-07-08,10.56,11.47,10.69,11.08,1856339.65
2020-07-09,11.08,11.04,10.59,10.77,352392.65
2020-07-10,10.77,10.78,10.38,10.51,318310.06
2020-07-11,10.51,10.9,10.42,10.74,366378.86
2020-07-12,10.74,11.02,10.73,10.8,338632.15
2020-07-13,10.8,11.02,10.43,10.68,357169.49
2020-07-14,10.68,11.01,10.48,10.84,373974.92
2020-07-15,10.84,11.28,10.69,10.97,457728.68
2020-07-16,10.97,10.79,10.46,10.7,311219.76
2020-07-17,10.7,10.71,10.54,10.59,335412.85
2020-07-18,10.59,10.76,10.52,10.56,339065.62
2020-07-19,10.56,10.84,10.62,10.67,302013.84
2020-07-20,10.67,10.58,10.29,10.39,356418.57
2020-07-21,10.39,11.56,10.65,11.19,400592.32
2020-07-22,11.19,11.71,11.32,11.59,1086635.35
2020-07-23,11.59,11.83,11.39,11.44,978774.05
2020-07-24,11.44,11.37,11.04,11.11,739939.64
2020-07-25,11.11,11.74,11.29,11.61,976154.92
2020-07-26,11.61,12.17,11.47,11.63,981727.34
2020-07-27,11.63,13.1,10.96,11.65,1995200.24
2020-07-28,11.65,11.83,11.47,11.76,1432561.75
2020-07-29,11.76,12.4,11.63,11.68,1149141.71
2020-07-30,11.68,11.98,11.67,11.79,937172.05
2020-07-31,11.79,12.26,11.9,12.26,810252.94
2020-08-01,12.26,13.55,12.59,13.42,1934818.82
2020-08-02,13.42,12.67,12.01,12.17,1215149.87
2020-08-03,12.17,12.67,12.32,12.4,1082677.01
2020-08-04,12.4,12.66,12.34,12.56,741750.36
2020-08-05,12.56,13.3,12.88,12.89,1000017.77
2020-08-06,12.89,13.17,12.9,12.97,945751.45
2020-08-07,12.97,13.25,12.76,12.87,1165400.9
2020-08-08,12.87,13.15,12.95,13.15,896631.58
2020-08-09,13.15,13.33,12.94,13.01,914838.45
2020-08-10,13.01,15.55,13.17,14.55,2231807.29
2020-08-11,14.55,14.03,13.52,13.68,1472605.11
2020-08-12,13.68,14.6,13.8,14.36,1457498.37
