date,open,high,low,close,volume
2020-06-15,0.1257,0.1273,0.1245,0.1261,5904583.8
2020-06-16,0.1261,0.1527,0.1285,0.1486,8313086.21
2020-06-17,0.1486,0.1522,0.1381,0.1516,6194616.67
2020-06-18,0.1516,0.1646,0.1461,0.1626,5149554.11
2020-06-19,0.1626,0.1817,0.1574,0.171,11658374.59
2020-06-20,0.171,0.1744,0.1618,0.1744,13985557.15
2020-06-21,0.1744,0.19,0.1734,0.1852,15402726.72
2020-06-22,0.1852,0.2091,0.1907,0.2008,17110609.71
2020-06-23,0.2008,0.2029,0.192,0.1955,10379019.47
2020-06-24,0.1955,0.1898,0.1766,0.1823,6162799.08
2020-06-25,0.1823,0.1935,0.1802,0.1935,11816087.01
2020-06-26,0.1935,0.2035,0.1879,0.1996,10171929.09
2020-06-27,0.1996,0.1932,0.1803,0.1853,7913063.38
2020-06-28,0.1853,0.1944,0.1885,0.1944,6003022.94
2020-06-29,0.1944,0.2002,0.1871,0.196,5016313.06
2020-06-30,0.196,0.2097,0.1915,0.2096,6292061.84
2020-07-01,0.2096,0.2357,0.2089,0.2291,7538763.15
2020-07-02,0.2291,0.229,0.2039,0.2195,6217553.38
2020-07-03,0.2195,0.2193,0.1747,0.1993,6627744.36
2020-07-04,0.1993,0.2115,0.2023,0.211,5163659.19
2020-07-05,0.211,0.2172,0.2078,0.2096,3791418.37
2020-07-06,0.2096,0.2231,0.1992,0.2135,4854652.46
2020-07-07,0.2135,0.2202,0.2073,0.2111,7497664.75
2020-07-08,0.2111,0.2285,0.215,0.2273,5080852.35
2020-07-09,0.2273,0.2238,0.2098,0.2225,8454116.6
2020-07-10,0.2225,0.2241,0.2185,0.2238,8084385.67
2020-07-11,0.2238,0.2256,0.2194,0.2254,12336921.71
2020-07-12,0.2254,0.2385,0.2284,0.2353,11753469.26
2020-07-13,0.2353,0.2375,0.2119,0.2121,11896239.12
2020-07-14,0.2121,0.2138,0.1946,0.1955,4852532.36
2020-07-15,0.1955,0.207,0.1765,0.1993,10036233.96
2020-07-16,0.1993,0.2015,0.1765,0.189,8112688.11
2020-07-17,0.189,0.2022,0.1831,0.1976,4457301.72
2020-07-18,0.1976,0.202,0.1848,0.2018,3623133.53
2020-07-19,0.2018,0.2091,0.1904,0.1932,6334469.35
2020-07-20,0.1932,0.1975,0.1853,0.1974,7893060.6
2020-07-21,0.1974,0.209,0.1923,0.1952,5733910.79
2020-07-22,0.1952,0.219,0.1979,0.1993,5605749.83
2020-07-23,0.1993,0.2084,0.1951,0.2023,6381722.05
2020-07-24,0.2023,0.2082,0.1965,0.2077,13687266.79
2020-07-25,0.2077,0.2304,0.2152,0.2271,11694980.19
2020-07-26,0.2271,0.2416,0.2104,0.2264,7548506.87
2020-07-27,0.2264,0.2344,0.2128,0.2267,6344391.1
2020-07-28,0.2267,0.2352,0.217,0.2343,7135673.63
2020-07-29,0.2343,0.2476,0.2279,0.2309,5540358.78
2020-07-30,0.2309,0.2491,0.2305,0.2315,4430381.64
2020-07-31,0.2315,0.2421,0.2314,0.2327,6562981.86
2020-08-01,0.2327,0.2659,0.226,0.2266,7783100.5
2020-08-02,0.2266,0.2254,0.2052,0.2252,6913663.58
2020-08-03,0.2252,0.2337,0.1964,0.223,8223840.81
2020-08-04,0.223,0.2375,0.2129,0.2367,5347546.13
2020-08-05,0.2367,0.2479,0.1675,0.1821,13205242.53
2020-08-06,0.1821,0.1865,0.1614,0.1829,5097676.97
2020-08-07,0.1829,0.1765,0.1652,0.1668,3735715.76
2020-08-08,0.1668,0.1747,0.1578,0.171,12023573.44
2020-08-09,0.171,0.1739,0.1596,0.1686,12420144.66
2020-08-10,0.1686,0.1724,0.1557,0.1701,13832997.72
2020-08-11,0.1701,0.1713,0.1567,0.1631,13148735.11
2020-08-12,0.1631,0.1833,0.1653,0.1754,14234668.29
2020-08-13,0.1754,0.1931,0.157,0.1602,10572633.82
2020-08-14,0.1602,0.1653,0.1458,0.1589,6748147.05
2020-08-15,0.1589,0.1648,0.1312,0.138,14810615.59
2020-08-16,0.138,0.1408,0.112,0.1408,16540535.39
2020-08-17,0.1408,0.1509,0.1283,0.1499,13566619.79
2020-08-18,0.1499,0.1472,0.12,0.1291,13389157.99
2020-08-19,0.1291,0.1409,0.1246,0.1328,11355182.37
2020-08-20,0.1328,0.1405,0.1273,0.1335,11766775.47
2020-08-21,0.1335,0.1318,0.1188,0.1304,9207935.67
2020-08-22,0.1304,0.1392,0.1304,0.1372,6390852.22
2020-08-23,0.1372,0.1383,0.1257,0.1325,8237043.82
2020-08-24,0.1325,0.1424,0.133,0.1391,6458998.2
2020-08-25,0.1391,0.1394,0.1248,0.1266,7819846.25
2020-08-26,0.1266,0.1487,0.1275,0.1475,7643219.66
2020-08-27,0.1475,0.1601,0.1433,0.1468,7511711.7
2020-08-28,0.1468,0.183,0.1487,0.157,8804430.41
2020-08-29,0.157,0.1657,0.1436,0.1515,4640595.22
2020-08-30,0.1515,0.163,0.1472,0.1497,3633146.48
2020-08-31,0.1497,0.1718,0.1512,0.171,7386168.6
2020-09-01,0.171,0.1976,0.1613,0.1724,8188761.79
2020-09-02,0.1724,0.1658,0.1487,0.1656,8115309.84
2020-09-03,0.1656,0.1585,0.1193,0.1245,9946855.81
2020-09-04,0.1245,0.1347,0.1255,0.1297,2988015.41
2020-09-05,0.1297,0.1251,0.1079,0.1183,4760335.17
2020-09-06,0.1183,0.1299,0.117,0.1229,6977683.66
2020-09-07,0.1229,0.1275,0.1202,0.1236,5406178.03
2020-09-08,0.1236,0.1355,0.1172,0.1321,5530114.94
2020-09-09,0.1321,0.1377,0.125,0.1276,6400460.17
2020-09-10,0.1276,0.1347,0.1267,0.1321,12777977.94
2020-09-11,0.1321,0.1352,0.1289,0.1294,8072143.87
2020-09-12,0.1294,0.1368,0.128,0.1284,4171216.36
2020-09-13,0.1284,0.1272,0.1193,0.1247,3689592.37
2020-09-14,0.1247,0.1307,0.1261,0.129,8778577.56
2020-09-15,0.129,0.1287,0.1209,0.124,7405551.66
2020-09-16,0.124,0.1253,0.1176,0.1222,6225601.98
2020-09-17,0.1222,0.1309,0.1177,0.1235,5380399.04
2020-09-18,0.1235,0.1246,0.1182,0.1202,6329074.79
2020-09-19,0.1202,0.1235,0.1168,0.1187,9707905.99
2020-09-20,0.1187,0.1212,0.1125,0.1189,6987017.52
2020-09-21,0.1189,0.1191,0.108,0.1172,5762270.23
2020-09-22,0.1172,0.1244,0.1178,0.1236,8783353.43
2020-09-23,0.1236,0.1204,0.1134,0.119,10488204.02
2020-09-24,0.119,0.1329,0.1276,0.1299,7458705.64
2020-09-25,0.1299,0.1346,0.1263,0.1285,7755859.43
2020-09-26,0.1285,0.1323,0.1282,0.1302,4326415.53
2020-09-27,0.1302,0.1333,0.1288,0.1309,4108212.41
2020-09-28,0.1309,0.1323,0.1266,0.132,5670237.47
2020-09-29,0.132,0.1363,0.1326,0.1351,6376889.81
2020-09-30,0.1351,0.1411,0.1349,0.1402,6811411.59
2020-10-01,0.1402,0.1473,0.1366,0.1419,6779388.82
2020-10-02,0.1419,0.1439,0.1381,0.1437,6861923.94
2020-10-03,0.1437,0.1457,0.1386,0.1418,7241064.14
2020-10-04,0.1418,0.1448,0.1342,0.1351,7606938.55
2020-10-05,0.1351,0.1369,0.1294,0.1346,14885586.12
2020-10-06,0.1346,0.1333,0.1285,0.1304,12884042.02
2020-10-07,0.1304,0.1323,0.1255,0.1274,6183648.94
2020-10-08,0.1274,0.1321,0.1248,0.1257,6527261.58
2020-10-09,0.1257,0.1325,0.1239,0.1257,7528703.96
2020-10-10,0.1257,0.1308,0.1248,0.1296,6750891.08
2020-10-11,0.1296,0.1333,0.1262,0.1295,7760969.24
2020-10-12,0.1295,0.1351,0.1242,0.1284,8771493.13
2020-10-13,0.1284,0.1316,0.1237,0.1304,10814151.11
2020-10-14,0.1304,0.1319,0.1233,0.1319,8570642.7
2020-10-15,0.1319,0.1491,0.1309,0.1421,14068617.36
2020-10-16,0.1421,0.1407,0.1318,0.1379,11657706.49
2020-10-17,0.1379,0.1415,0.1349,0.1391,14826185.64
2020-10-18,0.1391,0.1501,0.1406,0.1483,15004624.2
2020-10-19,0.1483,0.1528,0.1453,0.1516,14334036.76
2020-10-20,0.1516,0.1537,0.1398,0.1431,15538344.13
2020-10-21,0.1431,0.1558,0.1469,0.1471,13866914.26
