date,open,high,low,close,volume
2020-06-15,5.091,5.169,4.982,5.052,3934233.72
2020-06-16,5.052,5.199,5.095,5.126,4453790.73
2020-06-17,5.126,5.131,5.047,5.077,4852290.08
2020-06-18,5.077,5.06,4.965,5.032,5542168.64
2020-06-19,5.032,5.032,4.883,4.942,6663718.09
2020-06-20,4.942,4.949,4.804,4.83,7052243.04
2020-06-21,4.83,4.828,4.675,4.702,7278157.04
2020-06-22,4.702,5.445,4.968,5.209,6146079.66
2020-06-23,5.209,5.206,5.063,5.111,7664614.88
2020-06-24,5.111,5.153,4.914,5.088,4869647.64
2020-06-25,5.088,5.284,5.033,5.16,5180504.3
2020-06-26,5.16,5.135,5.034,5.108,5793633.91
2020-06-27,5.108,5.123,4.834,4.944,5599344.2
2020-06-28,4.944,5.114,4.981,5.042,5169304.92
2020-06-29,5.042,5.145,5.008,5.058,5799279.29
2020-06-30,5.058,5.098,4.994,5.053,5643429.98
2020-07-01,5.053,5.189,5.048,5.055,6215752.35
2020-07-02,5.055,5.051,4.865,4.937,2067518.58
2020-07-03,4.937,4.967,4.89,4.924,4380467.57
2020-07-04,4.924,5.016,4.901,4.906,5956072.75
2020-07-05,4.906,4.9,4.832,4.841,5734073.98
2020-07-06,4.841,5.241,5.116,5.142,5927015.6
2020-07-07,5.142,5.124,4.921,5.005,4425283.4
2020-07-08,5.005,5.251,5.068,5.118,3686560.31
2020-07-09,5.118,5.059,4.963,4.967,5618852.96
2020-07-10,4.967,5.008,4.897,4.998,5276036.15
2020-07-11,4.998,4.996,4.931,4.979,5115570.39
2020-07-12,4.979,5.124,5.012,5.017,5902061.74
2020-07-13,5.017,4.989,4.886,4.961,5688638.78
2020-07-14,4.961,5.196,4.977,5.071,4691765.9
2020-07-15,5.071,5.145,5.0,5.136,5527271.45
2020-07-16,5.136,5.205,4.969,5.121,4570400.84
2020-07-17,5.121,5.14,5.06,5.098,4339606.3
2020-07-18,5.098,5.186,5.125,5.155,3915379.09
2020-07-19,5.155,5.253,5.143,5.148,4698804.36
2020-07-20,5.148,5.184,5.066,5.167,6082096.37
2020-07-21,5.167,5.382,5.2,5.2,6620989.62
2020-07-22,5.2,5.797,5.241,5.363,5194749.21
2020-07-23,5.363,5.86,5.408,5.527,6274585.24
2020-07-24,5.527,5.656,5.324,5.368,6190887.65
2020-07-25,5.368,5.893,5.456,5.533,6406245.98
2020-07-26,5.533,5.815,5.554,5.722,5593620.38
2020-07-27,5.722,5.929,5.581,5.838,4792745.3
2020-07-28,5.838,6.089,5.708,5.883,3982329.65
2020-07-29,5.883,5.961,5.637,5.799,5361493.6
2020-07-30,5.799,6.209,5.699,5.847,5008831.96
2020-07-31,5.847,6.048,5.802,5.865,6257499.44
2020-08-01,5.865,6.849,6.125,6.222,7001312.75
2020-08-02,6.222,6.237,5.56,5.713,4299169.76
2020-08-03,5.713,6.077,5.815,5.954,4889813.14
2020-08-04,5.954,6.334,5.862,5.987,3933704.39
2020-08-05,5.987,6.306,6.013,6.109,3943451.12
2020-08-06,6.109,6.128,5.97,6.088,4676192.88
2020-08-07,6.088,6.02,5.758,5.88,4642807.13
2020-08-08,5.88,6.194,5.947,5.951,4492376.89
2020-08-09,5.951,5.944,5.776,5.819,5076298.12
2020-08-10,5.819,5.953,5.811,5.854,4320199.26
2020-08-11,5.854,5.627,5.415,5.559,4450857.3
2020-08-12,5.559,5.785,5.444,5.517,4390559.61
2020-08-13,5.517,6.06,5.542,5.678,1959714.21
2020-08-14,5.678,6.275,5.718,5.981,350609.0
2020-08-15,5.981,6.048,5.758,6.005,296937.25
2020-08-16,6.005,6.191,5.905,5.931,264856.24
2020-08-17,5.929,6.165,5.817,5.892,1565246.6
2020-08-18,5.892,5.767,5.53,5.639,1801260.11
2020-08-19,5.639,5.576,5.325,5.372,1764537.43
2020-08-20,5.38,5.666,5.421,5.542,421371.9
2020-08-21,5.545,5.439,5.243,5.296,1587632.21
2020-08-22,5.308,5.414,5.204,5.303,361399.44
2020-08-23,5.303,5.29,5.193,5.243,385815.02
2020-08-24,5.243,5.504,5.276,5.296,300418.36
2020-08-25,5.296,5.708,4.972,5.627,339217.22
2020-08-26,5.627,5.906,5.551,5.62,211453.07
2020-08-27,5.62,5.587,5.353,5.46,270709.54
2020-08-28,5.46,5.692,5.482,5.522,222369.77
2020-08-29,5.522,5.599,5.344,5.416,301677.71
2020-08-30,5.416,5.925,5.505,5.517,335777.67
2020-08-31,5.517,5.726,5.517,5.63,266838.72
2020-09-01,5.63,6.552,5.543,5.767,301601.44
2020-09-02,5.767,5.986,5.252,5.718,337198.43
2020-09-03,5.729,5.283,4.87,5.195,2384146.41
2020-09-04,5.195,5.443,4.932,5.165,1602319.08
2020-09-05,5.165,5.128,4.854,4.922,2011532.34
2020-09-06,4.928,5.407,5.093,5.308,159934.97
2020-09-07,5.306,5.69,5.295,5.431,2709534.62
2020-09-08,5.431,5.348,5.182,5.264,2255823.13
2020-09-09,5.264,5.555,5.274,5.345,188593.88
2020-09-10,5.345,5.731,5.359,5.51,284281.31
2020-09-11,5.51,5.64,5.427,5.442,179805.63
2020-09-12,5.442,5.946,5.589,5.702,261904.82
2020-09-13,5.702,6.583,5.352,6.579,257375.33
2020-09-14,6.553,6.831,6.429,6.518,2898328.27
2020-09-15,6.519,6.355,6.042,6.253,241114.65
2020-09-16,6.26,6.443,6.226,6.384,2566817.35
2020-09-17,6.369,6.832,6.014,6.119,200252.88
2020-09-18,6.119,6.251,5.989,6.155,160995.32
2020-09-19,6.155,6.285,6.085,6.123,173627.74
2020-09-20,6.123,6.252,5.896,6.204,215337.58
2020-09-21,6.188,5.978,5.74,5.88,1990956.62
2020-09-22,5.868,6.1,5.911,6.021,178977.66
2020-09-23,6.021,6.109,5.555,6.029,211087.01
2020-09-24,6.038,6.544,6.215,6.215,2650006.87
2020-09-25,6.215,6.404,6.127,6.285,2605826.83
2020-09-26,6.28,6.386,6.199,6.273,200659.31
2020-09-27,6.273,6.356,6.163,6.198,172978.74
2020-09-28,6.189,6.141,6.036,6.08,890879.16
2020-09-29,6.08,6.238,6.121,6.142,1315286.23
2020-09-30,6.142,6.182,6.095,6.144,1966679.15
2020-10-01,6.144,6.204,6.036,6.134,1994035.02
2020-10-02,6.134,6.234,6.066,6.138,2058257.12
2020-10-03,6.118,6.196,6.036,6.106,180305.76
2020-10-04,6.106,6.274,6.101,6.161,207375.34
2020-10-05,6.161,6.263,6.125,6.221,232662.12
2020-10-06,6.221,6.122,5.914,6.074,211013.91
2020-10-07,6.074,6.178,6.018,6.137,225144.49
2020-10-08,6.112,6.268,6.108,6.116,2080764.35
2020-10-09,6.116,6.357,6.112,6.326,2036794.12
2020-10-10,6.322,6.435,5.997,6.09,184016.86
2020-10-11,6.09,6.185,6.039,6.118,203857.19
2020-10-12,6.111,6.259,6.099,6.123,2013871.99
2020-10-13,6.125,6.183,6.003,6.08,254680.18
2020-10-14,6.08,6.087,5.966,6.027,209789.46
2020-10-15,6.039,6.114,5.831,5.878,843487.52
2020-10-16,5.886,5.703,4.811,5.195,247068.96
2020-10-17,5.195,5.237,4.058,4.433,267516.63
2020-10-18,4.433,4.973,4.17,4.814,216517.45
2020-10-19,4.808,4.91,4.493,4.537,1064333.97
2020-10-20,4.537,4.881,4.571,4.762,947858.86
2020-10-21,4.762,5.603,4.901,4.975,1129758.01
2020-10-22,4.975,5.083,4.791,4.845,665713.37
2020-10-23,4.833,4.845,4.21,4.505,145256.61
2020-10-24,4.505,4.633,4.237,4.567,118657.42
2020-10-25,4.577,4.896,4.438,4.636,644323.42
2020-10-26,4.636,4.763,4.534,4.659,646391.57
2020-10-27,4.659,4.936,4.641,4.687,516148.11
2020-10-28,4.687,4.709,4.415,4.631,356728.58
2020-10-29,4.631,4.879,4.624,4.647,529021.6
2020-10-30,4.647,4.815,4.42,4.469,745678.43
2020-10-31,4.469,4.666,4.287,4.512,844551.16
2020-11-01,4.512,4.708,4.459,4.588,704398.96
2020-11-02,4.588,4.601,4.317,4.423,739708.3
2020-11-03,4.423,4.586,4.182,4.188,410477.71
2020-11-04,4.188,4.511,4.123,4.327,494176.34
2020-11-05,4.327,5.051,4.466,4.488,489441.95
2020-11-06,4.488,4.847,4.326,4.649,414197.88
2020-11-07,4.649,4.698,4.398,4.676,388016.92
2020-11-08,4.676,4.904,4.653,4.691,330425.56
2020-11-09,4.691,4.78,4.495,4.622,552249.6
2020-11-10,4.618,4.766,4.608,4.657,122999.87
2020-11-11,4.657,4.992,4.634,4.764,230509.52
2020-11-12,4.788,5.088,4.804,4.853,1117572.7
2020-11-13,4.853,4.991,4.817,4.908,945302.88
2020-11-14,4.912,4.855,4.656,4.772,181733.66
2020-11-15,4.772,4.763,4.548,4.682,206778.49
2020-11-16,4.682,4.855,4.603,4.671,197152.27
2020-11-17,4.66,5.163,4.792,4.852,1334348.92
2020-11-18,4.852,5.628,4.658,5.462,2438218.31
2020-11-19,5.444,6.035,5.295,5.79,327198.02
2020-11-20,5.789,6.181,5.882,5.945,1512447.64
2020-11-21,5.945,6.025,5.809,5.989,1157275.04
2020-11-22,5.989,6.368,5.863,6.294,1534556.41
2020-11-23,6.294,6.486,6.075,6.209,1962752.03
2020-11-24,6.209,6.671,5.847,6.054,1958067.8
2020-11-25,6.054,5.944,5.693,5.777,1301238.45
2020-11-26,5.777,5.517,5.153,5.404,2361680.73
2020-11-27,5.404,5.431,5.129,5.215,1409925.61
2020-11-28,5.215,5.531,5.237,5.269,827993.73
2020-11-29,5.257,5.735,5.333,5.349,176225.57
2020-11-30,5.358,5.945,5.335,5.53,1378747.15
2020-12-01,5.53,5.42,5.091,5.235,1561398.48
2020-12-02,5.235,5.524,5.212,5.393,1224152.93
2020-12-03,5.393,5.459,5.241,5.245,827055.73
2020-12-04,5.245,5.142,5.002,5.071,649454.67
2020-12-05,5.074,5.368,5.133,5.136,158685.04
2020-12-06,5.136,5.225,5.077,5.083,144028.8
2020-12-07,5.083,5.399,4.99,5.326,206104.73
2020-12-08,5.317,5.253,5.004,5.242,530719.45
2020-12-09,5.242,5.404,5.235,5.25,515327.92
2020-12-10,5.25,5.366,5.161,5.212,488072.08
2020-12-11,5.209,5.79,5.064,5.512,250296.48
2020-12-12,5.512,5.819,5.474,5.523,166189.73
2020-12-13,5.524,5.703,5.509,5.628,447605.26
2020-12-14,5.633,5.676,5.539,5.613,169984.18
2020-12-15,5.601,5.893,5.539,5.753,587442.39
2020-12-16,5.753,6.337,5.791,5.818,702969.57
2020-12-17,5.818,6.301,5.53,5.808,1082907.27
2020-12-18,5.808,6.126,5.698,6.057,678105.59
2020-12-19,6.057,6.319,5.882,6.047,666375.53
2020-12-20,6.047,6.139,5.808,5.961,562478.41
2020-12-21,5.961,5.807,5.47,5.63,780178.87
2020-12-22,5.63,6.473,5.775,6.087,850266.21
2020-12-23,6.087,6.219,5.731,5.931,818525.33
2020-12-24,5.931,6.232,6.007,6.059,508281.78
2020-12-25,6.059,6.446,6.105,6.175,573967.38
2020-12-26,6.175,6.683,6.011,6.098,667523.75
2020-12-27,6.098,6.631,5.722,6.573,1104920.02
2020-12-28,6.573,7.568,6.706,7.53,1159957.97
2020-12-29,7.522,8.12,7.008,7.615,494080.42
2020-12-30,7.612,8.04,7.572,7.633,903018.71
2020-12-31,7.633,8.315,7.46,7.794,1398277.63
2021-01-01,7.794,9.331,7.806,9.222,1448799.88
2021-01-02,9.222,10.49,8.08,8.341,1906544.88
2021-01-03,8.341,8.682,7.297,7.575,1922436.29
2021-01-04,7.575,8.392,7.181,7.207,1741398.95
2021-01-05,7.207,8.217,7.332,7.526,1303201.09
2021-01-06,7.526,8.24,7.348,7.425,1173956.14
2021-01-07,7.425,8.22,7.426,7.45,1527570.45
2021-01-08,7.45,7.867,6.868,7.168,1649936.14
2021-01-09,7.168,7.412,6.893,7.263,1178678.21
2021-01-10,7.263,7.686,6.769,6.983,1336128.6
2021-01-11,6.983,7.174,6.009,6.347,2926859.28
2021-01-12,6.347,6.451,5.872,6.359,1338801.27
2021-01-13,6.359,7.742,6.209,6.444,1498913.3
2021-01-14,6.444,6.758,6.003,6.206,1209908.7
2021-01-15,6.206,6.07,5.747,5.861,1205798.79
2021-01-16,5.862,6.592,5.892,6.076,351804.58
2021-01-17,6.067,6.451,5.939,6.293,920315.91
2021-01-18,6.325,7.111,6.426,6.596,312840.95
2021-01-19,6.596,7.342,5.745,6.075,398563.65
2021-01-20,6.062,6.88,5.886,6.39,928192.81
2021-01-21,6.39,6.1,5.486,6.002,1093708.65
2021-01-22,6.002,6.628,5.783,5.905,1202521.6
2021-01-23,5.905,6.071,5.672,5.929,252830.93
2021-01-24,5.929,6.721,5.876,5.896,249470.08
2021-01-25,5.898,5.906,5.464,5.813,787298.41
2021-01-26,5.804,6.06,5.551,5.61,355788.77
2021-01-27,5.583,5.431,5.135,5.272,967592.58
2021-01-28,5.272,5.96,5.378,5.522,1034502.33
2021-01-29,5.522,5.799,4.778,5.467,1689954.53
2021-01-30,5.445,5.817,5.385,5.429,278955.12
