date,open,high,low,close,volume
2020-06-15,0.06321,0.0641,0.05934,0.06114,220502.62
2020-06-16,0.06114,0.07359,0.06124,0.07235,333939.66
2020-06-17,0.07235,0.07242,0.06545,0.06926,371466.55
2020-06-18,0.06926,0.07245,0.05402,0.07018,251373.37
2020-06-19,0.07018,0.07053,0.04787,0.06964,148427.5
2020-06-20,0.06964,0.07199,0.02909,0.06455,205972.9
2020-06-21,0.06455,0.06744,0.06309,0.06564,136487.77
2020-06-22,0.06564,0.07017,0.06053,0.06345,235382.93
2020-06-23,0.06345,0.06342,0.05619,0.05619,278866.57
2020-06-24,0.05619,0.05421,0.04949,0.05346,429242.35
2020-06-25,0.05346,0.06016,0.0507,0.06016,626616.7
2020-06-26,0.06016,0.06195,0.05553,0.05672,76044.99
2020-06-27,0.05672,0.06123,0.05359,0.05445,63682.1
2020-06-28,0.05445,0.05868,0.05137,0.05287,53293.32
2020-06-29,0.05287,0.05444,0.05232,0.05234,81143.83
2020-06-30,0.05234,0.06896,0.04236,0.05351,234686.28
2020-07-01,0.05351,0.06298,0.05247,0.05374,127830.99
2020-07-02,0.05374,0.05431,0.05091,0.05162,132633.64
2020-07-03,0.05162,0.05401,0.04616,0.04616,202854.85
2020-07-04,0.04616,0.05479,0.04502,0.05016,232257.06
2020-07-05,0.05016,0.05122,0.04321,0.05021,107343.64
2020-07-06,0.05021,0.0624,0.05324,0.06124,209982.48
2020-07-07,0.06124,0.06063,0.04761,0.05651,196030.64
2020-07-08,0.05651,0.05899,0.04959,0.05412,305991.91
2020-07-09,0.05412,0.05444,0.04752,0.05072,178965.65
2020-07-10,0.05072,0.055,0.04757,0.05254,385322.4
2020-07-11,0.05254,0.05211,0.05024,0.0512,71488.87
2020-07-12,0.0512,0.05197,0.04944,0.04954,115295.28
2020-07-13,0.04954,0.05701,0.04783,0.04783,108138.16
2020-07-14,0.04783,0.05477,0.04703,0.04842,47283.94
2020-07-15,0.04842,0.05338,0.04735,0.053,267287.0
2020-07-16,0.053,0.0617,0.04256,0.05805,424502.17
2020-07-17,0.05805,0.06494,0.05372,0.06161,443115.12
2020-07-18,0.06161,0.06344,0.05354,0.0612,132236.4
2020-07-19,0.0612,0.06337,0.0478,0.05646,141973.32
2020-07-20,0.05646,0.09624,0.04147,0.09624,1398507.97
2020-07-21,0.09624,0.1062,0.07329,0.1004,1778221.45
2020-07-22,0.1004,0.1195,0.09219,0.1123,1674710.38
