date,open,high,low,close,volume
2020-06-15,1731.37,1740.01,1705.06,1724.04,57.14
2020-06-16,1724.04,1740.86,1722.26,1733.32,42.47
2020-06-17,1758.3,1779.38,1709.02,1752.26,258.37
2020-06-18,1729.13,1742.93,1650.06,1724.17,54.74
2020-06-19,1724.0,1745.0,1720.16,1739.93,53.88
2020-06-20,1739.93,1750.0,1738.01,1746.23,44.21
2020-06-21,1737.06,1765.63,1720.1,1756.34,49.35
2020-06-22,1750.0,1767.86,1746.37,1755.89,107.73
2020-06-23,1755.89,1789.21,1755.0,1776.5,173.58
2020-06-24,1776.5,1798.0,1765.02,1765.45,99.22
2020-06-25,1765.45,1777.14,1760.04,1764.54,45.61
2020-06-26,1778.03,1862.75,1743.7,1783.99,132.33
2020-06-27,1783.99,1823.05,1745.58,1794.22,140.05
2020-06-28,1780.48,1885.0,1773.94,1820.0,86.88
2020-06-29,1815.87,1874.16,1785.05,1791.48,100.24
2020-06-30,1801.0,1802.0,1779.9,1787.37,37.63
2020-07-01,1786.18,1817.29,1758.16,1770.17,134.93
2020-07-02,1774.27,1789.67,1765.43,1778.53,40.47
2020-07-03,1778.53,1793.0,1776.0,1785.0,54.83
2020-07-04,1785.0,1790.0,1774.55,1784.0,18.31
2020-07-05,1784.0,1792.0,1773.89,1773.89,66.58
2020-07-06,1775.42,1844.17,1778.74,1792.76,73.79
2020-07-07,1790.64,1799.11,1760.31,1794.51,54.8
2020-07-08,1794.51,1816.46,1784.17,1816.07,65.89
2020-07-09,1816.07,1820.51,1802.91,1807.97,37.32
2020-07-10,1807.97,1815.99,1803.39,1806.3,35.73
2020-07-11,1806.3,1810.99,1803.39,1803.39,11.44
2020-07-12,1803.39,1809.0,1800.0,1802.99,10.93
2020-07-13,1802.99,1840.0,1801.5,1818.46,44.5
2020-07-14,1820.79,1961.36,1610.56,1814.19,80.49
2020-07-15,1812.77,1822.41,1806.3,1813.29,24.21
2020-07-16,1813.29,1824.6,1773.0,1807.03,99.64
2020-07-17,1822.99,1835.94,1791.98,1828.61,129.16
2020-07-18,1824.89,1825.19,1815.56,1819.61,41.42
2020-07-19,1819.61,1825.19,1815.56,1821.33,17.91
2020-07-20,1821.09,1848.46,1810.89,1815.47,66.99
2020-07-21,1821.79,1853.33,1820.47,1848.99,96.43
2020-07-22,1848.99,1889.12,1826.15,1870.62,120.06
2020-07-23,1870.62,1901.06,1870.13,1893.84,75.11
2020-07-24,1893.84,1920.0,1886.7,1910.0,100.74
2020-07-25,1910.0,1915.0,1896.01,1913.93,57.3
2020-07-26,1913.93,1919.0,1823.4,1916.0,77.89
2020-07-27,1916.0,1984.4,1914.31,1970.0,206.98
2020-07-28,1970.0,1995.0,1925.39,1971.78,99.45
2020-07-29,1971.78,2001.4,1957.56,1979.35,98.35
2020-07-30,1979.35,2001.4,1940.89,1958.95,94.64
2020-07-31,1958.95,2210.0,1909.0,1978.9,122.9
2020-08-01,1985.59,2083.71,1965.59,1989.21,112.34
2020-08-02,1988.97,1998.95,1900.02,1989.44,150.95
2020-08-03,1989.44,1990.27,1880.0,1978.51,158.85
2020-08-04,1978.51,2040.0,1968.72,2040.0,151.73
2020-08-05,2040.0,2064.99,2020.01,2042.82,83.16
2020-08-06,2042.82,2094.0,2028.36,2081.92,85.21
2020-08-07,2081.92,2084.85,2020.0,2052.99,68.27
2020-08-08,2052.99,2053.0,2039.25,2048.0,26.83
2020-08-09,2048.0,2049.92,2033.38,2034.55,55.03
