date,open,high,low,close,volume
2020-06-15,0.9502,0.9835,0.9599,0.9835,58.7
2020-06-16,0.9835,0.9936,0.9936,0.9936,0.0
2020-06-17,0.9936,1.063,0.9544,1.051,2259.56
2020-06-18,1.051,1.069,1.042,1.069,99.0
2020-06-19,1.069,1.06,1.019,1.019,15.81
2020-06-20,1.019,1.041,1.011,1.038,1259.94
2020-06-21,1.038,1.031,1.014,1.025,79.75
2020-06-22,1.025,1.069,1.04,1.06,162.18
2020-06-23,1.06,1.053,1.017,1.018,63.19
2020-06-24,1.018,0.9953,0.9832,0.9953,7.904
2020-06-25,0.9953,0.9897,0.9897,0.9897,0.0
2020-06-26,0.9897,1.006,0.9808,1.006,121.53
2020-06-27,1.006,0.9899,0.9899,0.9899,0.0
2020-06-28,0.9899,1.021,1.002,1.015,4001.01
2020-06-29,1.015,1.027,1.023,1.027,411.26
2020-06-30,1.027,1.021,1.021,1.021,0.0
2020-07-01,1.021,1.033,1.019,1.019,447.7
2020-07-02,1.019,1.037,0.9966,1.009,225.63
2020-07-03,1.009,1.006,1.006,1.006,0.0
2020-07-04,1.006,1.055,1.015,1.055,77.1
2020-07-05,1.055,1.048,1.048,1.048,0.0
2020-07-06,1.048,1.143,1.046,1.143,3325.53
2020-07-07,1.143,1.287,1.105,1.251,802.74
2020-07-08,1.251,1.49,1.275,1.448,3729.74
2020-07-09,1.448,1.434,1.417,1.434,39.6
2020-07-10,1.434,1.442,1.442,1.442,0.0
2020-07-11,1.442,1.434,1.338,1.338,8.0
2020-07-12,1.338,1.447,1.347,1.447,39.77
2020-07-13,1.447,1.437,1.437,1.437,0.0
2020-07-14,1.437,1.474,1.44,1.468,359.11
2020-07-15,1.468,1.458,1.458,1.458,0.0
2020-07-16,1.458,1.537,1.449,1.537,32.9
2020-07-17,1.537,1.642,1.374,1.517,18782.19
2020-07-18,1.517,1.653,1.333,1.388,13057.51
2020-07-19,1.388,1.393,1.375,1.375,1699.46
2020-07-20,1.375,1.52,1.349,1.349,272.79
2020-07-21,1.349,1.502,1.383,1.416,1497.09
2020-07-22,1.416,1.438,1.359,1.359,122.32
2020-07-23,1.359,1.37,1.37,1.37,0.0
2020-07-24,1.37,1.361,1.344,1.344,155.81
2020-07-25,1.344,1.366,1.366,1.366,0.0
2020-07-26,1.366,1.399,1.399,1.399,0.0
2020-07-27,1.399,1.554,1.358,1.358,3148.02
2020-07-28,1.358,1.345,1.256,1.256,219.24
2020-07-29,1.256,1.277,1.15,1.15,19.66
2020-07-30,1.15,1.15,1.15,1.15,0.0
2020-07-31,1.15,1.175,1.134,1.134,11.15
2020-08-01,1.134,1.179,1.135,1.135,29.87
2020-08-02,1.135,1.119,1.063,1.119,93.2
2020-08-03,1.119,1.252,1.136,1.252,187.11
2020-08-04,1.252,1.247,0.8679,1.219,652.45
2020-08-05,1.219,1.29,1.163,1.187,533.42
2020-08-06,1.187,1.189,1.096,1.098,116.51
2020-08-07,1.098,1.286,1.082,1.286,1722.38
2020-08-08,1.286,1.304,1.304,1.304,0.0
2020-08-09,1.304,1.295,1.203,1.203,72.48
2020-08-10,1.203,1.224,1.108,1.108,89.7
2020-08-11,1.108,1.06,1.06,1.06,0.0
2020-08-12,1.06,1.077,1.077,1.077,0.0
2020-08-13,1.077,1.14,1.098,1.14,145.0
2020-08-14,1.14,1.138,1.076,1.088,511.54
2020-08-15,1.088,1.096,0.854,0.9026,84.17
2020-08-16,0.9026,0.907,0.907,0.907,0.0
2020-08-17,0.907,0.9361,0.9361,0.9361,0.0
2020-08-18,0.9361,0.9099,0.9099,0.9099,0.0
2020-08-19,0.9099,0.895,0.895,0.895,0.0
2020-08-20,0.895,1.186,0.9028,1.186,5.99
2020-08-21,1.186,1.152,1.001,1.001,33.0
2020-08-22,1.001,1.176,1.013,1.165,213.12
2020-08-23,1.165,1.163,1.163,1.163,0.0
2020-08-24,1.163,1.174,1.174,1.174,0.0
2020-08-25,1.174,1.131,1.081,1.081,8.013
2020-08-26,1.081,1.094,1.094,1.094,0.0
2020-08-27,1.094,1.1,0.9259,1.085,260.69
2020-08-28,1.085,1.42,1.017,1.092,6349.98
2020-08-29,1.092,1.087,1.081,1.087,525.0
2020-08-30,1.087,1.109,1.109,1.109,0.0
2020-08-31,1.109,1.103,1.103,1.103,0.0
2020-09-01,1.103,1.18,1.105,1.105,63.73
2020-09-02,1.105,1.13,1.039,1.13,3236.99
2020-09-03,1.13,1.212,1.006,1.212,4225.79
