date,open,high,low,close,volume
2020-06-15,1.721,1.719,1.648,1.675,1167159.86
2020-06-16,1.675,1.74,1.694,1.735,1150837.44
2020-06-17,1.735,1.728,1.7,1.708,1122415.64
2020-06-18,1.708,1.7,1.671,1.68,1232783.58
2020-06-19,1.68,1.679,1.65,1.673,1192054.18
2020-06-20,1.673,1.681,1.649,1.679,1042837.38
2020-06-21,1.679,1.783,1.646,1.729,1341319.32
2020-06-22,1.729,1.882,1.803,1.842,1007447.81
2020-06-23,1.842,1.848,1.78,1.795,653867.76
2020-06-24,1.795,1.753,1.702,1.734,624162.05
2020-06-25,1.734,1.726,1.693,1.717,1744764.9
2020-06-26,1.717,1.713,1.66,1.676,4956987.33
2020-06-27,1.676,1.641,1.55,1.576,752119.12
2020-06-28,1.576,1.641,1.586,1.617,1123026.34
2020-06-29,1.617,1.697,1.628,1.67,1491885.09
2020-06-30,1.67,1.665,1.636,1.645,1235357.85
2020-07-01,1.645,1.688,1.652,1.659,1281548.12
2020-07-02,1.659,1.666,1.624,1.649,837657.35
2020-07-03,1.649,1.657,1.629,1.637,1127942.84
2020-07-04,1.637,1.712,1.664,1.696,1430047.95
2020-07-05,1.696,1.785,1.675,1.785,1370373.61
2020-07-06,1.785,1.894,1.804,1.825,764197.42
2020-07-07,1.825,1.817,1.77,1.803,545193.24
2020-07-08,1.803,2.103,1.852,2.019,1149644.73
2020-07-09,2.019,2.153,1.926,2.132,1099253.05
2020-07-10,2.132,2.129,1.99,2.038,739601.73
2020-07-11,2.038,2.099,2.01,2.081,699295.69
2020-07-12,2.081,2.13,2.012,2.047,566272.64
2020-07-13,2.047,2.259,2.014,2.211,1013847.42
2020-07-14,2.211,2.387,2.146,2.349,1224123.47
2020-07-15,2.349,2.458,2.286,2.292,1009532.62
2020-07-16,2.292,2.321,2.151,2.306,981046.05
2020-07-17,2.306,2.407,2.276,2.395,897647.84
2020-07-18,2.395,2.439,2.344,2.37,614759.47
2020-07-19,2.37,2.416,2.342,2.349,533726.82
2020-07-20,2.349,2.319,2.215,2.225,560730.65
2020-07-21,2.225,2.373,2.276,2.354,665511.65
2020-07-22,2.354,2.538,2.322,2.382,584718.88
2020-07-23,2.382,2.5,2.317,2.359,656903.73
2020-07-24,2.359,2.398,2.265,2.29,534134.18
2020-07-25,2.29,2.563,2.38,2.41,682877.35
2020-07-26,2.41,2.557,2.32,2.36,1029279.85
2020-07-27,2.36,2.444,2.232,2.323,1007243.9
2020-07-28,2.323,2.395,2.267,2.382,718660.09
2020-07-29,2.382,2.46,2.339,2.356,602124.8
2020-07-30,2.356,2.52,2.365,2.377,489382.68
2020-07-31,2.377,2.487,2.377,2.42,547987.73
2020-08-01,2.42,2.851,2.584,2.653,694329.56
2020-08-02,2.653,2.547,2.348,2.405,766344.15
2020-08-03,2.405,2.722,2.46,2.623,847262.55
2020-08-04,2.623,2.919,2.638,2.849,826891.16
2020-08-05,2.849,2.956,2.738,2.777,500603.24
2020-08-06,2.777,2.812,2.679,2.762,468242.13
2020-08-07,2.762,2.698,2.627,2.641,359964.79
2020-08-08,2.641,2.807,2.712,2.765,315054.36
2020-08-09,2.765,2.744,2.652,2.717,327230.18
2020-08-10,2.717,3.0,2.703,2.932,620954.91
2020-08-11,2.932,2.841,2.658,2.722,531563.28
2020-08-12,2.722,2.829,2.723,2.8,455129.7
2020-08-13,2.8,3.084,2.766,2.858,505433.77
2020-08-14,2.858,3.28,2.888,3.101,942769.17
2020-08-15,3.101,3.187,2.974,3.1,494517.85
2020-08-16,3.1,3.462,3.087,3.338,570463.84
2020-08-17,3.338,3.623,3.25,3.423,625804.33
2020-08-18,3.423,3.526,3.21,3.294,477965.6
2020-08-19,3.294,3.437,3.025,3.302,726306.71
2020-08-20,3.302,4.113,3.348,4.077,1532303.4
2020-08-21,4.077,5.048,3.735,3.767,2787575.38
2020-08-22,3.767,4.338,3.571,4.16,1436409.58
2020-08-23,4.16,4.274,3.886,3.981,824386.19
2020-08-24,3.981,4.305,3.797,3.818,682926.28
2020-08-25,3.818,3.771,3.45,3.486,870157.18
2020-08-26,3.486,3.968,3.509,3.782,816264.11
2020-08-27,3.782,3.815,3.307,3.371,715506.21
2020-08-28,3.371,3.509,3.322,3.344,460650.04
2020-08-29,3.344,3.468,3.28,3.434,799900.16
2020-08-30,3.434,3.878,3.444,3.452,617788.23
2020-08-31,3.452,3.603,3.357,3.361,438802.72
2020-09-01,3.361,3.744,3.384,3.516,609119.9
2020-09-02,3.516,3.511,3.115,3.238,623726.74
2020-09-03,3.238,2.818,2.379,2.406,661115.18
2020-09-04,2.406,2.626,2.312,2.587,587917.65
2020-09-05,2.587,2.407,2.22,2.341,725325.92
2020-09-06,2.341,2.492,2.385,2.427,579637.76
2020-09-07,2.427,2.504,2.398,2.412,500268.49
2020-09-08,2.412,2.411,2.281,2.356,540063.8
2020-09-09,2.356,2.523,2.404,2.441,619736.38
2020-09-10,2.441,2.655,2.476,2.624,577929.58
2020-09-11,2.624,2.834,2.616,2.818,667862.46
2020-09-12,2.818,3.086,2.801,2.858,698440.79
2020-09-13,2.858,2.734,2.592,2.65,466147.18
2020-09-14,2.65,2.782,2.635,2.638,393899.87
2020-09-15,2.638,2.576,2.43,2.466,368050.44
2020-09-16,2.466,2.582,2.407,2.45,467344.81
2020-09-17,2.45,2.673,2.495,2.565,523782.09
2020-09-18,2.565,2.938,2.507,2.805,1028522.96
2020-09-19,2.805,2.81,2.62,2.63,781955.18
2020-09-20,2.63,2.574,2.476,2.521,556225.36
2020-09-21,2.521,2.378,2.227,2.261,433611.89
2020-09-22,2.261,2.344,2.226,2.343,536734.99
2020-09-23,2.343,2.222,2.121,2.172,537871.89
2020-09-24,2.172,2.388,2.291,2.319,423025.99
2020-09-25,2.319,2.406,2.315,2.363,384221.72
2020-09-26,2.363,2.422,2.354,2.399,304893.34
2020-09-27,2.399,2.438,2.367,2.372,300116.64
2020-09-28,2.372,2.509,2.34,2.425,382901.86
2020-09-29,2.425,2.478,2.333,2.44,150925.06
2020-09-30,2.436,2.479,2.404,2.434,230810.55
2020-10-01,2.434,2.43,2.355,2.369,230300.22
2020-10-02,2.369,2.342,2.258,2.288,270270.6
2020-10-03,2.288,2.323,2.279,2.3,215863.6
2020-10-04,2.3,2.349,2.291,2.308,243443.03
2020-10-05,2.308,2.32,2.271,2.303,220036.03
2020-10-06,2.303,2.225,2.138,2.173,259978.73
2020-10-07,2.173,2.214,2.131,2.196,293133.5
2020-10-08,2.196,2.292,2.235,2.253,245085.52
2020-10-09,2.253,2.374,2.315,2.333,296708.64
2020-10-10,2.333,2.373,2.288,2.302,205863.65
2020-10-11,2.302,2.382,2.313,2.354,152218.68
2020-10-12,2.354,2.439,2.328,2.345,179299.12
2020-10-13,2.345,2.391,2.308,2.333,173320.77
2020-10-14,2.333,2.341,2.255,2.258,173321.0
2020-10-15,2.258,2.25,2.217,2.231,156378.12
2020-10-16,2.231,2.177,2.111,2.169,200316.55
2020-10-17,2.169,2.203,2.164,2.181,126498.69
2020-10-18,2.181,2.263,2.214,2.219,136858.37
2020-10-19,2.219,2.225,2.191,2.211,173784.08
2020-10-20,2.211,2.165,2.119,2.149,212449.99
2020-10-21,2.147,2.331,2.241,2.286,1412539.11
2020-10-22,2.289,2.446,2.332,2.344,563823.71
2020-10-23,2.344,2.318,2.252,2.292,221105.04
2020-10-24,2.292,2.325,2.289,2.312,257272.78
2020-10-25,2.312,2.279,2.213,2.232,239868.49
2020-10-26,2.232,2.204,2.152,2.177,520231.28
2020-10-27,2.177,2.249,2.17,2.194,223496.5
2020-10-28,2.194,2.123,2.068,2.083,117790.64
2020-10-29,2.083,2.092,2.031,2.037,235096.68
2020-10-30,2.037,2.023,1.933,1.95,396766.6
2020-10-31,1.95,1.982,1.956,1.965,298460.96
2020-11-01,1.965,2.026,1.998,2.009,268395.78
2020-11-02,2.009,1.989,1.925,1.927,303534.18
2020-11-03,1.927,1.955,1.86,1.871,150247.69
2020-11-04,1.871,1.955,1.812,1.836,125151.73
2020-11-05,1.836,1.958,1.889,1.935,107606.55
2020-11-06,1.935,2.139,2.054,2.078,121146.29
2020-11-07,2.078,2.048,1.941,1.951,129311.17
2020-11-08,1.951,2.084,2.02,2.03,98358.69
