date,open,high,low,close,volume
2020-06-15,6.64,7.295,6.129,7.144,16715.48
2020-06-16,7.061,7.296,6.637,6.825,13206.32
2020-06-17,6.825,6.924,6.468,6.475,13655.07
2020-06-18,6.475,6.66,6.065,6.082,12977.32
2020-06-19,6.082,6.271,5.855,6.061,8292.47
2020-06-20,6.197,6.467,6.013,6.099,8139.23
2020-06-21,6.099,6.447,5.799,6.146,10868.72
2020-06-22,6.176,6.812,6.35,6.691,16615.96
2020-06-23,6.691,6.857,6.475,6.646,14689.1
2020-06-24,6.646,8.887,6.124,8.561,54382.74
2020-06-25,8.561,8.481,7.923,8.318,21918.24
2020-06-26,8.265,9.11,7.995,8.896,20901.98
2020-06-27,9.036,8.718,8.338,8.395,13261.07
2020-06-28,8.395,9.675,8.478,9.675,21818.19
2020-06-29,9.675,10.26,8.545,9.338,30578.63
2020-06-30,9.338,9.856,7.106,7.67,49201.05
2020-07-01,7.67,8.953,7.278,7.814,38005.44
2020-07-02,7.814,8.154,7.248,8.077,24598.23
2020-07-03,8.077,8.119,7.115,7.835,19595.0
2020-07-04,7.835,8.509,7.807,7.889,8639.07
2020-07-05,7.889,8.665,7.776,8.38,12144.95
2020-07-06,8.38,9.129,7.736,8.184,18354.73
2020-07-07,8.184,8.258,7.721,7.724,7928.6
2020-07-08,7.724,8.52,7.957,7.962,17052.04
2020-07-09,7.962,8.352,7.795,8.117,6835.44
2020-07-10,8.117,8.336,7.55,7.697,14578.83
2020-07-11,7.697,8.058,7.632,7.929,8760.71
2020-07-12,7.855,8.094,7.535,7.814,13013.79
2020-07-13,7.807,7.857,7.466,7.622,12962.85
2020-07-14,7.622,7.668,6.494,7.408,28482.45
2020-07-15,7.408,7.505,6.945,7.374,18049.59
2020-07-16,7.374,7.412,6.779,6.936,19455.02
2020-07-17,6.936,7.449,6.822,7.118,25855.55
2020-07-18,7.118,7.358,6.927,7.28,14674.79
2020-07-19,7.28,8.373,7.232,8.122,26154.17
2020-07-20,8.122,8.037,7.203,7.557,31534.7
2020-07-21,7.557,9.321,7.524,8.168,29592.94
2020-07-22,8.168,8.987,8.22,8.223,16237.09
2020-07-23,8.223,9.041,8.187,8.551,22758.27
2020-07-24,8.551,8.673,7.829,7.829,21228.79
2020-07-25,7.829,8.895,6.878,7.33,29944.36
2020-07-26,7.33,8.067,7.073,7.232,21267.29
2020-07-27,7.232,8.466,7.222,7.66,28781.51
2020-07-28,7.66,8.08,7.448,7.654,10612.35
2020-07-29,7.654,8.402,7.362,8.38,18365.02
2020-07-30,8.38,8.841,6.705,7.191,14761.2
2020-07-31,7.392,8.333,6.803,6.812,28725.16
2020-08-01,6.812,7.807,6.698,7.217,21203.67
2020-08-02,7.338,7.736,6.695,7.357,16291.09
2020-08-03,7.357,7.637,6.66,6.95,22999.98
2020-08-04,6.95,7.687,6.876,7.422,19882.67
2020-08-05,7.31,8.344,7.336,7.568,17456.38
2020-08-06,7.621,8.328,7.163,7.807,16090.46
2020-08-07,7.807,8.134,6.893,7.963,22305.49
2020-08-08,7.963,8.341,7.323,7.514,25127.23
2020-08-09,7.514,7.802,6.947,7.138,29512.89
2020-08-10,6.928,7.637,6.9,7.637,19606.46
2020-08-11,7.204,7.958,6.631,7.359,25300.22
2020-08-12,7.359,8.131,7.302,7.748,22676.59
2020-08-13,7.748,9.562,8.499,9.09,21820.93
2020-08-14,8.738,10.65,8.383,10.24,43302.71
