date,open,high,low,close,volume
2020-06-15,0.09371,0.1314,0.09043,0.0943,30028.48
2020-06-16,0.0943,0.09527,0.09231,0.09422,14088.94
2020-06-17,0.09422,0.1112,0.09355,0.1033,33664.5
2020-06-18,0.1033,0.1045,0.09249,0.09249,15809.3
2020-06-19,0.09249,0.0933,0.08986,0.0933,12191.64
2020-06-20,0.0933,0.1614,0.09032,0.09069,1759.16
2020-06-21,0.09069,0.09795,0.09005,0.09795,4005.31
2020-06-22,0.09795,0.1095,0.09692,0.101,94294.8
2020-06-23,0.101,0.1509,0.1003,0.1049,49021.88
2020-06-24,0.1049,0.1055,0.09776,0.102,114583.91
2020-06-25,0.102,0.1049,0.09574,0.09574,39078.17
2020-06-26,0.09574,0.1538,0.08838,0.09204,19341.32
2020-06-27,0.09204,0.1579,0.08935,0.09557,31748.63
2020-06-28,0.09557,0.1601,0.09248,0.09713,7158.53
2020-06-29,0.09713,0.1167,0.09692,0.1028,15108.05
2020-06-30,0.1028,0.1148,0.1022,0.1089,30583.91
2020-07-01,0.1089,0.1593,0.1025,0.1053,11152.46
2020-07-02,0.1053,0.1585,0.1037,0.1137,69945.84
2020-07-03,0.1137,0.137,0.1123,0.126,53450.28
2020-07-04,0.126,0.154,0.1194,0.1214,13228.8
2020-07-05,0.1214,0.1272,0.1181,0.1272,18205.88
2020-07-06,0.1272,0.131,0.1266,0.1306,10393.62
2020-07-07,0.1306,0.1629,0.1149,0.1275,47635.95
2020-07-08,0.1275,0.1635,0.1227,0.1383,30279.96
2020-07-09,0.1383,0.2197,0.1203,0.1255,9820.3
2020-07-10,0.1255,0.2115,0.1137,0.1233,25695.82
2020-07-11,0.1233,0.1769,0.1087,0.1769,56095.52
2020-07-12,0.1769,0.1848,0.1124,0.1138,32952.11
2020-07-13,0.1138,0.1207,0.1081,0.1126,45186.59
2020-07-14,0.1126,0.1911,0.1128,0.1204,4318.73
2020-07-15,0.1204,0.2036,0.1129,0.12,54597.03
2020-07-16,0.12,0.16,0.1033,0.1104,36598.99
2020-07-17,0.1104,0.1213,0.1044,0.1189,65111.7
2020-07-18,0.1189,0.1282,0.1114,0.1169,88857.44
2020-07-19,0.1169,0.1866,0.102,0.1859,41055.09
2020-07-20,0.1859,0.1888,0.1021,0.1071,28973.67
2020-07-21,0.1071,0.2029,0.1098,0.1216,22805.99
2020-07-22,0.1216,0.2098,0.1229,0.2004,27499.47
2020-07-23,0.2004,0.2026,0.1202,0.1202,50423.52
2020-07-24,0.1202,0.1821,0.116,0.1333,41629.78
2020-07-25,0.1333,0.1456,0.1305,0.1305,40044.9
2020-07-26,0.1305,0.1354,0.1322,0.1334,6245.8
2020-07-27,0.1334,0.2646,0.1469,0.1746,39219.62
2020-07-28,0.1746,0.1729,0.1308,0.1518,31273.91
2020-07-29,0.1518,0.2392,0.1311,0.1419,40176.42
2020-07-30,0.1419,0.2634,0.1381,0.1381,1922.64
2020-07-31,0.1381,0.2704,0.1029,0.143,117019.37
2020-08-01,0.143,0.2732,0.1288,0.2732,38210.1
2020-08-02,0.2732,0.2571,0.1217,0.1387,60736.23
2020-08-03,0.1387,0.2551,0.1311,0.1769,37095.85
2020-08-04,0.1769,0.2613,0.1384,0.1413,6870.46
2020-08-05,0.1413,0.2749,0.1373,0.1507,35410.94
2020-08-06,0.1507,0.2778,0.1503,0.2685,4675.22
2020-08-07,0.2685,0.2769,0.1375,0.15,87250.85
2020-08-08,0.15,0.2799,0.1522,0.2799,17824.23
2020-08-09,0.2799,0.2779,0.1401,0.273,50332.1
2020-08-10,0.273,0.2808,0.1461,0.2031,209773.2
2020-08-11,0.2031,0.2044,0.1523,0.1674,105586.77
2020-08-12,0.1674,0.1938,0.1627,0.1627,68547.96
2020-08-13,0.1627,0.1916,0.1641,0.1916,57033.47
