date,open,high,low,close,volume
2020-06-15,0.00392,0.004149,0.003583,0.004055,51618686.02
2020-06-16,0.004055,0.004763,0.004001,0.004573,84321098.28
2020-06-17,0.004573,0.005013,0.004351,0.004635,106129427.56
2020-06-18,0.004635,0.004878,0.004315,0.004503,61889708.65
2020-06-19,0.004503,0.004837,0.004372,0.004558,32044984.97
2020-06-20,0.004558,0.004867,0.004399,0.00468,23784421.76
2020-06-21,0.00468,0.004739,0.004461,0.004553,30939027.81
2020-06-22,0.004553,0.005137,0.004555,0.00504,38195801.76
2020-06-23,0.00504,0.005293,0.004716,0.005293,90459291.38
2020-06-24,0.005293,0.006598,0.005018,0.006133,205272007.03
2020-06-25,0.006133,0.007393,0.006007,0.007301,134725278.33
2020-06-26,0.007301,0.007876,0.006502,0.006869,203363656.77
2020-06-27,0.006869,0.006755,0.005584,0.005765,136946369.98
2020-06-28,0.005765,0.006384,0.005381,0.006202,126541346.11
2020-06-29,0.006202,0.006247,0.005512,0.006063,75189680.29
2020-06-30,0.006063,0.006761,0.005847,0.006761,100314041.29
2020-07-01,0.006761,0.007299,0.006467,0.007114,84450889.1
2020-07-02,0.007114,0.007092,0.006092,0.006456,66079697.4
2020-07-03,0.006456,0.006619,0.005803,0.006437,60793509.14
2020-07-04,0.006437,0.006857,0.006217,0.006674,48773309.52
2020-07-05,0.006674,0.007356,0.006448,0.006993,57084831.88
2020-07-06,0.006993,0.008786,0.007197,0.008599,144819062.06
2020-07-07,0.008599,0.008887,0.007869,0.008054,109616465.59
2020-07-08,0.008054,0.009062,0.008023,0.008212,93582916.41
2020-07-09,0.008212,0.008592,0.007576,0.008038,90387164.47
2020-07-10,0.008038,0.008081,0.007524,0.007524,32846011.96
2020-07-11,0.007524,0.008036,0.007297,0.007944,64108351.05
2020-07-12,0.007944,0.008929,0.007906,0.008929,64701935.45
2020-07-13,0.008929,0.00933,0.008314,0.008499,87374810.97
2020-07-14,0.008499,0.008701,0.008145,0.008516,47371910.9
2020-07-15,0.008516,0.009285,0.008274,0.009101,44081133.09
2020-07-16,0.009101,0.009955,0.008859,0.009681,77311968.56
2020-07-17,0.009681,0.01081,0.009523,0.01062,54332891.59
2020-07-18,0.01062,0.01432,0.01046,0.01386,165850469.08
2020-07-19,0.01386,0.01401,0.01189,0.01207,128819965.27
2020-07-20,0.01207,0.01311,0.01136,0.01256,89700005.55
2020-07-21,0.01256,0.01296,0.01033,0.01099,101416441.17
2020-07-22,0.01099,0.01297,0.01078,0.0123,70306330.18
2020-07-23,0.0123,0.01269,0.01125,0.01144,49705205.62
2020-07-24,0.01144,0.01175,0.009741,0.009741,77065433.52
2020-07-25,0.009741,0.01078,0.008835,0.009126,152972074.63
2020-07-26,0.009126,0.01054,0.00855,0.009743,136667578.11
2020-07-27,0.009743,0.01115,0.00762,0.007951,189855735.04
2020-07-28,0.007951,0.009949,0.007544,0.009293,164657761.32
2020-07-29,0.009293,0.01045,0.008556,0.009334,128516219.25
2020-07-30,0.009334,0.009447,0.008669,0.00878,53702989.15
2020-07-31,0.00878,0.01056,0.008969,0.0101,137401796.09
2020-08-01,0.0101,0.01252,0.01028,0.01169,130688712.14
2020-08-02,0.01169,0.01106,0.009957,0.0104,76869512.58
2020-08-03,0.0104,0.0127,0.01045,0.01236,93644085.03
2020-08-04,0.01236,0.01254,0.01164,0.01164,46692616.91
2020-08-05,0.01164,0.01316,0.01175,0.01199,66379077.13
2020-08-06,0.01199,0.01236,0.01142,0.01165,70249776.18
2020-08-07,0.01165,0.01253,0.01091,0.01114,72406228.75
2020-08-08,0.01114,0.01201,0.01048,0.01118,50352666.73
2020-08-09,0.01118,0.01145,0.01005,0.01005,57683035.8
2020-08-10,0.01005,0.01261,0.009875,0.0119,109496020.66
2020-08-11,0.0119,0.0123,0.01059,0.01082,93199247.2
2020-08-12,0.01082,0.0118,0.01076,0.01134,79513255.45
2020-08-13,0.01134,0.01415,0.01155,0.01344,144972721.37
2020-08-14,0.01344,0.01978,0.01319,0.01531,208130552.14
2020-08-15,0.01531,0.02111,0.01459,0.02111,106433381.16
2020-08-16,0.02111,0.02646,0.02002,0.02562,183280830.18
2020-08-17,0.02562,0.02719,0.02202,0.02509,113963801.04
2020-08-18,0.02509,0.02726,0.02045,0.02535,98692410.12
2020-08-19,0.02535,0.02728,0.02282,0.02481,90182062.7
2020-08-20,0.02481,0.02598,0.02183,0.02207,61375718.6
2020-08-21,0.02207,0.02236,0.0189,0.01937,87037412.62
2020-08-22,0.01937,0.02404,0.01867,0.02182,62959967.4
2020-08-23,0.02182,0.0226,0.02039,0.02132,37327967.78
2020-08-24,0.02132,0.02304,0.02116,0.02187,37373973.26
2020-08-25,0.02187,0.02935,0.02085,0.02787,527294404.64
2020-08-26,0.02787,0.02901,0.02465,0.02534,284478403.62
2020-08-27,0.02534,0.0264,0.02244,0.02414,193670608.36
2020-08-28,0.02414,0.02792,0.02445,0.02584,141072719.47
2020-08-29,0.02584,0.02641,0.02331,0.02445,151363392.25
2020-08-30,0.02445,0.02777,0.02402,0.02707,211486190.23
2020-08-31,0.02853,0.03251,0.02722,0.02852,9835844.99
2020-09-01,0.02852,0.03126,0.02636,0.02755,17141772.47
2020-09-02,0.02755,0.02885,0.02485,0.02793,17115503.14
2020-09-03,0.02793,0.02429,0.01101,0.02023,18858693.28
2020-09-04,0.02023,0.02134,0.01852,0.01987,15923043.52
2020-09-05,0.01987,0.01961,0.01478,0.01659,20213940.2
2020-09-06,0.01659,0.01993,0.01562,0.01834,22805548.69
2020-09-07,0.01834,0.01878,0.01556,0.01666,24847321.49
2020-09-08,0.01666,0.01704,0.01502,0.01596,21896742.42
2020-09-09,0.01596,0.01879,0.0157,0.01805,20669149.78
2020-09-10,0.01805,0.01899,0.01678,0.01774,18725526.48
2020-09-11,0.01774,0.0181,0.01601,0.01694,19554792.86
2020-09-12,0.01694,0.01978,0.01707,0.01831,19146048.43
2020-09-13,0.01831,0.01857,0.01619,0.017,20454946.9
2020-09-14,0.017,0.01898,0.01664,0.01694,19364716.26
2020-09-15,0.01694,0.01657,0.01424,0.01468,18202487.07
2020-09-16,0.01468,0.01537,0.01337,0.01424,19920753.74
2020-09-17,0.01424,0.01538,0.01375,0.01457,4873813.45
2020-09-18,0.01457,0.01477,0.01327,0.01342,1376107.22
2020-09-19,0.01342,0.01514,0.01322,0.01511,1383538.84
2020-09-20,0.01511,0.01558,0.01414,0.01432,1202856.25
2020-09-21,0.01432,0.01483,0.01228,0.01361,1254863.55
2020-09-22,0.01361,0.01398,0.01232,0.01277,1240512.24
2020-09-23,0.01277,0.01281,0.01002,0.01105,1745385.19
2020-09-24,0.01105,0.01411,0.01103,0.01397,1576673.46
2020-09-25,0.01397,0.01408,0.01214,0.01271,1238500.8
2020-09-26,0.01271,0.01311,0.01236,0.01265,1146050.53
2020-09-27,0.01265,0.01295,0.0118,0.01213,1122860.48
2020-09-28,0.01213,0.01338,0.01055,0.01087,1399463.15
2020-09-29,0.01087,0.01145,0.00943,0.01069,1493260.19
2020-09-30,0.01069,0.01141,0.009356,0.01108,1781664.9
2020-10-01,0.01108,0.01261,0.009322,0.01112,1600310.84
2020-10-02,0.01112,0.01089,0.008784,0.009234,1705604.47
2020-10-03,0.009234,0.01074,0.008519,0.00987,1571136.65
2020-10-04,0.00987,0.01125,0.009452,0.009875,1481641.35
2020-10-05,0.009875,0.01026,0.008917,0.009271,1353637.45
2020-10-06,0.009271,0.009033,0.007669,0.007942,1635891.42
2020-10-07,0.007942,0.009608,0.007556,0.008206,1404829.02
2020-10-08,0.008206,0.009412,0.008218,0.008815,1327546.84
2020-10-09,0.008815,0.01111,0.008916,0.009574,1671652.43
2020-10-10,0.009574,0.009828,0.008938,0.008938,1266252.17
2020-10-11,0.008938,0.009772,0.008574,0.00966,1328002.18
2020-10-12,0.00966,0.01261,0.009286,0.01261,1649288.15
2020-10-13,0.01261,0.01243,0.009345,0.01041,1455045.11
2020-10-14,0.01041,0.01304,0.01012,0.01247,1676863.74
2020-10-15,0.01247,0.01288,0.01073,0.01145,1245547.35
2020-10-16,0.01145,0.01181,0.009249,0.01046,5945508.65
2020-10-17,0.01046,0.01072,0.009361,0.01017,1371659.4
2020-10-18,0.01017,0.01268,0.01044,0.01219,1374587.15
2020-10-19,0.01219,0.01233,0.01062,0.01119,1310178.09
2020-10-20,0.01119,0.01125,0.009553,0.01003,7013737.88
2020-10-21,0.01003,0.01515,0.009826,0.01206,1772839.16
2020-10-22,0.01206,0.01654,0.01111,0.01438,1627656.84
2020-10-23,0.01438,0.01618,0.0138,0.01491,1250359.35
2020-10-24,0.01491,0.01621,0.01365,0.0146,1322020.84
2020-10-25,0.0146,0.01739,0.01418,0.01621,1546004.12
2020-10-26,0.01621,0.01694,0.01431,0.01565,1652607.33
2020-10-27,0.01565,0.01615,0.01421,0.01462,1028816.9
2020-10-28,0.01462,0.01431,0.01252,0.0138,686420.55
2020-10-29,0.0138,0.01407,0.01163,0.01182,995473.78
2020-10-30,0.01182,0.01225,0.01068,0.01217,1369719.24
2020-10-31,0.01217,0.01265,0.01141,0.01153,1267201.09
2020-11-01,0.01153,0.01269,0.01146,0.01189,1321744.38
2020-11-02,0.01189,0.01208,0.01066,0.0107,1133044.19
2020-11-03,0.0107,0.01118,0.01017,0.01052,699786.13
2020-11-04,0.01052,0.01111,0.009986,0.01015,680227.5
2020-11-05,0.01015,0.01209,0.01046,0.0118,732765.32
2020-11-06,0.0118,0.01483,0.01237,0.01474,585210.73
2020-11-07,0.01474,0.01438,0.01216,0.01281,749032.55
2020-11-08,0.01281,0.01451,0.0131,0.01442,728879.73
2020-11-09,0.01442,0.01462,0.0136,0.01436,875917.65
2020-11-10,0.01436,0.01781,0.01447,0.01722,1332742.4
2020-11-11,0.01722,0.01846,0.016,0.01693,2890183.19
2020-11-12,0.01693,0.01759,0.01569,0.01597,1736796.25
2020-11-13,0.01597,0.01812,0.01636,0.01745,1577809.57
2020-11-14,0.01745,0.01692,0.01558,0.01614,1519185.2
2020-11-15,0.01614,0.01651,0.0148,0.0152,1682526.77
2020-11-16,0.0152,0.01769,0.01548,0.01714,2162456.04
2020-11-17,0.01714,0.02081,0.01781,0.02076,1923973.48
2020-11-18,0.02076,0.02154,0.01877,0.01996,2014361.19
2020-11-19,0.01996,0.02218,0.01888,0.02109,2136416.01
2020-11-20,0.02109,0.02481,0.02271,0.02379,1691431.01
2020-11-21,0.02379,0.02656,0.02369,0.02369,1644533.71
2020-11-22,0.02369,0.02414,0.02206,0.02218,1828974.52
2020-11-23,0.02218,0.02455,0.02217,0.02272,1664632.26
2020-11-24,0.02272,0.02487,0.0219,0.02323,2255501.24
2020-11-25,0.02323,0.02226,0.01959,0.01964,1901865.05
2020-11-26,0.01964,0.01925,0.01602,0.01925,2788943.7
2020-11-27,0.01925,0.02023,0.01811,0.01878,1842232.28
2020-11-28,0.01878,0.02066,0.01883,0.01953,1573479.06
2020-11-29,0.01953,0.02114,0.0197,0.01993,1436305.06
2020-11-30,0.01993,0.02224,0.0207,0.02156,1551664.28
2020-12-01,0.02156,0.02146,0.01946,0.01964,1738089.97
2020-12-02,0.01964,0.0216,0.01992,0.02118,1555453.02
2020-12-03,0.02118,0.02201,0.02084,0.02127,1337161.13
2020-12-04,0.02127,0.01958,0.01782,0.01811,1370161.56
2020-12-05,0.01811,0.0203,0.01893,0.01988,1534143.03
2020-12-06,0.01988,0.02035,0.01891,0.01909,1365870.68
2020-12-07,0.01909,0.02029,0.01846,0.02023,1565538.83
2020-12-08,0.02023,0.01897,0.01759,0.01775,1304170.57
2020-12-09,0.01775,0.02162,0.01824,0.01984,2101193.55
2020-12-10,0.01984,0.01982,0.01865,0.01893,1413893.83
2020-12-11,0.01893,0.01845,0.01741,0.01763,1392142.23
2020-12-12,0.01763,0.01949,0.01835,0.0187,1349789.16
2020-12-13,0.0187,0.02008,0.01896,0.01902,1319331.25
2020-12-14,0.01902,0.01958,0.01859,0.01917,1344173.31
2020-12-15,0.01917,0.0195,0.01891,0.01903,1204296.37
2020-12-16,0.01903,0.02175,0.02015,0.02079,1561114.71
2020-12-17,0.02079,0.02174,0.01936,0.02084,1894905.56
2020-12-18,0.02084,0.02239,0.02068,0.02232,1438932.89
2020-12-19,0.02232,0.02312,0.02174,0.02207,1310214.93
2020-12-20,0.02207,0.02144,0.02017,0.02029,1308437.56
2020-12-21,0.02029,0.01964,0.01848,0.01891,1327843.41
2020-12-22,0.01891,0.02046,0.01905,0.01905,1502846.67
2020-12-23,0.01905,0.01773,0.01428,0.01662,1752542.13
2020-12-24,0.01662,0.01819,0.01653,0.01794,1823943.1
2020-12-25,0.01794,0.0188,0.01686,0.01705,1646060.54
2020-12-26,0.01705,0.01864,0.01635,0.01717,1856088.98
2020-12-27,0.01717,0.01922,0.01724,0.01765,1880986.06
2020-12-28,0.01765,0.02065,0.01787,0.01999,1858983.41
2020-12-29,0.01999,0.02063,0.01851,0.01946,2232475.29
2020-12-30,0.01946,0.02137,0.01911,0.01942,2410533.14
2020-12-31,0.01942,0.02182,0.0185,0.01998,2122300.87
2021-01-01,0.01998,0.02594,0.01973,0.02542,3077369.93
2021-01-02,0.02542,0.03301,0.02588,0.02898,3613115.42
2021-01-03,0.02898,0.04443,0.0322,0.0322,4970409.33
2021-01-04,0.0322,0.03755,0.02994,0.03077,3828465.57
2021-01-05,0.03077,0.04325,0.03177,0.04126,3470899.23
2021-01-06,0.04126,0.04854,0.0391,0.03947,3761930.71
2021-01-07,0.03947,0.04265,0.03726,0.03995,2737497.61
2021-01-08,0.03995,0.04405,0.03773,0.04235,2910233.77
2021-01-09,0.04235,0.05107,0.04173,0.04659,2588030.24
2021-01-10,0.04659,0.04747,0.04194,0.04269,2485238.73
2021-01-11,0.04269,0.03951,0.03222,0.03907,2058208.37
2021-01-12,0.03907,0.04116,0.03654,0.03675,2221584.54
2021-01-13,0.03675,0.04293,0.03785,0.04034,1933357.17
2021-01-14,0.04034,0.04448,0.03992,0.04041,1702061.81
2021-01-15,0.04041,0.04092,0.03718,0.03881,1912204.96
2021-01-16,0.03881,0.04521,0.03956,0.04042,2198087.85
2021-01-17,0.04042,0.0417,0.03886,0.04034,1585697.1
2021-01-18,0.04034,0.05046,0.0409,0.04693,2230935.58
2021-01-19,0.04693,0.05101,0.04144,0.04199,2470925.27
2021-01-20,0.04199,0.04602,0.04106,0.04216,1710587.17
2021-01-21,0.04216,0.03512,0.03301,0.03334,1440771.17
2021-01-22,0.03334,0.04148,0.0363,0.03827,2127323.39
2021-01-23,0.03827,0.04147,0.03727,0.039,1985456.67
2021-01-24,0.039,0.04456,0.03829,0.03968,2080385.11
2021-01-25,0.03968,0.03797,0.03573,0.03599,1614365.93
2021-01-26,0.03599,0.0394,0.03626,0.03681,1547292.31
2021-01-27,0.03681,0.03427,0.03178,0.0324,1424879.85
2021-01-28,0.0324,0.03673,0.0334,0.03354,1676580.34
2021-01-29,0.03354,0.03765,0.03269,0.03434,2932205.14
2021-01-30,0.03434,0.03779,0.03366,0.03559,1890000.34
2021-01-31,0.03559,0.0364,0.03272,0.03351,1585642.88
2021-02-01,0.03351,0.04014,0.03464,0.03711,1868456.11
2021-02-02,0.03711,0.0433,0.03815,0.04133,2544410.98
2021-02-03,0.04133,0.04802,0.03985,0.04068,2331787.24
2021-02-04,0.04068,0.04217,0.03578,0.03978,1929252.14
2021-02-05,0.03978,0.05113,0.04149,0.04476,3698228.77
2021-02-06,0.04476,0.04433,0.03929,0.03996,1962689.33
2021-02-07,0.03996,0.03956,0.03698,0.03827,1856327.25
2021-02-08,0.03827,0.05697,0.03997,0.04242,2626597.56
2021-02-09,0.04242,0.06131,0.04164,0.05104,3267157.15
2021-02-10,0.05104,0.06467,0.04532,0.05386,4790810.28
2021-02-11,0.05386,0.06257,0.05452,0.05971,2575208.02
2021-02-12,0.05971,0.08007,0.05922,0.06937,3312651.08
2021-02-13,0.06937,0.07924,0.06325,0.07234,3583026.53
2021-02-14,0.07234,0.07212,0.05986,0.06401,2387839.17
2021-02-15,0.06401,0.06762,0.05231,0.05658,3643241.12
2021-02-16,0.05658,0.06115,0.0542,0.05545,2216955.6
2021-02-17,0.05545,0.06886,0.05368,0.0585,2566495.8
2021-02-18,0.0585,0.06653,0.05877,0.06304,2242358.58
2021-02-19,0.06304,0.0646,0.05853,0.06049,2157609.66
2021-02-20,0.06049,0.06243,0.05324,0.05573,2253681.25
2021-02-21,0.05573,0.05902,0.05418,0.05554,1690421.41
2021-02-22,0.05554,0.05548,0.04534,0.05156,2082146.86
2021-02-23,0.05156,0.04703,0.03961,0.04403,2231199.26
