date,open,high,low,close,volume
2020-06-15,0.1901,0.1936,0.1822,0.1925,161233845.07
2020-06-16,0.1925,0.1941,0.19,0.1924,113155656.19
2020-06-17,0.1924,0.1984,0.1884,0.1931,172352187.28
2020-06-18,0.1931,0.1931,0.1881,0.1897,122968837.17
2020-06-19,0.1897,0.19,0.1864,0.1871,130440722.39
2020-06-20,0.1871,0.1888,0.1848,0.1879,74625080.66
2020-06-21,0.1879,0.1884,0.1856,0.1858,59366242.46
2020-06-22,0.1858,0.1905,0.1856,0.1895,119292919.79
2020-06-23,0.1895,0.1905,0.1883,0.1888,96710869.67
2020-06-24,0.1888,0.1901,0.1815,0.1834,146388902.78
2020-06-25,0.1834,0.1839,0.1785,0.1814,130944828.93
2020-06-26,0.1814,0.1867,0.1783,0.1824,158064118.44
2020-06-27,0.1824,0.1833,0.1702,0.1751,132118284.03
2020-06-28,0.1751,0.1798,0.1733,0.1769,98539524.66
2020-06-29,0.1769,0.1792,0.175,0.1773,123834024.01
2020-06-30,0.1773,0.1778,0.1748,0.1752,121961830.34
2020-07-01,0.1752,0.1783,0.1737,0.1765,119766004.74
2020-07-02,0.1765,0.1773,0.1723,0.1749,143339568.3
2020-07-03,0.1749,0.1786,0.1745,0.1764,121905077.82
2020-07-04,0.1764,0.1797,0.1761,0.1781,81610073.52
2020-07-05,0.1781,0.1788,0.1742,0.1772,82201250.85
2020-07-06,0.1772,0.1892,0.1766,0.1889,195324148.71
2020-07-07,0.1889,0.1896,0.1832,0.1852,144762390.18
2020-07-08,0.1852,0.2068,0.184,0.2056,385212998.66
2020-07-09,0.2056,0.2115,0.1971,0.2026,348535743.0
2020-07-10,0.2026,0.2027,0.193,0.1989,192188351.06
2020-07-11,0.1989,0.2047,0.1981,0.2012,139947866.51
2020-07-12,0.2012,0.2039,0.198,0.2012,107429733.32
2020-07-13,0.2012,0.2064,0.193,0.1986,205764685.3
2020-07-14,0.1986,0.1998,0.1951,0.199,128379557.19
2020-07-15,0.199,0.1998,0.1964,0.1971,113504434.67
2020-07-16,0.1971,0.1974,0.1889,0.1943,151782701.33
2020-07-17,0.1943,0.1978,0.1913,0.1945,121777809.36
2020-07-18,0.1945,0.2021,0.1939,0.1998,125520490.29
2020-07-19,0.1998,0.202,0.196,0.1996,104285632.63
2020-07-20,0.1996,0.2002,0.1923,0.1948,126970693.18
2020-07-21,0.1948,0.201,0.1941,0.1996,137847157.21
2020-07-22,0.1996,0.2048,0.1963,0.2039,131199231.64
2020-07-23,0.2039,0.2103,0.2019,0.2086,223930944.24
2020-07-24,0.2086,0.2087,0.2022,0.2043,145175537.33
2020-07-25,0.2043,0.2178,0.204,0.2149,177090214.74
2020-07-26,0.2149,0.2253,0.2131,0.2154,246916528.27
2020-07-27,0.2154,0.2295,0.21,0.2246,340097264.58
2020-07-28,0.2246,0.2349,0.2176,0.2308,354449343.42
2020-07-29,0.2308,0.2502,0.2297,0.2435,407197373.46
2020-07-30,0.2435,0.2497,0.2372,0.2445,283160933.61
2020-07-31,0.2445,0.2607,0.2421,0.2599,261249362.05
2020-08-01,0.2599,0.298,0.2561,0.2913,559487706.36
2020-08-02,0.2913,0.3262,0.2596,0.2878,695454921.56
