date,open,high,low,close,volume
2020-06-15,0.2387,0.5156,0.1868,0.5156,151487.38
2020-06-16,0.5156,0.5209,0.1896,0.1905,357847.35
2020-06-17,0.1905,0.2537,0.1873,0.193,293640.96
2020-06-18,0.193,0.3622,0.1867,0.1886,458823.56
2020-06-19,0.1886,0.4825,0.186,0.2342,167767.29
2020-06-20,0.2342,0.7668,0.1912,0.6312,975771.68
2020-06-21,0.6312,0.6536,0.1803,0.1903,346120.84
2020-06-22,0.1903,0.5898,0.189,0.2046,370635.72
2020-06-23,0.2046,0.568,0.1878,0.1974,195989.18
2020-06-24,0.1974,0.4992,0.1859,0.2094,182164.6
2020-06-25,0.2094,0.4598,0.183,0.1858,260130.54
2020-06-26,0.1858,0.2711,0.1768,0.1888,790802.5
2020-06-27,0.1888,0.4401,0.1837,0.1881,266993.71
2020-06-28,0.1881,0.4988,0.1871,0.1934,183863.8
2020-06-29,0.1934,0.3136,0.1883,0.1999,375827.2
2020-06-30,0.1999,0.4054,0.191,0.1962,360619.69
2020-07-01,0.1962,0.3053,0.19,0.1986,609094.26
2020-07-02,0.1986,0.3581,0.1927,0.2,38775.2
2020-07-03,0.2,0.6067,0.1929,0.2031,65231.35
2020-07-04,0.2031,0.2286,0.2021,0.2203,694021.81
2020-07-05,0.2203,0.2366,0.2025,0.2071,271126.36
2020-07-06,0.2071,0.3756,0.1963,0.2092,978465.25
2020-07-07,0.2092,0.5087,0.1973,0.5087,210974.41
2020-07-08,0.5087,0.5347,0.2087,0.2219,679989.47
2020-07-09,0.2219,0.4947,0.2117,0.2171,319620.64
2020-07-10,0.2171,0.4742,0.2128,0.4742,127097.24
2020-07-11,0.4742,0.5025,0.2141,0.2245,738934.33
2020-07-12,0.2245,0.3633,0.2139,0.2325,731406.84
2020-07-13,0.2325,0.3863,0.2263,0.2319,1216463.03
2020-07-14,0.2319,0.3832,0.2268,0.2306,246021.94
2020-07-15,0.2306,0.535,0.2267,0.2372,941574.27
2020-07-16,0.2372,0.2682,0.2265,0.2361,1446630.1
2020-07-17,0.2361,0.2964,0.2284,0.2344,752844.59
2020-07-18,0.2344,0.3028,0.2313,0.2395,1080311.76
