date,open,high,low,close,volume
2020-06-15,0.07074,0.07177,0.0655,0.07107,161938995.67
2020-06-16,0.07107,0.07211,0.06992,0.07141,95883916.04
2020-06-17,0.07141,0.07413,0.06982,0.07189,141186189.33
2020-06-18,0.07189,0.07217,0.06919,0.07048,62441099.64
2020-06-19,0.07048,0.07091,0.06846,0.0695,43513408.89
2020-06-20,0.0695,0.0702,0.06828,0.06979,32111024.07
2020-06-21,0.06979,0.07018,0.06836,0.06846,17621865.97
2020-06-22,0.06846,0.072,0.0684,0.07191,36374972.74
2020-06-23,0.07191,0.07232,0.07003,0.07093,41196662.29
2020-06-24,0.07093,0.0725,0.06792,0.06897,42762562.03
2020-06-25,0.06897,0.06898,0.0656,0.06747,43149545.75
2020-06-26,0.06747,0.06839,0.06584,0.06687,41796821.69
2020-06-27,0.06687,0.067,0.05986,0.06275,59057448.22
2020-06-28,0.06275,0.06499,0.06163,0.06426,37007419.23
2020-06-29,0.06426,0.06541,0.06294,0.06508,37018291.33
2020-06-30,0.06508,0.06736,0.06402,0.06689,37910484.5
2020-07-01,0.06689,0.07003,0.06606,0.06839,37795286.03
2020-07-02,0.06839,0.07146,0.06593,0.0677,66637724.75
2020-07-03,0.0677,0.06858,0.06651,0.0671,40648024.35
2020-07-04,0.0671,0.06846,0.06653,0.06793,30284675.6
2020-07-05,0.06793,0.06804,0.06506,0.06736,33207704.07
2020-07-06,0.06736,0.07212,0.06652,0.07181,64768940.43
2020-07-07,0.07181,0.07427,0.07019,0.07338,80996467.0
2020-07-08,0.07338,0.08588,0.07246,0.08539,257093506.8
2020-07-09,0.08539,0.09877,0.0833,0.09049,381544379.75
2020-07-10,0.09049,0.09098,0.08251,0.08903,178783202.83
2020-07-11,0.08903,0.1011,0.08874,0.09428,238157586.96
2020-07-12,0.09428,0.09756,0.09008,0.09549,127645348.01
2020-07-13,0.09549,0.09809,0.08724,0.09012,139682466.21
2020-07-14,0.09012,0.09268,0.08539,0.09217,108054425.04
2020-07-15,0.09217,0.09604,0.08745,0.0943,161347969.42
2020-07-16,0.0943,0.1037,0.0886,0.1024,233311146.34
2020-07-17,0.1024,0.1075,0.09876,0.104,269949779.34
2020-07-18,0.104,0.1044,0.09897,0.1008,116008317.71
2020-07-19,0.1008,0.1024,0.09686,0.1001,77172035.3
2020-07-20,0.1001,0.1019,0.09348,0.09444,96141738.25
2020-07-21,0.09444,0.09836,0.09393,0.09669,86298239.81
2020-07-22,0.09669,0.09804,0.09404,0.09768,63731578.36
2020-07-23,0.09768,0.1016,0.09707,0.09825,102128977.79
2020-07-24,0.09825,0.0983,0.09503,0.09582,61532050.53
2020-07-25,0.09582,0.1014,0.09528,0.1008,76766512.11
2020-07-26,0.1008,0.1059,0.09743,0.0991,101720651.68
2020-07-27,0.0991,0.1001,0.08847,0.09486,152901780.92
2020-07-28,0.09486,0.0985,0.0936,0.09734,104839275.63
2020-07-29,0.09734,0.09993,0.09464,0.09511,89311868.6
2020-07-30,0.09511,0.09774,0.09446,0.09647,54758656.85
2020-07-31,0.09647,0.09716,0.09507,0.09701,54570638.16
2020-08-01,0.09701,0.1089,0.09691,0.1077,186096981.87
2020-08-02,0.1077,0.1163,0.09515,0.1026,196442757.03
2020-08-03,0.1026,0.1092,0.1014,0.1052,102035222.13
2020-08-04,0.1052,0.1117,0.1052,0.1101,102975086.19
2020-08-05,0.1101,0.1114,0.1066,0.1076,69681998.9
2020-08-06,0.1076,0.1081,0.1046,0.1063,64701524.83
2020-08-07,0.1063,0.1079,0.09977,0.1031,66902169.47
2020-08-08,0.1031,0.1044,0.1014,0.1033,52528425.09
2020-08-09,0.1033,0.1072,0.1026,0.1052,71746871.99
2020-08-10,0.1052,0.1069,0.1032,0.1063,63895573.66
2020-08-11,0.1063,0.1084,0.09647,0.1001,89608687.42
2020-08-12,0.1001,0.1025,0.0956,0.1015,75314876.79
2020-08-13,0.1015,0.1026,0.0967,0.1012,90425331.74
2020-08-14,0.1012,0.1072,0.1003,0.1051,111869088.29
2020-08-15,0.1051,0.1093,0.1033,0.1071,114583731.09
2020-08-16,0.1071,0.1164,0.1038,0.1154,202584598.17
2020-08-17,0.1154,0.1196,0.1101,0.1139,221309760.81
2020-08-18,0.1139,0.1168,0.106,0.1083,106399036.35
2020-08-19,0.1083,0.1095,0.09875,0.1021,142517386.69
2020-08-20,0.1021,0.1073,0.1004,0.1072,121184609.78
2020-08-21,0.1072,0.1093,0.09904,0.09955,177842411.11
2020-08-22,0.09955,0.1026,0.09708,0.1022,113432678.32
2020-08-23,0.1022,0.1031,0.09852,0.1029,81636810.93
2020-08-24,0.1029,0.1064,0.101,0.103,90957155.44
2020-08-25,0.103,0.1031,0.09518,0.09734,85635462.18
2020-08-26,0.09734,0.1003,0.09615,0.09804,54301669.94
2020-08-27,0.09804,0.09885,0.0905,0.09378,88221801.56
2020-08-28,0.09378,0.0967,0.0926,0.0957,49831927.2
2020-08-29,0.0957,0.09753,0.09451,0.09629,40318974.89
2020-08-30,0.09629,0.09837,0.09622,0.09825,42759784.23
2020-08-31,0.09825,0.09888,0.09514,0.09684,55025415.4
2020-09-01,0.09684,0.1012,0.09572,0.09885,70730925.69
2020-09-02,0.09885,0.09978,0.08989,0.0924,90861070.03
2020-09-03,0.0924,0.09296,0.07748,0.07896,93396172.71
2020-09-04,0.07896,0.08286,0.07554,0.08113,70299342.82
2020-09-05,0.08113,0.08292,0.07279,0.07553,79254446.8
2020-09-06,0.07553,0.07895,0.07253,0.07745,73966640.58
2020-09-07,0.07745,0.07915,0.07394,0.0786,54085346.3
2020-09-08,0.0786,0.07943,0.0752,0.0774,62210552.04
2020-09-09,0.0774,0.07977,0.07558,0.07834,56930012.01
2020-09-10,0.07834,0.08318,0.07821,0.08112,58528764.79
2020-09-11,0.08112,0.08444,0.07919,0.08374,50743281.74
2020-09-12,0.08374,0.08471,0.08231,0.08387,37024003.03
2020-09-13,0.08387,0.08454,0.0792,0.08003,39160201.92
2020-09-14,0.08003,0.08199,0.07882,0.08019,40661172.11
2020-09-15,0.08019,0.08149,0.07759,0.07782,46434130.08
2020-09-16,0.07782,0.08131,0.07532,0.07995,65481874.52
2020-09-17,0.07995,0.08217,0.07812,0.08041,40470849.46
2020-09-18,0.08041,0.08068,0.07722,0.07823,52463687.16
2020-09-19,0.07823,0.07941,0.07712,0.07854,26097134.56
2020-09-20,0.07854,0.07859,0.07538,0.07693,35920524.65
2020-09-21,0.07693,0.07738,0.06929,0.06998,67543116.11
2020-09-22,0.06998,0.07222,0.06956,0.07162,42850877.43
2020-09-23,0.07162,0.07225,0.06705,0.0673,49883904.38
2020-09-24,0.0673,0.07074,0.06677,0.07042,55352065.48
2020-09-25,0.07042,0.07571,0.06915,0.07459,71000312.23
2020-09-26,0.07459,0.07637,0.07264,0.07383,31163165.96
2020-09-27,0.07383,0.07446,0.07137,0.07336,29666551.35
2020-09-28,0.07336,0.07593,0.07265,0.07313,40480366.85
2020-09-29,0.07313,0.07497,0.07211,0.07411,50369824.73
2020-09-30,0.07411,0.07502,0.07212,0.07487,39946274.52
2020-10-01,0.07487,0.07629,0.07146,0.07309,49851070.47
2020-10-02,0.07309,0.07385,0.06896,0.071,72257742.17
2020-10-03,0.071,0.07213,0.07064,0.07108,22150244.04
2020-10-04,0.07108,0.07338,0.07041,0.07291,25373036.55
2020-10-05,0.07291,0.07414,0.0724,0.07337,31550358.35
2020-10-06,0.07337,0.07521,0.07171,0.07233,50013571.42
2020-10-07,0.07233,0.07329,0.07062,0.07233,31234943.21
2020-10-08,0.07233,0.07439,0.07042,0.07313,33646828.18
2020-10-09,0.07313,0.07587,0.0725,0.07507,37874620.39
2020-10-10,0.07507,0.07842,0.07503,0.07732,40351334.78
2020-10-11,0.07732,0.07881,0.07681,0.07715,27624474.5
2020-10-12,0.07715,0.07921,0.07605,0.07764,34759958.15
2020-10-13,0.07764,0.07764,0.07552,0.07646,25292832.58
2020-10-14,0.07646,0.07682,0.07361,0.07412,26790005.75
2020-10-15,0.07412,0.0744,0.07185,0.0741,32936749.35
2020-10-16,0.0741,0.07921,0.07219,0.07921,74694132.49
2020-10-17,0.07921,0.08413,0.07766,0.08165,148867574.98
2020-10-18,0.08165,0.08217,0.0792,0.07952,53000410.05
2020-10-19,0.07952,0.08742,0.07941,0.08523,131127273.92
2020-10-20,0.08523,0.08681,0.08052,0.08091,68290638.94
2020-10-21,0.08091,0.08648,0.08049,0.08389,77382277.07
