date,open,high,low,close,volume
2020-06-15,5.441,5.611,5.317,5.41,6315.66
2020-06-16,5.41,5.587,5.364,5.364,4068.2
2020-06-17,5.364,5.568,5.194,5.395,9456.33
2020-06-18,5.395,5.504,5.214,5.247,12099.82
2020-06-19,5.247,5.832,5.157,5.832,17144.13
2020-06-20,5.832,6.409,5.386,6.308,33915.2
2020-06-21,6.308,7.824,5.924,7.664,37471.04
2020-06-22,7.664,9.245,7.343,8.902,46694.37
2020-06-23,8.902,9.157,7.052,8.024,17721.51
2020-06-24,8.024,7.905,6.643,6.905,19381.95
2020-06-25,6.905,7.9,6.599,7.458,17269.5
2020-06-26,7.458,7.57,6.934,7.164,12467.86
2020-06-27,7.164,7.505,6.624,6.982,18490.81
2020-06-28,6.982,8.28,6.873,7.087,8318.64
2020-06-29,7.087,7.497,6.836,7.394,7598.37
2020-06-30,7.394,7.733,6.767,7.079,8300.36
2020-07-01,7.079,8.699,6.931,8.091,17264.25
2020-07-02,8.091,8.278,7.316,7.542,11591.42
2020-07-03,7.542,7.745,7.214,7.507,12635.34
2020-07-04,7.507,7.759,7.224,7.454,5021.67
2020-07-05,7.454,7.411,7.069,7.069,4634.68
2020-07-06,7.069,7.736,7.253,7.253,9609.17
2020-07-07,7.253,7.647,6.984,7.18,8841.49
2020-07-08,7.18,8.402,7.198,8.192,11621.18
2020-07-09,8.192,8.715,7.577,8.436,13542.05
2020-07-10,8.436,8.406,7.386,7.642,7822.94
2020-07-11,7.642,8.209,7.082,8.151,5537.29
2020-07-12,8.151,8.716,7.846,8.716,17550.2
2020-07-13,8.716,11.44,8.393,10.66,39479.51
2020-07-14,10.66,12.5,9.762,10.58,28557.67
2020-07-15,10.58,11.41,9.441,11.08,13477.55
2020-07-16,11.08,11.38,10.01,11.21,16897.24
2020-07-17,11.21,11.64,10.71,11.62,13921.67
2020-07-18,11.62,16.66,11.57,14.54,19495.93
2020-07-19,14.54,17.72,14.11,16.98,18309.07
2020-07-20,16.98,18.02,14.88,15.41,22193.84
2020-07-21,15.41,17.15,13.03,16.35,12595.4
2020-07-22,16.35,17.57,14.54,14.89,8546.5
2020-07-23,14.89,15.67,13.19,14.61,9874.35
2020-07-24,14.61,15.88,11.18,12.56,14169.77
2020-07-25,12.56,15.89,11.31,11.31,16353.93
2020-07-26,11.31,14.78,11.52,13.08,13855.23
2020-07-27,13.08,14.3,10.96,12.09,7016.41
2020-07-28,12.09,13.76,11.39,11.71,9717.3
2020-07-29,11.71,13.08,10.7,11.08,8807.41
2020-07-30,11.08,12.93,11.22,11.43,5365.71
2020-07-31,11.43,13.02,11.31,12.32,9104.51
2020-08-01,12.32,14.33,12.62,13.65,7895.15
2020-08-02,13.65,15.02,11.83,12.75,6829.05
2020-08-03,12.75,15.3,12.43,13.42,9672.56
2020-08-04,13.42,16.18,12.86,16.18,4927.52
2020-08-05,16.18,17.78,14.5,17.78,8733.33
2020-08-06,17.78,21.07,16.11,19.77,20419.29
2020-08-07,19.77,21.79,18.03,18.09,10354.69
2020-08-08,18.09,27.63,18.94,26.98,23410.16
2020-08-09,26.98,29.66,25.19,27.98,24326.16
2020-08-10,27.98,36.1,26.52,31.67,22396.68
2020-08-11,31.67,33.08,24.22,28.9,9434.74
2020-08-12,28.9,30.01,24.74,29.73,7511.75
2020-08-13,29.73,34.37,29.75,31.34,8206.25
2020-08-14,31.34,55.03,30.7,49.51,20331.84
2020-08-15,49.51,60.14,43.05,44.65,7630.51
2020-08-16,44.65,51.63,42.43,46.6,2234.24
2020-08-17,46.6,54.94,43.56,53.86,6223.87
2020-08-18,53.86,54.49,45.19,47.18,7767.11
2020-08-19,47.18,47.64,41.19,42.62,4288.5
2020-08-20,42.62,49.92,41.6,47.01,5273.98
2020-08-21,47.01,48.03,41.28,43.61,5367.41
2020-08-22,43.61,46.31,41.96,43.86,6307.69
2020-08-23,43.86,44.89,40.99,42.28,3458.1
2020-08-24,42.28,46.8,42.44,43.99,5259.03
2020-08-25,43.99,43.13,39.14,41.67,2678.43
2020-08-26,41.63,49.5,41.45,45.12,5383.49
2020-08-27,45.12,60.63,44.39,53.99,204141.98
2020-08-28,53.99,60.69,50.87,55.91,149854.04
2020-08-29,55.91,79.19,54.76,75.2,205647.3
2020-08-30,75.2,91.61,71.04,72.17,252231.73
2020-08-31,72.17,74.88,64.62,67.91,181093.08
2020-09-01,67.91,74.23,58.12,60.43,220531.75
2020-09-02,60.43,64.68,54.96,59.0,132434.63
2020-09-03,59.0,55.48,41.22,43.08,190401.68
2020-09-04,43.08,49.35,41.89,45.41,69406.76
2020-09-05,45.77,41.7,27.29,31.37,179195.14
2020-09-06,30.58,39.29,26.15,38.4,198354.51
2020-09-07,38.4,44.91,31.17,38.05,268282.75
2020-09-08,38.31,39.41,31.6,33.43,114592.56
2020-09-09,32.81,37.62,31.4,34.53,121523.53
2020-09-10,34.53,39.89,34.92,37.03,134281.58
2020-09-11,37.03,40.01,34.24,38.05,99343.11
2020-09-12,38.05,46.45,36.79,44.75,209794.07
2020-09-13,44.75,44.59,36.46,39.37,108039.69
2020-09-14,39.37,41.92,38.51,39.14,74349.81
2020-09-15,39.8,38.49,32.47,32.76,83058.41
2020-09-16,32.76,34.28,28.58,30.64,96179.17
2020-09-17,30.67,32.94,29.41,30.56,61183.35
2020-09-18,30.56,34.77,29.59,31.42,174231.3
2020-09-19,31.42,31.88,29.01,30.79,102501.24
2020-09-20,30.79,31.73,27.21,27.82,91644.34
2020-09-21,27.82,26.91,20.96,21.72,126518.11
2020-09-22,21.72,22.8,20.09,21.46,104572.31
