date,open,high,low,close,volume
2020-06-15,0.211,0.2144,0.2034,0.206,384829.77
2020-06-16,0.206,0.2211,0.2081,0.2184,407053.25
2020-06-17,0.2184,0.2404,0.2011,0.2137,395787.73
2020-06-18,0.2137,0.2186,0.2107,0.2113,347320.22
2020-06-19,0.2113,0.213,0.2056,0.2125,288657.65
2020-06-20,0.2125,0.2154,0.2108,0.2121,289133.45
2020-06-21,0.2121,0.2131,0.209,0.2111,347645.13
2020-06-22,0.2111,0.2218,0.2103,0.2115,503237.79
2020-06-23,0.2115,0.2136,0.2095,0.2117,101632.84
2020-06-24,0.2117,0.2249,0.2007,0.2053,463382.22
2020-06-25,0.2053,0.2086,0.1994,0.2028,347255.14
2020-06-26,0.2028,0.2165,0.2005,0.2029,486036.55
2020-06-27,0.2029,0.2175,0.1992,0.2139,1208133.13
2020-06-28,0.2139,0.2172,0.2052,0.2054,611060.6
2020-06-29,0.2054,0.2139,0.2065,0.2091,633418.05
2020-06-30,0.2091,0.2193,0.2065,0.2092,183136.61
2020-07-01,0.2092,0.2127,0.2063,0.207,234929.18
2020-07-02,0.207,0.2127,0.2031,0.21,531084.79
2020-07-03,0.21,0.2139,0.207,0.2094,655186.25
2020-07-04,0.2094,0.2122,0.2047,0.205,676874.51
2020-07-05,0.205,0.2103,0.203,0.207,352101.35
2020-07-06,0.207,0.2195,0.2114,0.215,650064.12
2020-07-07,0.215,0.223,0.2119,0.2157,843911.24
2020-07-08,0.2157,0.2213,0.208,0.2108,604524.7
2020-07-09,0.2108,0.215,0.1862,0.2077,735682.03
2020-07-10,0.2077,0.213,0.2083,0.2103,378956.6
2020-07-11,0.2103,0.2129,0.2089,0.2108,287807.46
2020-07-12,0.2108,0.233,0.2112,0.2175,540094.36
2020-07-13,0.2175,0.2359,0.2117,0.2136,506542.98
2020-07-14,0.2136,0.2193,0.2138,0.2178,357085.29
2020-07-15,0.2178,0.2433,0.2153,0.2362,1184925.69
2020-07-16,0.2362,0.2435,0.2222,0.2344,1505448.41
2020-07-17,0.2344,0.2642,0.2317,0.261,1292794.14
2020-07-18,0.261,0.2809,0.2503,0.2728,1991338.36
2020-07-19,0.2728,0.3502,0.2701,0.3418,3212689.22
2020-07-20,0.3418,0.3929,0.335,0.3422,5618249.39
2020-07-21,0.3422,0.3551,0.298,0.3269,2523224.49
2020-07-22,0.3269,0.4353,0.3227,0.3833,4220506.16
2020-07-23,0.3833,0.4221,0.3864,0.4007,6232197.1
2020-07-24,0.4007,0.4226,0.3665,0.3803,6409185.34
2020-07-25,0.3803,0.3995,0.3844,0.3897,5353848.6
2020-07-26,0.3897,0.4461,0.3764,0.4232,7138627.37
2020-07-27,0.4232,0.4828,0.395,0.4073,3991581.86
2020-07-28,0.4073,0.4032,0.3627,0.3785,1605263.21
2020-07-29,0.3785,0.4019,0.3301,0.3493,3736127.62
2020-07-30,0.3493,0.3665,0.3036,0.3389,5575653.8
2020-07-31,0.3389,0.3461,0.2977,0.3069,5126825.33
2020-08-01,0.3069,0.3248,0.2829,0.2834,4496682.69
2020-08-02,0.2834,0.328,0.2597,0.328,7197989.8
2020-08-03,0.328,0.3555,0.3168,0.3278,7152085.98
2020-08-04,0.3278,0.3408,0.3133,0.3263,4195689.13
2020-08-05,0.3263,0.3692,0.3368,0.341,9271715.86
2020-08-06,0.341,0.359,0.3377,0.347,6571121.93
2020-08-07,0.347,0.3481,0.3344,0.3356,5202880.98
2020-08-08,0.3356,0.4116,0.3404,0.3643,7230108.28
2020-08-09,0.3643,0.4592,0.358,0.4373,9040258.34
2020-08-10,0.4373,0.6037,0.4052,0.572,13151095.71
2020-08-11,0.572,0.5673,0.4893,0.521,9325751.82
2020-08-12,0.521,0.5895,0.5274,0.561,6701154.83
2020-08-13,0.561,0.5808,0.52,0.5206,6300573.47
2020-08-14,0.5206,0.5344,0.5054,0.5215,4659819.23
2020-08-15,0.5215,0.5253,0.5092,0.5145,2578796.74
2020-08-16,0.5145,0.6146,0.5147,0.606,6078461.5
2020-08-17,0.606,0.6255,0.5543,0.5714,4454050.33
2020-08-18,0.5714,0.5651,0.5255,0.563,5172370.45
2020-08-19,0.563,0.648,0.4935,0.5072,24891243.33
2020-08-20,0.5072,0.5439,0.511,0.5153,8559156.51
2020-08-21,0.5153,0.5035,0.4196,0.4316,16161913.8
2020-08-22,0.4316,0.4988,0.4235,0.4693,7667874.46
2020-08-23,0.4693,0.4958,0.4553,0.4837,6153806.12
2020-08-24,0.4837,0.5307,0.4867,0.53,6018876.28
2020-08-25,0.53,0.5126,0.4525,0.4622,6417300.66
2020-08-26,0.4622,0.4978,0.4657,0.4978,4278104.9
2020-08-27,0.4978,0.5164,0.4756,0.505,5600215.53
2020-08-28,0.505,0.5702,0.5112,0.5664,8431897.5
2020-08-29,0.5664,0.5662,0.514,0.539,5498251.82
2020-08-30,0.539,0.5683,0.5206,0.5337,4799127.2
2020-08-31,0.5337,0.5325,0.5092,0.5103,4340283.85
2020-09-01,0.5103,0.5242,0.4742,0.4811,6888591.68
2020-09-02,0.4811,0.4622,0.4298,0.4434,4937969.43
2020-09-03,0.4434,0.4048,0.376,0.3776,6467063.74
2020-09-04,0.3776,0.389,0.363,0.3692,3487485.99
2020-09-05,0.3692,0.3658,0.3249,0.3264,5915250.95
2020-09-06,0.3264,0.3358,0.3142,0.3326,6091134.14
2020-09-07,0.3326,0.3438,0.3206,0.3257,4873233.9
2020-09-08,0.3257,0.3297,0.3123,0.3168,3668217.95
2020-09-09,0.3168,0.3279,0.3115,0.3165,2726190.77
2020-09-10,0.3165,0.3837,0.3195,0.3488,7804786.85
2020-09-11,0.3488,0.361,0.3198,0.3386,4725363.92
2020-09-12,0.3386,0.3422,0.3238,0.3295,4209703.82
2020-09-13,0.3295,0.3403,0.303,0.3091,5001823.28
2020-09-14,0.3091,0.3329,0.3158,0.3203,2193564.93
2020-09-15,0.3203,0.354,0.3038,0.3349,10555375.01
2020-09-16,0.3349,0.3674,0.3181,0.3208,9618976.53
2020-09-17,0.3208,0.3304,0.3113,0.3124,3636164.77
2020-09-18,0.3124,0.3292,0.3102,0.3203,3825576.66
2020-09-19,0.3203,0.3267,0.3103,0.3179,3554592.23
2020-09-20,0.3179,0.3231,0.3068,0.3099,3495243.78
2020-09-21,0.3099,0.2995,0.2868,0.2885,2384059.25
2020-09-22,0.2885,0.3043,0.2917,0.3009,2681431.28
2020-09-23,0.3009,0.2961,0.2878,0.2908,1278970.99
2020-09-24,0.2908,0.3067,0.2943,0.3036,2107233.28
2020-09-25,0.3036,0.3405,0.2909,0.3244,5579501.02
2020-09-26,0.3244,0.3257,0.3106,0.3155,2586307.8
2020-09-27,0.3155,0.3187,0.3122,0.3134,1242551.64
2020-09-28,0.3134,0.342,0.3088,0.3227,3455806.39
2020-09-29,0.3227,0.3604,0.3259,0.3336,7915647.32
2020-09-30,0.3336,0.3439,0.329,0.3347,2017897.59
2020-10-01,0.3347,0.3321,0.3146,0.3178,1847881.1
2020-10-02,0.3178,0.3382,0.293,0.329,4340824.2
2020-10-03,0.329,0.3319,0.3083,0.3103,2469886.95
2020-10-04,0.3103,0.3144,0.3004,0.3018,1247688.43
2020-10-05,0.3018,0.327,0.3005,0.3107,2483879.15
2020-10-06,0.3107,0.3144,0.2918,0.2939,1714822.25
2020-10-07,0.2939,0.3039,0.2902,0.3033,1720204.5
2020-10-08,0.3033,0.3118,0.2999,0.3017,1462217.99
2020-10-09,0.3017,0.3175,0.3037,0.3171,1906736.53
2020-10-10,0.3171,0.3244,0.3012,0.3083,2218873.24
2020-10-11,0.3083,0.3249,0.3027,0.3211,2064409.97
2020-10-12,0.3211,0.3289,0.3173,0.3265,2329678.16
2020-10-13,0.3265,0.3256,0.3128,0.3169,2727904.81
2020-10-14,0.3169,0.3356,0.3159,0.3201,3495896.87
2020-10-15,0.3201,0.3296,0.319,0.323,1466899.53
2020-10-16,0.323,0.3195,0.3066,0.317,1521622.49
2020-10-17,0.317,0.3183,0.3111,0.3157,925288.64
2020-10-18,0.3157,0.3212,0.3114,0.3129,475680.57
2020-10-19,0.3129,0.3322,0.3174,0.3196,1815651.43
2020-10-20,0.3196,0.3253,0.3073,0.3094,3455896.35
2020-10-21,0.3094,0.3333,0.3088,0.3124,2150794.17
2020-10-22,0.3124,0.3203,0.311,0.3155,2044525.49
2020-10-23,0.3155,0.3289,0.3111,0.3164,2481631.42
2020-10-24,0.3164,0.3225,0.3098,0.3121,1296922.89
2020-10-25,0.3121,0.3148,0.3049,0.3086,854644.18
2020-10-26,0.3086,0.3168,0.3023,0.3044,1275283.71
2020-10-27,0.3044,0.3255,0.308,0.3099,1410300.26
2020-10-28,0.3099,0.3262,0.2931,0.3086,1235904.26
2020-10-29,0.3086,0.3192,0.2997,0.3021,928213.61
2020-10-30,0.3021,0.3155,0.3014,0.3043,1372559.93
2020-10-31,0.3043,0.312,0.302,0.3037,926676.65
2020-11-01,0.3037,0.3045,0.2985,0.3003,446277.1
2020-11-02,0.3003,0.3011,0.2851,0.2866,1328711.04
2020-11-03,0.2866,0.2965,0.2876,0.2911,1136943.04
2020-11-04,0.2911,0.296,0.2833,0.2851,974093.07
2020-11-05,0.2851,0.3156,0.2903,0.2952,814306.74
2020-11-06,0.2952,0.3099,0.2895,0.3065,799076.48
2020-11-07,0.3065,0.3012,0.2892,0.2919,905235.19
2020-11-08,0.2919,0.3119,0.3019,0.3037,754864.91
2020-11-09,0.3037,0.3064,0.295,0.298,926753.16
2020-11-10,0.298,0.3124,0.2934,0.3092,1450222.76
2020-11-11,0.3092,0.3432,0.3162,0.3211,4126110.43
2020-11-12,0.3211,0.3348,0.3163,0.3177,3136295.16
2020-11-13,0.3177,0.3304,0.3156,0.3198,1944142.5
2020-11-14,0.3198,0.318,0.3045,0.3056,1739386.73
2020-11-15,0.3056,0.3118,0.2958,0.3084,2643527.09
2020-11-16,0.3084,0.3256,0.304,0.3129,3670135.0
2020-11-17,0.3129,0.3474,0.3085,0.3124,2309412.21
2020-11-18,0.3124,0.3191,0.3024,0.3161,2725879.6
2020-11-19,0.3161,0.3287,0.3159,0.3239,2919747.18
2020-11-20,0.3239,0.3619,0.3363,0.3438,3920141.27
2020-11-21,0.3438,0.3526,0.3385,0.3475,2783784.31
2020-11-22,0.3475,0.3793,0.3345,0.3487,5828530.07
2020-11-23,0.3487,0.4004,0.3447,0.3793,9508793.13
2020-11-24,0.3793,0.4255,0.3864,0.4123,10035519.7
2020-11-25,0.4123,0.4243,0.3858,0.4065,6508590.74
2020-11-26,0.4065,0.3741,0.349,0.3495,10002570.17
2020-11-27,0.3495,0.4019,0.3477,0.3841,6728603.01
2020-11-28,0.3841,0.4002,0.385,0.3857,2114883.63
2020-11-29,0.3857,0.3975,0.3749,0.3813,1937244.67
2020-11-30,0.3813,0.4485,0.3985,0.3998,9280382.26
2020-12-01,0.3998,0.4166,0.3787,0.3888,6806274.62
2020-12-02,0.3888,0.4109,0.3895,0.4089,4569186.96
2020-12-03,0.4089,0.5029,0.4131,0.5029,16788077.61
2020-12-04,0.5029,0.4918,0.4461,0.4502,14829799.9
2020-12-05,0.4502,0.5109,0.4546,0.5098,7683240.96
