date,open,high,low,close,volume
2020-06-15,2.588,2.684,2.431,2.628,3624216.94
2020-06-16,2.628,2.674,2.565,2.618,1863922.55
2020-06-17,2.618,2.693,2.551,2.677,1825791.04
2020-06-18,2.677,2.782,2.56,2.659,4801857.26
2020-06-19,2.659,2.716,2.609,2.62,2204701.83
2020-06-20,2.62,2.657,2.534,2.614,1894875.33
2020-06-21,2.614,2.625,2.575,2.586,768736.42
2020-06-22,2.586,2.707,2.574,2.68,1762487.62
2020-06-23,2.68,2.792,2.636,2.781,3081808.29
2020-06-24,2.781,2.857,2.581,2.621,4755672.99
2020-06-25,2.621,2.646,2.523,2.572,3249379.06
2020-06-26,2.572,2.579,2.441,2.481,3940522.24
2020-06-27,2.481,2.493,2.267,2.315,3921064.35
2020-06-28,2.315,2.43,2.286,2.373,2232228.31
2020-06-29,2.373,2.445,2.347,2.411,1732297.43
2020-06-30,2.411,2.416,2.354,2.358,1378258.97
2020-07-01,2.358,2.455,2.335,2.4,1932584.12
2020-07-02,2.4,2.406,2.281,2.334,2694365.38
2020-07-03,2.334,2.346,2.264,2.273,3463396.03
2020-07-04,2.273,2.355,2.268,2.326,2053013.83
2020-07-05,2.326,2.332,2.219,2.29,2351529.93
2020-07-06,2.29,2.477,2.268,2.439,3802181.26
2020-07-07,2.439,2.592,2.403,2.509,5901413.47
2020-07-08,2.509,2.695,2.483,2.655,5382729.72
2020-07-09,2.655,2.655,2.463,2.532,4594736.0
2020-07-10,2.532,2.591,2.418,2.542,2589135.24
2020-07-11,2.542,2.732,2.513,2.686,4887343.49
2020-07-12,2.686,2.838,2.582,2.819,6078434.58
2020-07-13,2.819,3.162,2.741,2.906,18794447.3
2020-07-14,2.906,3.055,2.667,2.963,10175935.45
2020-07-15,2.963,3.229,2.86,3.225,13739355.86
2020-07-16,3.225,3.331,2.958,3.097,16557634.83
2020-07-17,3.097,3.227,3.006,3.171,6320489.81
2020-07-18,3.171,3.171,2.934,3.011,7402218.31
2020-07-19,3.011,3.057,2.891,2.987,4462530.96
2020-07-20,2.987,2.991,2.744,2.77,5851397.64
2020-07-21,2.77,3.077,2.748,3.025,6034597.41
2020-07-22,3.025,3.138,2.923,3.11,3949647.16
2020-07-23,3.11,3.235,3.042,3.189,6704508.14
2020-07-24,3.189,3.198,3.008,3.035,4231434.79
2020-07-25,3.035,3.118,3.023,3.063,3605823.09
2020-07-26,3.063,3.114,2.966,2.99,4715740.51
2020-07-27,2.99,2.99,2.657,2.827,10550361.2
2020-07-28,2.827,2.898,2.728,2.84,5381109.83
2020-07-29,2.84,2.95,2.756,2.784,3579731.23
2020-07-30,2.784,2.854,2.74,2.81,3011843.22
2020-07-31,2.81,2.9,2.788,2.845,2986226.78
2020-08-01,2.845,3.078,2.827,3.044,5615355.49
2020-08-02,3.044,3.14,2.693,2.889,8054310.21
2020-08-03,2.889,3.089,2.842,3.075,6154641.35
2020-08-04,3.075,3.312,3.074,3.247,10021483.72
2020-08-05,3.247,3.262,3.083,3.115,4559994.81
2020-08-06,3.115,3.39,3.104,3.229,6795685.14
2020-08-07,3.229,3.288,2.973,3.083,5441365.05
2020-08-08,3.083,3.485,3.031,3.383,7868365.3
2020-08-09,3.383,3.78,3.276,3.698,11163552.6
2020-08-10,3.698,4.326,3.543,4.252,14888327.75
2020-08-11,4.252,4.429,3.764,4.011,14849724.4
2020-08-12,4.011,4.467,3.634,4.364,14509935.53
2020-08-13,4.364,4.49,3.949,4.144,10784271.94
2020-08-14,4.144,4.24,4.014,4.116,7162217.2
2020-08-15,4.116,4.312,3.91,4.072,9238733.66
2020-08-16,4.072,4.388,4.011,4.243,8557166.56
2020-08-17,4.243,4.255,4.021,4.039,5427572.96
2020-08-18,4.039,4.169,3.74,3.841,6615830.4
2020-08-19,3.841,3.931,3.493,3.635,7082185.04
2020-08-20,3.635,3.94,3.507,3.859,7425415.5
2020-08-21,3.859,3.916,3.335,3.39,10159136.49
2020-08-22,3.39,3.619,3.271,3.579,6001628.42
2020-08-23,3.579,3.623,3.365,3.517,3820635.25
2020-08-24,3.517,3.808,3.446,3.68,5813578.68
2020-08-25,3.68,3.706,3.297,3.437,5013487.11
2020-08-26,3.437,3.51,3.302,3.37,3737818.24
2020-08-27,3.37,3.418,3.108,3.224,6508584.64
2020-08-28,3.224,3.314,3.139,3.264,3032534.93
2020-08-29,3.264,3.437,3.217,3.354,2730636.56
2020-08-30,3.354,3.434,3.331,3.388,2603931.53
2020-08-31,3.388,3.468,3.244,3.246,3621802.07
2020-09-01,3.246,3.521,3.193,3.445,4853727.72
2020-09-02,3.445,3.471,2.979,3.142,4828452.97
2020-09-03,3.142,3.143,2.472,2.574,8093479.0
2020-09-04,2.574,2.854,2.443,2.747,5473792.87
2020-09-05,2.747,2.83,2.319,2.484,6557164.72
2020-09-06,2.484,2.63,2.342,2.551,4347653.2
2020-09-07,2.551,2.59,2.362,2.561,3725757.04
2020-09-08,2.561,2.647,2.401,2.502,4423201.18
2020-09-09,2.502,2.6,2.413,2.53,2828376.32
2020-09-10,2.53,2.662,2.53,2.575,2588183.81
2020-09-11,2.575,2.627,2.471,2.574,2030037.65
2020-09-12,2.574,2.638,2.493,2.6,2071524.35
2020-09-13,2.6,2.741,2.531,2.625,3014470.49
2020-09-14,2.625,2.7,2.54,2.614,2191779.06
2020-09-15,2.614,2.677,2.502,2.502,2677828.0
2020-09-16,2.502,2.537,2.416,2.472,2863519.37
2020-09-17,2.472,2.562,2.442,2.471,2319605.7
2020-09-18,2.471,2.516,2.325,2.39,4589756.04
2020-09-19,2.39,2.391,2.264,2.319,3589134.3
2020-09-20,2.319,2.389,2.162,2.22,3924100.2
2020-09-21,2.22,2.266,1.927,1.976,6111089.97
2020-09-22,1.976,2.193,1.966,2.11,5556764.99
2020-09-23,2.11,2.15,1.918,1.954,5370906.25
2020-09-24,1.954,2.18,1.936,2.155,3854122.03
2020-09-25,2.155,2.279,2.101,2.21,3191229.83
2020-09-26,2.21,2.243,2.142,2.17,2190553.47
2020-09-27,2.17,2.225,2.101,2.177,1903517.8
2020-09-28,2.177,2.366,2.177,2.247,3132035.28
2020-09-29,2.247,2.28,2.135,2.228,2437528.9
2020-09-30,2.228,2.237,2.138,2.198,2054605.12
2020-10-01,2.198,2.3,2.132,2.193,2692453.2
2020-10-02,2.193,2.209,2.021,2.089,3687962.95
2020-10-03,2.089,2.145,2.072,2.113,1392019.64
2020-10-04,2.113,2.151,2.088,2.115,1543998.47
2020-10-05,2.115,2.167,2.08,2.144,1522864.06
2020-10-06,2.144,2.245,2.04,2.064,3936475.3
2020-10-07,2.064,2.127,2.035,2.067,3726358.69
2020-10-08,2.067,2.15,2.01,2.114,3406562.61
2020-10-09,2.114,2.238,2.077,2.197,3457252.39
2020-10-10,2.197,2.284,2.193,2.211,3076580.19
2020-10-11,2.211,2.314,2.19,2.252,2972067.87
2020-10-12,2.252,2.388,2.232,2.345,3046894.29
2020-10-13,2.345,2.456,2.32,2.403,2954720.42
2020-10-14,2.403,2.423,2.237,2.279,2582071.91
2020-10-15,2.279,2.306,2.212,2.241,1998586.69
2020-10-16,2.241,2.277,2.156,2.167,1947449.39
2020-10-17,2.167,2.222,2.152,2.189,927816.51
2020-10-18,2.189,2.242,2.184,2.229,823028.55
2020-10-19,2.229,2.248,2.179,2.19,1683626.97
2020-10-20,2.19,2.192,2.043,2.056,2921693.01
2020-10-21,2.056,2.179,2.044,2.133,2829999.35
2020-10-22,2.133,2.245,2.126,2.193,2361283.05
2020-10-23,2.193,2.267,2.165,2.219,2067991.49
2020-10-24,2.219,2.242,2.195,2.222,1296217.49
2020-10-25,2.222,2.249,2.158,2.167,1476247.8
2020-10-26,2.167,2.183,2.06,2.092,1845426.36
