date,open,high,low,close,volume
2020-06-15,0.2314,0.2411,0.2189,0.2361,954337.15
2020-06-16,0.2361,0.2408,0.2285,0.2354,661121.08
2020-06-17,0.2354,0.2366,0.2304,0.2352,710770.15
2020-06-18,0.2352,0.2326,0.2198,0.223,884189.18
2020-06-19,0.223,0.2326,0.2204,0.2238,520222.55
2020-06-20,0.2238,0.2261,0.2185,0.2223,463273.56
2020-06-21,0.2223,0.2239,0.2194,0.2217,394649.09
2020-06-22,0.2217,0.2489,0.2304,0.2433,1254645.79
2020-06-23,0.2433,0.258,0.24,0.2577,993071.57
2020-06-24,0.2577,0.2526,0.2374,0.2458,816717.8
2020-06-25,0.2458,0.2437,0.2317,0.237,424303.48
2020-06-26,0.237,0.234,0.2261,0.232,442461.38
2020-06-27,0.232,0.2243,0.2007,0.2105,718102.99
2020-06-28,0.2105,0.2243,0.2135,0.2242,746100.3
2020-06-29,0.2242,0.2304,0.2233,0.2262,677147.66
2020-06-30,0.2262,0.2263,0.2191,0.2223,363988.93
2020-07-01,0.2223,0.2282,0.2207,0.2223,279865.52
2020-07-02,0.2223,0.2222,0.2171,0.2205,365367.75
2020-07-03,0.2205,0.2192,0.2142,0.2169,305987.07
2020-07-04,0.2169,0.2242,0.2175,0.2228,429978.96
2020-07-05,0.2228,0.2217,0.2161,0.2169,312634.57
2020-07-06,0.2169,0.2363,0.2249,0.2307,509373.13
2020-07-07,0.2307,0.258,0.2275,0.258,863494.48
2020-07-08,0.258,0.2711,0.2474,0.2516,994893.43
2020-07-09,0.2516,0.2469,0.237,0.2409,684356.78
2020-07-10,0.2409,0.2446,0.2347,0.2434,414423.71
2020-07-11,0.2434,0.2567,0.2412,0.2543,1057298.04
2020-07-12,0.2543,0.2861,0.2581,0.2805,1695107.39
2020-07-13,0.2805,0.2781,0.2252,0.2458,1309620.53
2020-07-14,0.2458,0.2549,0.2366,0.2412,1135460.65
2020-07-15,0.2412,0.2401,0.2301,0.2374,1108764.12
2020-07-16,0.2374,0.2395,0.2133,0.235,862768.49
2020-07-17,0.235,0.2453,0.2302,0.2414,529714.6
2020-07-18,0.2414,0.2526,0.2406,0.2495,469647.07
2020-07-19,0.2495,0.2543,0.1717,0.2416,938539.65
2020-07-20,0.2416,0.2404,0.2325,0.2359,690238.94
2020-07-21,0.2359,0.2469,0.2371,0.2406,314714.8
2020-07-22,0.2406,0.276,0.2518,0.2566,605650.74
2020-07-23,0.2566,0.2765,0.255,0.2603,878354.14
2020-07-24,0.2603,0.2641,0.2464,0.2516,567088.33
2020-07-25,0.2516,0.2838,0.2586,0.2602,393340.19
2020-07-26,0.2602,0.2685,0.2462,0.2524,621692.86
2020-07-27,0.2524,0.2613,0.2295,0.243,1651039.61
2020-07-28,0.243,0.2517,0.2349,0.2513,398157.45
2020-07-29,0.2513,0.262,0.2443,0.2498,380409.06
2020-07-30,0.2498,0.2708,0.2532,0.2585,591478.1
2020-07-31,0.2585,0.2736,0.2523,0.2703,1149185.67
2020-08-01,0.2703,0.3331,0.2894,0.3166,2406453.56
2020-08-02,0.3166,0.3054,0.2568,0.2805,1317925.91
2020-08-03,0.2805,0.2986,0.2822,0.288,644257.51
2020-08-04,0.288,0.34,0.2841,0.3326,2598916.72
2020-08-05,0.3326,0.3494,0.3082,0.3145,1315614.21
2020-08-06,0.3145,0.321,0.3063,0.3182,880476.78
2020-08-07,0.3182,0.3117,0.2998,0.3084,502599.09
2020-08-08,0.3084,0.3409,0.3141,0.3311,660429.2
2020-08-09,0.3311,0.3313,0.3125,0.3214,767670.77
2020-08-10,0.3214,0.3936,0.3158,0.3724,2519759.16
2020-08-11,0.3724,0.3793,0.3344,0.3545,1485975.82
2020-08-12,0.3545,0.4042,0.3458,0.4038,1323682.84
2020-08-13,0.4038,0.4573,0.3838,0.3971,1630119.46
2020-08-14,0.3971,0.4302,0.3886,0.4018,1356190.26
2020-08-15,0.4018,0.3978,0.3797,0.3838,677093.83
2020-08-16,0.3838,0.3999,0.3816,0.3979,825230.62
2020-08-17,0.3979,0.424,0.3733,0.3872,951036.65
2020-08-18,0.3872,0.4443,0.3755,0.4363,1330867.62
2020-08-19,0.4363,0.4437,0.3991,0.4045,1196245.93
2020-08-20,0.4045,0.4576,0.4087,0.4568,930777.75
2020-08-21,0.4568,0.4532,0.4004,0.4233,1663275.98
2020-08-22,0.4233,0.4568,0.4176,0.4512,903914.09
2020-08-23,0.4512,0.49,0.4423,0.4864,1054621.51
2020-08-24,0.4864,0.5953,0.4958,0.5541,2979501.63
2020-08-25,0.5541,0.5225,0.4792,0.5068,1621560.57
2020-08-26,0.5068,0.5516,0.4902,0.4968,1380928.42
2020-08-27,0.4968,0.4935,0.4361,0.451,1003572.79
2020-08-28,0.451,0.4905,0.4505,0.4754,790882.23
2020-08-29,0.4754,0.5156,0.4718,0.5061,513070.05
2020-08-30,0.5061,0.5766,0.4981,0.4985,734834.06
2020-08-31,0.4985,0.5253,0.4745,0.4766,635415.85
2020-09-01,0.4766,0.532,0.4748,0.4868,966713.49
2020-09-02,0.4868,0.4847,0.4499,0.475,802975.34
2020-09-03,0.475,0.4268,0.3939,0.4031,1049676.53
2020-09-04,0.4031,0.4249,0.3816,0.4249,492902.96
2020-09-05,0.4249,0.413,0.3674,0.3932,979071.02
2020-09-06,0.3932,0.4282,0.407,0.4282,517827.32
2020-09-07,0.4282,0.4301,0.4089,0.416,464433.95
2020-09-08,0.416,0.4191,0.3928,0.3979,548216.51
2020-09-09,0.3979,0.4867,0.414,0.4776,1014267.93
2020-09-10,0.4776,0.5168,0.4752,0.4888,1106985.57
2020-09-11,0.4888,0.5079,0.4761,0.5008,570287.5
2020-09-12,0.5008,0.5679,0.5186,0.5489,960689.94
2020-09-13,0.5489,0.5447,0.4905,0.5436,677790.05
2020-09-14,0.5436,0.5813,0.5266,0.5289,917020.48
2020-09-15,0.5289,0.5452,0.504,0.5357,571380.84
2020-09-16,0.5357,0.5423,0.497,0.5259,675718.09
2020-09-17,0.5259,0.5632,0.5211,0.5597,661554.79
2020-09-18,0.5597,0.5955,0.5462,0.5755,960249.29
2020-09-19,0.5755,0.6181,0.5619,0.5796,947622.5
2020-09-20,0.5796,0.5766,0.5451,0.5573,670973.47
2020-09-21,0.5573,0.5742,0.5031,0.5712,788428.05
2020-09-22,0.5712,0.5794,0.5425,0.5766,720936.35
2020-09-23,0.5766,0.568,0.5193,0.5546,861296.82
2020-09-24,0.5546,0.669,0.5908,0.6404,836550.53
2020-09-25,0.6404,0.7153,0.6291,0.6674,1422709.45
2020-09-26,0.6674,0.7332,0.662,0.6974,981725.93
2020-09-27,0.6974,0.7586,0.6771,0.7504,1447955.23
2020-09-28,0.7504,0.7484,0.6861,0.7169,1017143.27
2020-09-29,0.7169,0.7868,0.722,0.7803,959456.24
2020-09-30,0.7803,0.8086,0.7172,0.7481,1589282.79
2020-10-01,0.7481,0.7425,0.673,0.7284,953355.9
2020-10-02,0.7284,0.7238,0.6737,0.6993,677429.66
2020-10-03,0.6993,0.7685,0.6871,0.7543,628278.41
2020-10-04,0.7543,0.8076,0.7403,0.7716,684611.9
2020-10-05,0.7716,0.7777,0.742,0.7466,410868.06
2020-10-06,0.7466,0.7202,0.6739,0.6882,568117.22
2020-10-07,0.6882,0.7495,0.6722,0.7409,668133.38
2020-10-08,0.7409,0.7614,0.7073,0.7214,572184.34
2020-10-09,0.7214,0.7546,0.714,0.718,409280.87
2020-10-10,0.718,0.774,0.7147,0.7655,505684.17
2020-10-11,0.7655,0.778,0.7271,0.7443,334169.93
2020-10-12,0.7443,0.7777,0.7231,0.7344,595962.94
2020-10-13,0.7344,0.7632,0.7193,0.756,415510.43
2020-10-14,0.756,0.7532,0.7236,0.7361,257116.82
2020-10-15,0.7361,0.7462,0.6797,0.691,610412.37
2020-10-16,0.691,0.6972,0.6548,0.6624,414453.34
2020-10-17,0.6624,0.6678,0.6166,0.6254,598745.5
2020-10-18,0.6254,0.6759,0.635,0.6706,363053.31
2020-10-19,0.6706,0.6757,0.6287,0.6325,516823.09
2020-10-20,0.6325,0.6215,0.5754,0.5986,627533.46
2020-10-21,0.5986,0.6565,0.6146,0.6408,574954.88
2020-10-22,0.6408,0.6964,0.6462,0.6557,551910.62
2020-10-23,0.6557,0.6598,0.6217,0.6455,433880.66
2020-10-24,0.6455,0.7355,0.6361,0.7236,595296.56
2020-10-25,0.7236,0.72,0.6858,0.696,314844.11
2020-10-26,0.696,0.6887,0.653,0.6545,251974.55
2020-10-27,0.6545,0.6856,0.6403,0.6593,221533.53
2020-10-28,0.6593,0.6376,0.6143,0.6259,193409.28
2020-10-29,0.6259,0.6294,0.5879,0.596,259186.8
2020-10-30,0.596,0.6296,0.5803,0.6117,473605.6
2020-10-31,0.6117,0.6184,0.5917,0.6111,338346.84
2020-11-01,0.6111,0.6316,0.5963,0.6126,351036.85
2020-11-02,0.6126,0.6245,0.5827,0.5892,513594.71
2020-11-03,0.5892,0.6129,0.576,0.5846,183155.84
2020-11-04,0.5846,0.6543,0.5754,0.5943,142238.67
2020-11-05,0.5943,0.6362,0.5916,0.6299,182313.82
2020-11-06,0.6299,0.7059,0.6717,0.6763,166267.98
2020-11-07,0.6763,0.6751,0.6254,0.6407,197698.94
2020-11-08,0.6407,0.6826,0.658,0.6648,191241.25
2020-11-09,0.6648,0.6569,0.6147,0.6418,144692.67
2020-11-10,0.6418,0.6583,0.6326,0.642,209770.15
2020-11-11,0.642,0.6625,0.6091,0.6133,365475.17
2020-11-12,0.6133,0.6303,0.5914,0.603,486835.67
2020-11-13,0.603,0.6371,0.6085,0.6309,313878.33
2020-11-14,0.6309,0.621,0.603,0.6122,262683.87
2020-11-15,0.6122,0.6091,0.588,0.6041,300018.21
2020-11-16,0.6041,0.6398,0.6117,0.62,379915.29
2020-11-17,0.62,0.6715,0.6251,0.6555,387900.01
2020-11-18,0.6555,0.6688,0.6205,0.6243,392159.22
2020-11-19,0.6243,0.6451,0.6125,0.6234,337077.31
2020-11-20,0.6234,0.6886,0.6309,0.6426,702787.06
2020-11-21,0.6426,0.7328,0.6826,0.7041,718279.23
2020-11-22,0.7041,0.7191,0.639,0.6513,512118.55
2020-11-23,0.6513,0.7194,0.6573,0.6664,699007.58
2020-11-24,0.6664,0.7297,0.6613,0.6922,757727.95
2020-11-25,0.6922,0.7197,0.6497,0.693,809403.34
2020-11-26,0.693,0.6503,0.6035,0.6217,410378.2
2020-11-27,0.6217,0.6288,0.5977,0.607,241641.35
2020-11-28,0.607,0.6397,0.6144,0.6257,297340.67
2020-11-29,0.6257,0.6699,0.618,0.6192,454851.03
2020-11-30,0.6192,0.6624,0.6285,0.6439,625397.76
2020-12-01,0.6439,0.6337,0.5868,0.6144,685910.92
2020-12-02,0.6144,0.6581,0.6198,0.6324,496327.28
2020-12-03,0.6324,0.669,0.6406,0.6646,497104.37
2020-12-04,0.6646,0.6852,0.6097,0.6681,1188202.52
2020-12-05,0.6681,0.7422,0.6998,0.7392,730699.34
2020-12-06,0.7392,0.7461,0.6931,0.7015,531737.89
2020-12-07,0.7015,0.6956,0.6678,0.6832,435381.85
2020-12-08,0.6832,0.7612,0.6397,0.749,2037896.36
2020-12-09,0.749,0.8292,0.7105,0.7254,2403768.59
2020-12-10,0.7254,0.7454,0.6812,0.6862,696346.6
2020-12-11,0.6862,0.6851,0.6459,0.6829,460006.98
2020-12-12,0.6829,0.7331,0.6933,0.695,542081.18
2020-12-13,0.695,0.7431,0.703,0.7313,410506.57
2020-12-14,0.7313,0.7763,0.7224,0.754,632721.03
2020-12-15,0.754,0.7771,0.7412,0.7659,456714.2
2020-12-16,0.7659,0.9011,0.8118,0.8565,793349.56
2020-12-17,0.8565,0.9094,0.8097,0.8162,791702.44
2020-12-18,0.8162,0.9295,0.8202,0.9098,1208363.87
2020-12-19,0.9098,0.9584,0.8952,0.9018,620359.43
2020-12-20,0.9018,0.9292,0.8666,0.9132,395046.06
2020-12-21,0.9132,0.938,0.8614,0.9295,473403.75
2020-12-22,0.9295,1.143,0.9692,1.085,1645580.13
2020-12-23,1.085,1.137,0.9949,1.073,1257426.19
2020-12-24,1.073,1.225,1.06,1.187,706612.99
2020-12-25,1.187,1.348,1.198,1.286,965781.37
2020-12-26,1.286,1.713,1.278,1.667,1966056.95
2020-12-27,1.667,1.837,1.312,1.354,2429309.06
2020-12-28,1.354,1.59,1.389,1.558,1325544.95
2020-12-29,1.558,1.613,1.399,1.438,1074896.82
