date,open,high,low,close,volume
2020-06-15,1.252,1.257,1.237,1.247,16149.15
2020-06-16,1.247,1.278,1.253,1.261,17308.38
2020-06-17,1.261,1.333,1.246,1.321,36852.6
2020-06-18,1.321,1.353,1.307,1.353,17609.37
2020-06-19,1.353,1.347,1.203,1.316,136932.2
2020-06-20,1.316,1.357,1.317,1.355,31225.52
2020-06-21,1.355,1.435,1.337,1.433,49232.66
2020-06-22,1.433,1.777,1.526,1.777,196389.84
2020-06-23,1.777,1.91,1.745,1.903,103300.9
2020-06-24,1.903,2.112,1.836,2.112,92634.54
2020-06-25,2.112,2.235,2.087,2.206,72817.8
2020-06-26,2.206,2.347,2.173,2.297,88419.94
2020-06-27,2.297,2.371,2.196,2.23,83026.52
2020-06-28,2.23,2.284,1.711,1.941,241072.46
2020-06-29,1.941,1.969,1.832,1.839,38274.53
2020-06-30,1.839,1.947,1.821,1.947,24139.52
2020-07-01,1.947,2.07,1.994,2.07,49.3
2020-07-02,2.07,2.153,1.915,2.146,413.08
2020-07-03,2.146,2.135,2.133,2.135,20.01
2020-07-04,2.135,2.181,2.16,2.16,78.42
2020-07-05,2.16,2.148,2.107,2.107,32.7
2020-07-06,2.107,2.279,2.234,2.257,42.25
2020-07-07,2.257,2.234,2.146,2.146,72.1
2020-07-08,2.146,2.216,2.133,2.205,309.68
2020-07-09,2.205,2.16,1.93,1.944,416.57
2020-07-10,1.944,2.06,1.937,2.06,40.67
2020-07-11,0.0,0.0,0.0,0.0,0.0
2020-07-12,2.043,2.074,1.957,1.957,120.15
2020-07-13,1.957,2.01,1.77,1.786,376.31
2020-07-14,1.786,1.793,1.654,1.717,174.27
2020-07-15,1.717,1.827,1.697,1.805,125.68
2020-07-16,0.0,0.0,0.0,0.0,0.0
2020-07-17,1.769,1.883,1.763,1.883,95.42
2020-07-18,1.883,1.907,1.846,1.846,43.51
2020-07-19,1.846,1.924,1.872,1.897,148.78
2020-07-20,1.897,2.095,1.872,2.095,216.2
2020-07-21,2.095,2.224,2.08,2.111,425.34
2020-07-22,2.111,2.552,2.269,2.503,201.18
2020-07-23,2.503,2.941,2.61,2.941,202.66
2020-07-24,2.941,3.621,2.983,3.607,226.69
2020-07-25,3.607,4.643,3.943,4.331,669.86
2020-07-26,4.331,4.414,3.896,4.086,314.47
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-07-28,4.23,4.251,3.794,3.794,259.9
2020-07-29,3.794,3.953,3.803,3.867,81.55
2020-07-30,3.867,4.164,4.073,4.164,80.55
2020-07-31,4.164,4.328,4.245,4.252,111.48
2020-08-01,4.252,4.765,4.432,4.432,130.81
2020-08-02,4.432,4.433,4.255,4.4,66.27
2020-08-03,4.4,4.568,4.444,4.456,40.49
2020-08-04,4.456,4.502,4.327,4.327,145.24
2020-08-05,4.327,4.501,4.452,4.501,24.31
2020-08-06,0.0,0.0,0.0,0.0,0.0
2020-08-07,0.0,0.0,0.0,0.0,0.0
2020-08-08,0.0,0.0,0.0,0.0,0.0
2020-08-09,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0
2020-08-11,0.0,0.0,0.0,0.0,0.0
2020-08-12,0.0,0.0,0.0,0.0,0.0
2020-08-13,4.344,6.693,4.768,6.681,15364.92
2020-08-14,6.681,8.371,6.893,7.235,38684.9
2020-08-15,7.235,8.432,6.546,7.437,40341.52
2020-08-16,7.437,8.061,6.304,7.532,38681.3
2020-08-17,7.532,7.504,6.365,6.853,29694.14
2020-08-18,6.853,8.836,6.703,7.324,38976.51
2020-08-19,7.324,8.814,6.938,6.974,40292.24
2020-08-20,6.974,7.609,7.077,7.16,35095.47
2020-08-21,7.16,6.747,6.246,6.452,30393.31
2020-08-22,6.452,6.782,6.367,6.549,39424.88
2020-08-23,6.549,6.49,6.291,6.373,35665.21
2020-08-24,6.373,6.969,6.569,6.896,36422.44
2020-08-25,6.896,6.808,5.907,6.528,41047.87
2020-08-26,6.528,6.991,6.52,6.898,31394.98
2020-08-27,6.898,8.683,6.805,8.599,45769.25
2020-08-28,8.599,12.85,8.682,12.27,25452.57
2020-08-29,12.27,13.06,10.5,10.5,8817.67
2020-08-30,10.5,18.02,10.85,16.08,12116.74
2020-08-31,16.08,24.29,16.2,21.8,10681.94
2020-09-01,21.8,27.72,20.55,24.87,80493.16
2020-09-02,24.87,27.7,17.72,23.54,122399.45
2020-09-03,23.54,20.99,15.96,17.38,107880.61
2020-09-04,17.38,18.6,16.3,18.35,41642.19
2020-09-05,18.35,17.26,10.31,12.03,88984.6
2020-09-06,12.03,16.56,11.08,15.89,88239.75
2020-09-07,15.89,16.43,14.07,15.42,90399.02
2020-09-08,59.0,59.0,15.65,15.75,104532.12
2020-09-09,15.75,17.25,15.11,16.24,124872.4
2020-09-10,16.24,17.49,15.93,16.97,331773.26
2020-09-11,16.97,18.19,15.3,17.65,316122.54
2020-09-12,17.65,19.9,17.2,18.83,357229.73
2020-09-13,18.83,19.32,15.85,17.21,247304.57
2020-09-14,17.21,17.99,16.3,17.57,117364.73
2020-09-15,17.57,17.75,15.24,15.91,200561.89
2020-09-16,15.91,16.08,14.0,14.39,105721.97
2020-09-17,14.39,15.05,12.82,12.86,157346.83
2020-09-18,12.86,13.7,11.6,11.65,210844.77
2020-09-19,11.65,13.65,11.28,12.5,137020.21
2020-09-20,12.5,16.17,12.08,13.2,503502.43
2020-09-21,13.2,13.3,10.0,11.18,315200.59
2020-09-22,11.18,11.6,10.41,10.82,124247.47
2020-09-23,10.82,10.82,8.8,8.921,243159.8
2020-09-24,8.921,10.4,8.82,10.29,160204.54
2020-09-25,10.29,10.69,9.965,10.37,123694.99
2020-09-26,10.37,10.6,10.03,10.47,71049.4
2020-09-27,10.47,10.98,9.605,10.03,122085.73
2020-09-28,10.03,10.57,9.861,10.0,58830.54
2020-09-29,10.0,10.02,9.157,9.504,91395.43
2020-09-30,9.504,9.656,8.6,8.879,175670.61
2020-10-01,8.879,9.212,8.281,8.447,148813.24
2020-10-02,8.447,8.632,7.278,7.835,203148.48
2020-10-03,7.835,8.018,7.616,7.951,70004.59
2020-10-04,7.951,7.971,6.734,7.051,310860.72
2020-10-05,7.051,7.395,6.95,7.178,171029.13
2020-10-06,7.178,7.259,6.504,6.53,212034.24
2020-10-07,6.53,6.555,5.839,6.01,186295.71
2020-10-08,6.01,6.572,5.831,6.572,256515.39
2020-10-09,6.572,12.76,6.56,10.0,2763971.76
2020-10-10,10.0,10.26,8.834,8.939,671411.24
2020-10-11,8.939,9.713,8.466,8.78,397293.49
2020-10-12,8.78,9.999,8.648,9.442,283910.22
2020-10-13,9.442,9.72,8.69,9.207,193086.54
2020-10-14,9.207,9.233,8.136,8.372,144403.05
2020-10-15,8.372,8.425,7.76,8.17,113451.34
2020-10-16,8.17,8.201,7.508,7.618,113453.97
2020-10-17,7.618,7.849,7.324,7.444,121807.13
2020-10-18,7.444,10.25,7.33,9.164,697731.56
2020-10-19,9.164,9.413,8.377,8.549,279079.33
2020-10-20,8.549,8.797,8.02,8.085,180954.3
2020-10-21,8.085,8.656,7.931,8.151,248995.11
2020-10-22,8.151,8.499,7.959,8.209,119618.66
2020-10-23,8.209,8.252,7.814,8.045,92744.83
2020-10-24,8.045,8.353,7.939,8.238,77010.27
2020-10-25,8.26,8.212,7.722,7.818,511488.76
2020-10-26,7.818,8.008,7.423,7.684,335236.98
2020-10-27,7.684,8.073,7.164,7.239,1097233.92
2020-10-28,7.257,8.254,6.954,7.151,117078.94
2020-10-29,7.151,8.2,7.024,7.249,212392.11
2020-10-30,7.249,7.277,6.834,6.866,96140.83
2020-10-31,6.858,7.12,6.668,6.748,342316.21
2020-11-01,6.748,7.146,6.662,6.895,143139.45
2020-11-02,6.924,7.338,6.693,6.864,85735.57
2020-11-03,6.864,6.873,6.424,6.61,29662.89
2020-11-04,6.61,6.748,6.35,6.596,18839.17
2020-11-05,6.596,6.884,6.451,6.779,20703.83
2020-11-06,6.779,7.469,6.761,7.445,57441.71
2020-11-07,7.445,7.765,6.717,6.89,56305.16
2020-11-08,6.89,7.35,6.847,7.2,45041.0
2020-11-09,7.2,7.289,6.786,6.956,30910.51
2020-11-10,6.956,7.749,6.903,7.606,87516.95
2020-11-11,7.606,9.4,7.526,8.506,427645.14
2020-11-12,8.506,8.543,7.533,7.72,141772.35
2020-11-13,7.72,8.448,7.72,8.176,93744.17
2020-11-14,8.176,8.363,7.696,8.185,49071.36
2020-11-15,8.185,8.806,7.957,8.405,109104.31
2020-11-16,8.405,8.471,7.966,8.31,86342.76
2020-11-17,8.31,8.8,8.098,8.151,130027.21
2020-11-18,8.151,8.349,7.773,8.026,134056.67
2020-11-19,8.026,8.239,7.645,7.794,93200.47
2020-11-20,7.794,8.398,7.77,7.962,67882.96
2020-11-21,7.962,8.677,7.895,8.495,163241.72
2020-11-22,8.495,8.53,7.702,8.134,154780.68
2020-11-23,8.134,8.6,8.015,8.518,119401.78
2020-11-24,8.518,9.43,8.147,9.085,335339.28
2020-11-25,9.085,9.085,8.0,8.322,144537.29
2020-11-26,8.322,8.634,7.092,7.593,144600.84
2020-11-27,7.593,7.78,7.298,7.607,44359.84
2020-11-28,7.607,8.737,7.432,7.988,132658.13
2020-11-29,7.988,8.333,7.813,8.118,70899.25
2020-11-30,8.118,8.311,7.875,8.167,66118.53
2020-12-01,8.167,8.322,7.611,7.8,68278.3
2020-12-02,7.8,8.02,7.506,7.918,66410.84
2020-12-03,7.918,8.268,7.689,7.928,105851.76
2020-12-04,7.928,8.135,7.401,7.401,98538.18
2020-12-05,7.401,8.052,7.401,7.824,76866.82
2020-12-06,7.824,8.038,7.77,7.925,32154.35
2020-12-07,7.925,7.96,7.723,7.803,51213.59
2020-12-08,7.803,8.14,7.23,7.315,95950.18
2020-12-09,7.315,7.608,6.95,7.533,47951.0
2020-12-10,7.533,7.556,7.1,7.212,30155.47
2020-12-11,7.212,7.25,6.75,7.028,43545.25
2020-12-12,7.028,7.604,7.018,7.277,66193.5
2020-12-13,7.277,7.6,7.256,7.488,22927.24
2020-12-14,7.488,7.493,7.27,7.367,14686.62
2020-12-15,7.367,7.498,7.294,7.39,33638.43
2020-12-16,7.39,13.65,7.37,9.15,1899280.17
2020-12-17,9.15,9.52,8.601,8.601,386480.55
2020-12-18,8.601,8.657,8.139,8.471,152915.18
2020-12-19,8.471,8.666,7.952,8.144,184297.56
2020-12-20,8.144,8.158,7.618,7.764,123398.42
2020-12-21,7.764,10.49,7.5,9.338,874630.24
2020-12-22,9.338,14.0,8.273,8.993,3877721.37
2020-12-23,8.993,9.2,7.522,7.846,624939.56
2020-12-24,7.846,8.749,7.525,8.182,213914.1
2020-12-25,8.182,8.593,7.947,8.105,152735.72
2020-12-26,8.105,8.303,7.743,7.839,165702.02
2020-12-27,7.839,8.392,7.613,7.888,227404.86
2020-12-28,7.888,8.376,7.838,7.901,206886.03
2020-12-29,7.901,8.36,7.539,8.006,210213.65
2020-12-30,8.006,8.097,7.799,7.864,73188.87
2020-12-31,7.864,7.943,7.517,7.596,138137.03
2021-01-01,7.596,8.45,7.561,7.907,203109.5
2021-01-02,7.907,8.489,7.798,8.269,266039.31
2021-01-03,8.269,8.666,7.968,8.361,208386.78
2021-01-04,8.361,10.26,8.22,8.813,495753.46
2021-01-05,8.813,9.54,8.275,9.253,312096.46
2021-01-06,9.253,9.99,8.845,9.702,275820.33
2021-01-07,9.702,11.7,9.601,9.957,578289.3
2021-01-08,9.957,10.27,8.967,9.657,237357.38
2021-01-09,9.657,10.42,9.279,9.762,225038.57
2021-01-10,9.762,10.38,8.668,9.449,295603.95
2021-01-11,9.449,9.805,7.351,8.372,341219.34
2021-01-12,8.372,8.872,8.091,8.179,175125.44
2021-01-13,8.179,8.991,7.872,8.93,149960.59
2021-01-14,8.93,9.697,8.663,9.211,129410.05
2021-01-15,9.211,9.58,8.579,9.295,146698.57
2021-01-16,9.295,11.37,9.217,10.34,458152.34
2021-01-17,10.34,10.57,9.689,10.33,224144.05
2021-01-18,10.33,11.3,9.968,11.0,213812.11
2021-01-19,11.0,12.89,11.0,11.51,608273.05
2021-01-20,11.51,11.77,10.33,11.39,186980.7
2021-01-21,11.39,12.5,9.75,10.86,483530.12
2021-01-22,10.86,13.48,10.04,11.39,455853.67
2021-01-23,11.39,11.76,11.02,11.17,130247.85
2021-01-24,11.17,11.78,11.09,11.55,103887.75
2021-01-25,11.55,12.25,10.8,10.88,140509.62
2021-01-26,10.88,11.46,10.24,11.08,124892.92
2021-01-27,11.08,11.08,9.77,9.94,138412.86
2021-01-28,9.94,11.0,9.785,10.52,151971.49
2021-01-29,10.52,11.02,10.21,10.7,197904.64
2021-01-30,10.7,11.44,10.27,11.23,164034.31
2021-01-31,11.23,12.09,10.61,11.08,192450.79
2021-02-01,11.08,11.62,10.78,11.25,151266.11
2021-02-02,11.25,18.88,11.25,16.65,1220547.8
2021-02-03,16.65,41.31,14.5,26.59,5646177.86
2021-02-04,26.59,28.3,23.7,26.1,7087008.45
2021-02-05,34.76,34.76,34.06,34.06,455032.76
2021-02-06,32.12,34.25,27.39,29.84,379610.17
2021-02-07,29.84,30.73,27.78,28.39,173816.69
2021-02-08,28.39,36.75,28.52,28.7,236918.98
2021-02-09,28.7,29.49,27.82,28.92,169184.47
2021-02-10,28.92,31.43,27.75,28.82,213211.59
2021-02-11,32.67,32.67,28.78,28.78,266604.55
2021-02-12,29.43,29.43,29.18,29.18,987518.29
2021-02-13,31.31,31.31,31.15,31.15,626718.51
2021-02-14,31.15,31.15,29.74,29.74,409364.82
2021-02-15,29.74,29.74,28.98,28.98,603525.55
2021-02-16,28.98,28.98,26.25,26.25,315019.85
2021-02-17,26.25,26.25,25.64,25.64,408356.36
2021-02-18,25.64,27.73,25.64,27.73,343981.88
2021-02-19,27.73,27.73,27.52,27.52,258289.11
2021-02-20,27.52,27.52,25.71,25.71,642566.8
2021-02-21,25.71,26.92,25.71,26.92,306714.55
2021-02-22,26.92,26.92,25.0,25.16,536768.97
2021-02-23,25.16,25.16,17.31,21.8,928868.43
2021-02-24,21.8,24.41,20.69,22.14,505946.64
2021-02-25,22.14,22.6,19.59,19.65,359156.62
2021-02-26,19.65,21.13,18.5,19.78,371836.99
2021-02-27,19.78,21.68,19.49,20.39,309849.65
2021-02-28,20.39,20.48,17.48,19.52,308277.15
2021-03-01,19.52,20.95,19.27,20.75,249665.38
2021-03-02,20.75,23.05,20.29,21.26,347804.77
2021-03-03,21.26,22.8,21.04,21.82,284160.66
2021-03-04,21.82,22.45,20.15,20.88,261813.86
