date,open,high,low,close,volume
2020-06-15,1.536,1.552,1.232,1.478,1732.07
2020-06-16,1.478,1.494,1.244,1.439,1191.22
2020-06-17,1.439,1.488,1.361,1.488,941.79
2020-06-18,1.681,1.663,0.9712,1.503,2533.91
2020-06-19,1.503,1.642,1.447,1.464,1308.2
2020-06-20,1.489,1.501,1.478,1.491,1248.0
2020-06-21,1.491,1.487,1.302,1.432,1319.94
2020-06-22,1.579,1.686,1.411,1.411,1372.93
2020-06-23,1.467,1.489,1.396,1.459,394.27
2020-06-24,1.459,1.446,1.32,1.426,1074.0
2020-06-25,1.342,1.69,1.329,1.51,1238.24
2020-06-26,1.51,1.653,1.377,1.377,1298.0
2020-06-27,1.377,1.598,1.325,1.435,1189.21
2020-06-28,1.435,1.618,1.44,1.618,601.29
2020-06-29,1.563,1.58,1.502,1.509,1352.94
2020-06-30,1.504,1.489,1.489,1.489,576.12
2020-07-01,1.441,1.505,1.432,1.505,982.33
2020-07-02,1.82,1.784,1.45,1.45,589.45
2020-07-03,1.45,1.648,1.423,1.648,1192.12
2020-07-04,1.49,1.513,1.39,1.444,2297.32
2020-07-05,1.543,1.534,1.414,1.528,600.22
2020-07-06,1.528,1.62,1.499,1.604,598.06
2020-07-07,1.548,1.575,1.529,1.575,1497.72
2020-07-08,1.58,1.652,1.606,1.652,545.34
2020-07-09,1.605,1.652,1.571,1.639,753.37
2020-07-10,1.598,1.918,1.592,1.918,516.56
2020-07-11,1.627,1.632,1.477,1.494,4545.39
2020-07-12,1.72,1.751,1.578,1.751,530.32
2020-07-13,1.751,1.846,1.629,1.846,505.24
2020-07-14,1.846,1.911,1.611,1.911,508.69
2020-07-15,1.911,1.895,1.526,1.663,674.32
2020-07-16,1.568,1.785,1.507,1.523,5606.51
2020-07-17,1.523,1.724,1.527,1.693,826.87
2020-07-18,1.693,1.697,1.548,1.618,1153.91
2020-07-19,1.533,1.902,1.555,1.627,431.8
2020-07-20,1.628,1.669,1.464,1.642,2175.88
2020-07-21,1.877,1.955,1.574,1.574,906.44
2020-07-22,1.589,1.737,1.603,1.683,1892.95
2020-07-23,1.683,1.741,1.697,1.713,10406.64
2020-07-24,1.713,1.729,1.698,1.717,15170.65
2020-07-25,1.717,1.793,1.715,1.715,21633.39
2020-07-26,1.715,1.801,1.696,1.769,37034.48
2020-07-27,1.769,1.989,1.852,1.988,54635.55
2020-07-28,1.988,1.979,1.839,1.849,70744.87
2020-07-29,1.849,1.948,1.835,1.897,70559.8
2020-07-30,1.897,1.919,1.578,1.792,80299.77
2020-07-31,1.792,1.942,1.751,1.836,67061.08
2020-08-01,1.836,1.936,1.699,1.839,66598.93
2020-08-02,1.839,1.869,1.59,1.809,78576.35
2020-08-03,1.809,1.85,1.73,1.822,71951.49
2020-08-04,1.822,1.826,1.632,1.763,65609.56
2020-08-05,1.763,1.926,1.77,1.833,146766.85
2020-08-06,1.833,1.878,1.687,1.782,258767.39
2020-08-07,1.782,1.819,1.757,1.768,147353.01
2020-08-08,1.768,1.879,1.782,1.862,156634.67
2020-08-09,1.862,1.863,1.779,1.862,172454.04
2020-08-10,1.862,1.896,1.808,1.855,146189.77
2020-08-11,1.855,1.925,1.776,1.855,130258.84
2020-08-12,1.855,2.039,1.812,1.872,129463.22
2020-08-13,1.872,2.079,1.889,2.079,101126.79
2020-08-14,2.079,2.261,2.009,2.255,101834.85
2020-08-15,2.255,2.95,2.218,2.815,147983.74
2020-08-16,2.815,4.368,2.533,3.223,96916.94
2020-08-17,3.223,3.326,2.528,2.906,75646.53
2020-08-18,2.906,3.206,2.422,2.952,169814.68
2020-08-19,2.952,3.291,2.561,3.121,432437.85
2020-08-20,3.121,3.532,2.712,3.532,731902.53
2020-08-21,3.532,3.721,3.027,3.484,412911.62
