date,open,high,low,close,volume
2020-06-15,0.992,1.021,0.986,1.021,102.56
2020-06-16,1.021,1.021,0.991,1.003,87.96
2020-06-17,1.003,1.006,0.9934,1.003,62.09
2020-06-18,1.003,1.003,0.9862,0.9862,314.21
2020-06-19,0.9862,0.989,0.986,0.9862,191.74
2020-06-20,0.9862,1.002,0.9862,0.9944,51.76
2020-06-21,0.9944,0.9984,0.9944,0.9984,30.91
2020-06-22,0.9984,1.0,0.993,0.993,89.65
2020-06-23,0.993,1.002,0.993,1.002,21.69
2020-06-24,1.002,1.002,0.955,0.955,10.04
2020-06-25,0.955,1.043,0.955,1.03,84.8
2020-06-26,1.03,1.03,0.956,0.956,57.21
2020-06-27,0.956,0.958,0.951,0.951,127.46
2020-06-28,0.951,1.31,0.951,1.31,438.56
2020-06-29,1.31,1.31,1.299,1.299,26.16
2020-06-30,1.299,1.3,0.961,1.3,223.84
2020-07-01,1.3,1.3,0.983,1.047,170.22
2020-07-02,1.047,1.49,0.962,0.9856,16083.45
2020-07-03,0.9856,1.018,0.9856,1.015,225.58
2020-07-04,1.015,1.015,0.988,0.988,19.04
2020-07-05,0.988,1.44,0.95,1.004,117042.51
2020-07-06,1.004,1.06,0.96,0.9956,1254.75
2020-07-07,0.9956,1.021,0.9956,1.021,376.08
2020-07-08,1.021,1.2,0.946,0.9947,64023.39
2020-07-09,0.9947,1.03,0.9721,0.9721,504.18
2020-07-10,0.9721,1.018,0.953,0.96,540.0
2020-07-11,0.96,1.012,0.953,0.953,828.29
2020-07-12,0.953,0.9912,0.953,0.953,243.42
2020-07-13,0.953,0.98,0.953,0.9664,331.78
2020-07-14,0.9664,1.001,0.9615,1.001,408.35
2020-07-15,1.001,1.001,0.9732,1.001,524.13
2020-07-16,1.001,1.002,0.9737,1.002,437.18
2020-07-17,1.002,1.002,1.002,1.002,0.0
2020-07-18,1.002,1.005,1.002,1.005,21.65
2020-07-19,1.005,1.005,1.005,1.005,6.433
2020-07-20,1.005,1.023,1.005,1.023,131.39
2020-07-21,1.023,1.031,1.023,1.031,83.76
2020-07-22,1.031,1.031,0.9863,0.9863,25.0
2020-07-23,0.9863,1.05,0.9863,1.05,47.62
2020-07-24,1.05,1.056,1.05,1.056,84.63
2020-07-25,1.056,1.056,1.056,1.056,0.0
2020-07-26,1.056,1.087,1.056,1.087,48.0
2020-07-27,1.087,1.12,1.087,1.12,60.2
