date,open,high,low,close,volume
2020-06-15,1.176,1.185,1.093,1.167,619728.94
2020-06-16,1.167,1.295,1.164,1.256,820625.06
2020-06-17,1.256,1.291,1.218,1.261,600552.46
2020-06-18,1.261,1.264,1.227,1.237,496368.44
2020-06-19,1.237,1.249,1.207,1.217,456685.9
2020-06-20,1.217,1.232,1.186,1.209,368697.8
2020-06-21,1.209,1.228,1.204,1.209,354659.75
2020-06-22,1.209,1.235,1.205,1.226,390496.3
2020-06-23,1.226,1.262,1.226,1.239,348725.05
2020-06-24,1.239,1.259,1.173,1.193,392612.85
2020-06-25,1.193,1.207,1.159,1.185,432447.86
2020-06-26,1.185,1.185,1.153,1.157,400938.94
2020-06-27,1.157,1.172,1.083,1.114,404068.01
2020-06-28,1.114,1.153,1.104,1.14,350545.66
2020-06-29,1.14,1.165,1.124,1.144,233393.5
2020-06-30,1.144,1.148,1.118,1.122,360826.76
2020-07-01,1.122,1.165,1.117,1.152,367258.37
2020-07-02,1.152,1.187,1.117,1.126,358663.58
2020-07-03,1.126,1.136,1.121,1.122,350077.5
2020-07-04,1.122,1.135,1.116,1.132,365437.38
2020-07-05,1.132,1.133,1.103,1.117,365064.84
2020-07-06,1.117,1.159,1.115,1.158,370798.19
2020-07-07,1.158,1.174,1.142,1.166,372977.77
2020-07-08,1.166,1.216,1.159,1.21,443999.86
2020-07-09,1.21,1.22,1.157,1.17,428236.79
2020-07-10,1.17,1.199,1.137,1.16,436239.03
2020-07-11,1.16,1.2,1.158,1.196,392638.9
2020-07-12,1.196,1.227,1.187,1.213,395756.83
2020-07-13,1.213,1.22,1.171,1.184,400679.46
2020-07-14,1.184,1.315,1.17,1.315,583356.96
2020-07-15,1.315,1.413,1.291,1.321,626887.01
2020-07-16,1.321,1.547,1.215,1.35,1013305.44
2020-07-17,1.35,1.569,1.322,1.46,819031.74
2020-07-18,1.46,1.539,1.403,1.47,565695.65
2020-07-19,1.47,1.5,1.413,1.457,503616.09
2020-07-20,1.457,1.759,1.432,1.596,828679.57
2020-07-21,1.596,1.753,1.546,1.657,591760.71
2020-07-22,1.657,1.756,1.641,1.667,509216.78
2020-07-23,1.667,1.69,1.565,1.587,492223.46
2020-07-24,1.587,1.678,1.53,1.561,462597.22
2020-07-25,1.561,1.606,1.507,1.527,415590.42
2020-07-26,1.527,1.535,1.305,1.525,412379.33
2020-07-27,1.525,1.525,1.381,1.475,495655.0
2020-07-28,1.475,1.525,1.463,1.499,416351.56
2020-07-29,1.499,1.531,1.478,1.503,371601.59
2020-07-30,1.503,1.636,1.497,1.533,428219.65
2020-07-31,1.533,1.553,1.507,1.521,371516.17
2020-08-01,1.521,1.574,1.508,1.571,405612.07
2020-08-02,1.571,1.676,1.482,1.6,470951.85
2020-08-03,1.6,1.711,1.578,1.687,690326.51
2020-08-04,1.687,1.698,1.602,1.642,746053.06
2020-08-05,1.642,1.647,1.596,1.643,674236.05
2020-08-06,1.643,1.761,1.637,1.711,580358.73
2020-08-07,1.711,1.792,1.674,1.782,469642.29
2020-08-08,1.782,1.977,1.77,1.824,678259.9
2020-08-09,1.824,1.988,1.791,1.949,519095.36
2020-08-10,1.949,2.06,1.877,1.975,582750.46
2020-08-11,1.975,2.057,1.82,1.866,495287.96
2020-08-12,1.866,2.254,1.805,2.178,924227.52
2020-08-13,2.178,3.604,2.077,3.335,2072734.78
2020-08-14,3.335,4.101,2.974,3.502,1142532.32
2020-08-15,3.502,3.778,3.181,3.401,714759.55
2020-08-16,3.401,4.274,3.396,4.038,1039607.84
2020-08-17,4.038,4.878,4.03,4.406,1357075.69
2020-08-18,4.406,4.57,3.772,4.214,1110472.59
2020-08-19,4.214,4.517,3.661,3.811,879214.27
2020-08-20,3.811,4.045,3.75,3.861,633115.55
2020-08-21,3.861,3.875,3.171,3.186,989229.17
2020-08-22,3.186,3.514,2.893,3.401,746843.18
2020-08-23,3.401,3.667,3.193,3.492,619831.87
2020-08-24,3.492,3.762,3.378,3.65,581150.29
2020-08-25,3.65,3.657,3.102,3.235,616112.87
2020-08-26,3.235,3.357,3.141,3.26,482070.94
2020-08-27,3.26,3.296,2.973,3.1,447959.28
2020-08-28,3.1,3.521,3.061,3.371,511080.62
2020-08-29,3.371,3.555,3.287,3.371,462736.35
2020-08-30,3.371,3.481,3.299,3.376,417302.68
2020-08-31,3.376,3.76,3.369,3.602,483023.77
2020-09-01,3.602,3.87,3.526,3.534,542120.94
2020-09-02,3.534,3.586,3.024,3.278,523149.6
2020-09-03,3.278,3.337,2.425,2.486,485280.3
2020-09-04,2.486,2.827,2.331,2.63,348481.88
2020-09-05,2.63,2.714,2.13,2.303,427989.01
2020-09-06,2.303,2.525,2.199,2.474,383625.95
2020-09-07,2.474,2.495,2.232,2.4,391369.71
2020-09-08,2.4,2.477,2.231,2.312,368825.26
2020-09-09,2.312,2.463,2.256,2.397,400058.64
2020-09-10,2.397,2.53,2.39,2.434,433250.16
2020-09-11,2.434,2.506,2.365,2.498,315531.26
2020-09-12,2.498,2.651,2.454,2.608,436560.23
2020-09-13,2.608,3.145,2.542,3.059,574545.68
2020-09-14,3.059,3.09,2.797,2.882,509481.52
2020-09-15,2.882,2.897,2.472,2.487,579586.87
2020-09-16,2.487,2.555,2.33,2.553,482807.8
2020-09-17,2.553,2.641,2.448,2.551,400722.05
2020-09-18,2.551,2.568,2.386,2.445,419005.73
2020-09-19,2.445,2.584,2.433,2.541,394844.56
2020-09-20,2.541,2.573,2.383,2.435,385612.55
2020-09-21,2.435,2.456,2.116,2.153,319079.5
2020-09-22,2.153,2.248,2.124,2.216,386651.81
2020-09-23,2.216,2.561,2.117,2.171,513003.31
2020-09-24,2.171,2.375,2.151,2.366,397265.57
2020-09-25,2.366,2.395,2.315,2.389,364000.58
2020-09-26,2.389,2.527,2.37,2.514,395911.83
2020-09-27,2.514,2.535,2.401,2.484,365633.54
2020-09-28,2.484,2.508,2.384,2.411,367584.81
2020-09-29,2.411,2.469,2.387,2.45,327851.31
2020-09-30,2.45,2.57,2.439,2.57,296024.39
2020-10-01,2.57,2.785,2.461,2.626,389564.21
2020-10-02,2.626,2.626,2.318,2.452,409648.78
2020-10-03,2.452,2.498,2.397,2.422,280131.87
