date,open,high,low,close,volume
2020-06-15,7.917,8.066,7.336,7.471,148599.38
2020-06-16,7.471,7.827,7.523,7.704,76643.12
2020-06-17,7.704,7.674,7.412,7.473,59558.61
2020-06-18,7.473,7.461,7.276,7.368,50650.59
2020-06-19,7.368,7.516,7.177,7.428,79079.07
2020-06-20,7.428,7.509,7.23,7.251,45401.39
2020-06-21,7.251,7.228,7.079,7.094,34656.0
2020-06-22,7.094,7.417,6.891,6.909,127761.66
2020-06-23,6.909,7.151,6.617,7.083,120100.78
2020-06-24,7.083,6.88,6.53,6.613,72307.38
2020-06-25,6.613,6.797,6.491,6.797,56029.26
2020-06-26,6.797,7.236,6.578,7.13,132809.04
2020-06-27,7.13,7.41,6.544,6.625,155920.85
2020-06-28,6.625,7.066,6.543,6.93,81178.44
2020-06-29,6.93,7.012,6.611,6.822,53816.02
2020-06-30,6.822,6.935,6.505,6.763,81062.21
2020-07-01,6.763,7.123,6.739,6.837,72444.58
2020-07-02,6.837,6.761,6.459,6.56,56296.51
2020-07-03,6.56,6.662,6.368,6.592,37552.26
2020-07-04,6.592,6.816,6.637,6.703,37843.02
2020-07-05,6.703,6.691,6.418,6.456,30082.99
2020-07-06,6.456,7.034,6.631,7.007,79913.15
2020-07-07,7.007,7.008,6.774,6.852,77817.25
2020-07-08,6.852,7.049,6.801,6.917,93071.78
2020-07-09,6.917,7.541,6.728,7.463,210173.63
2020-07-10,7.463,7.918,7.283,7.331,176560.75
2020-07-11,7.331,7.53,7.218,7.232,94492.61
2020-07-12,7.232,7.502,7.158,7.227,96191.63
2020-07-13,7.227,7.691,7.078,7.497,144181.82
2020-07-14,7.497,7.559,7.018,7.181,96039.37
2020-07-15,7.181,7.669,7.078,7.456,164404.47
2020-07-16,7.456,7.645,7.126,7.549,156261.3
2020-07-17,7.549,7.596,7.404,7.439,56775.79
2020-07-18,7.439,7.591,7.313,7.506,50389.32
2020-07-19,7.535,8.6,7.576,8.114,131248.57
2020-07-20,8.151,8.51,7.912,8.104,182851.77
2020-07-21,8.104,8.566,7.98,8.076,110588.13
2020-07-22,8.076,8.407,8.089,8.104,72554.27
2020-07-23,8.104,9.177,8.167,8.746,202220.68
2020-07-24,8.746,9.579,8.608,9.451,221040.82
2020-07-25,9.451,9.656,9.004,9.103,101852.78
2020-07-26,9.103,9.385,8.734,9.383,136004.57
2020-07-27,9.383,10.47,8.501,8.74,204251.79
2020-07-28,8.74,8.806,8.069,8.4,148735.33
2020-07-29,8.4,8.687,7.993,8.125,106786.02
2020-07-30,8.125,8.477,8.104,8.203,70098.41
2020-07-31,8.203,8.589,7.959,8.098,56362.97
2020-08-01,8.098,9.516,8.306,8.884,190028.88
2020-08-02,8.884,8.686,8.139,8.477,123179.68
2020-08-03,8.477,9.037,8.393,8.905,107407.0
2020-08-04,8.905,9.119,8.782,8.99,59001.73
2020-08-05,8.99,9.493,8.995,9.311,88406.29
2020-08-06,9.311,9.688,9.225,9.524,79435.63
2020-08-07,9.524,9.969,9.338,9.859,111288.13
2020-08-08,9.859,11.54,9.995,10.91,234815.85
2020-08-09,10.91,11.25,10.27,10.47,128794.6
2020-08-10,10.47,10.92,10.1,10.35,128666.07
2020-08-11,10.35,10.68,9.768,10.54,186964.99
2020-08-12,10.54,11.18,10.33,10.5,180506.06
2020-08-13,10.5,10.76,10.18,10.28,112244.61
2020-08-14,10.28,10.66,10.15,10.48,60727.24
2020-08-15,10.48,10.6,9.862,10.06,61456.14
2020-08-16,10.06,10.16,9.681,9.994,94540.2
2020-08-17,9.994,10.56,9.847,10.05,70025.11
2020-08-18,10.05,9.903,9.344,9.47,60975.12
2020-08-19,9.47,9.489,8.83,9.055,70802.97
2020-08-20,9.055,9.6,9.096,9.555,49743.71
2020-08-21,9.555,10.55,9.259,9.593,241770.72
2020-08-22,9.593,10.27,9.3,9.77,126601.98
2020-08-23,9.77,9.819,9.216,9.343,56376.44
2020-08-24,9.343,9.503,9.281,9.464,52204.81
2020-08-25,9.464,9.166,8.517,8.743,68071.13
2020-08-26,8.743,9.032,8.777,8.795,54406.09
2020-08-27,8.795,8.778,8.283,8.342,57317.99
2020-08-28,8.342,8.728,8.33,8.338,131058.89
2020-08-29,8.338,8.546,8.284,8.497,65316.85
2020-08-30,8.497,8.908,8.527,8.723,91350.9
2020-08-31,8.723,8.756,8.441,8.495,60166.96
2020-09-01,8.495,8.968,8.363,8.848,97685.34
2020-09-02,8.848,8.567,8.046,8.449,100321.26
2020-09-03,8.449,7.558,6.343,6.504,123972.65
2020-09-04,6.504,7.25,6.635,6.997,45365.25
2020-09-05,6.997,6.94,5.722,6.007,70998.0
2020-09-06,6.007,6.476,5.794,6.368,57831.21
2020-09-07,6.368,6.461,6.13,6.293,38131.77
2020-09-08,6.293,6.231,5.822,5.929,59455.52
2020-09-09,5.929,6.153,5.866,6.077,48803.21
2020-09-10,6.077,6.462,6.114,6.29,50465.07
2020-09-11,6.29,6.66,6.125,6.526,70049.92
2020-09-12,6.526,6.71,6.486,6.615,46335.15
2020-09-13,6.615,6.558,6.067,6.29,68432.65
2020-09-14,6.29,6.517,6.279,6.314,38876.86
2020-09-15,6.314,6.483,6.085,6.149,41461.05
2020-09-16,6.149,6.313,6.063,6.146,44260.3
2020-09-17,6.146,6.287,6.099,6.127,28823.87
2020-09-18,6.127,6.296,6.01,6.045,54385.89
2020-09-19,6.045,6.128,5.898,5.919,39165.78
2020-09-20,5.919,6.012,5.774,5.849,31040.09
2020-09-21,5.849,5.723,5.373,5.429,33665.18
2020-09-22,5.429,5.643,5.318,5.557,43506.8
2020-09-23,5.557,5.683,5.33,5.368,33974.66
2020-09-24,5.368,6.079,5.58,5.937,39246.85
2020-09-25,5.937,6.083,5.78,5.981,41029.19
2020-09-26,5.981,6.028,5.833,5.912,26045.3
2020-09-27,5.912,5.984,5.656,5.717,32951.88
2020-09-28,5.717,5.786,5.602,5.603,34697.7
2020-09-29,5.603,5.717,5.578,5.593,24193.31
2020-09-30,5.593,5.771,5.555,5.704,38200.21
2020-10-01,5.704,5.84,5.361,5.445,86592.93
2020-10-02,5.445,5.46,5.12,5.283,50024.92
2020-10-03,5.26,5.371,5.216,5.33,24128.19
2020-10-04,5.321,5.432,5.282,5.328,23842.14
2020-10-05,5.328,5.525,5.377,5.403,27305.67
2020-10-06,5.403,5.345,5.167,5.199,38326.85
2020-10-07,5.199,5.243,5.109,5.12,37465.84
2020-10-08,5.12,5.344,5.234,5.304,34451.93
2020-10-09,5.304,5.501,5.236,5.498,49240.6
2020-10-10,5.498,5.624,5.476,5.569,26267.09
2020-10-11,5.569,7.949,5.556,6.883,310720.73
2020-10-12,6.883,7.091,6.143,6.161,256074.83
2020-10-13,6.161,6.235,6.048,6.152,69159.56
2020-10-14,6.152,6.346,5.942,5.949,67767.9
2020-10-15,5.949,6.778,5.872,6.122,151593.1
2020-10-16,6.122,6.219,5.879,6.057,70063.12
2020-10-17,6.057,6.273,5.904,5.937,52740.89
2020-10-18,5.937,6.073,5.964,5.998,31594.68
2020-10-19,5.998,6.135,5.749,5.777,43514.68
2020-10-20,5.777,5.957,5.402,5.521,84977.42
2020-10-21,5.521,6.23,5.604,5.675,51998.85
2020-10-22,5.675,5.966,5.701,5.878,41786.08
2020-10-23,5.878,5.899,5.709,5.752,28363.14
2020-10-24,5.752,5.875,5.737,5.782,26929.19
2020-10-25,5.782,5.815,5.634,5.679,32261.7
2020-10-26,5.679,5.792,5.639,5.672,37380.02
2020-10-27,5.672,5.991,5.407,5.461,44212.05
2020-10-28,5.461,5.364,5.163,5.322,18281.65
2020-10-29,5.322,6.043,5.367,5.56,65993.55
2020-10-30,5.56,5.607,5.287,5.422,66076.51
2020-10-31,5.422,5.847,5.434,5.617,44450.46
2020-11-01,5.617,5.624,5.51,5.582,29575.59
2020-11-02,5.582,5.616,5.469,5.56,36649.8
2020-11-03,5.56,5.765,5.482,5.503,30352.93
2020-11-04,5.503,5.679,5.168,5.176,23415.62
