date,open,high,low,close,volume
2020-06-15,0.0229,0.0258,0.0206,0.0253,92659661.57
2020-06-16,0.0253,0.0267,0.0242,0.0253,55206982.64
2020-06-17,0.0253,0.0253,0.023,0.0233,53590483.05
2020-06-18,0.0233,0.0234,0.0201,0.0208,147975482.86
2020-06-19,0.0208,0.0221,0.0183,0.0188,186469930.31
2020-06-20,0.0188,0.0195,0.0175,0.0192,179596105.43
2020-06-21,0.0192,0.0213,0.0192,0.01985,176396625.56
2020-06-22,0.01985,0.0206,0.0193,0.02,119660514.49
2020-06-23,0.02,0.0202,0.0188,0.0194,86833585.76
2020-06-24,0.0194,0.0205,0.0188,0.0195,100263507.85
2020-06-25,0.0195,0.0198,0.0187,0.0189,69427904.66
2020-06-26,0.0189,0.019,0.0177,0.0179,64172029.81
2020-06-27,0.0179,0.0179,0.01515,0.0159,167500371.83
2020-06-28,0.0159,0.0186,0.0157,0.018,189705693.95
2020-06-29,0.018,0.0189,0.017,0.0181,84198482.06
2020-06-30,0.0181,0.0181,0.0172,0.0174,62493705.56
2020-07-01,0.0174,0.0179,0.0169,0.0174,103628516.2
2020-07-02,0.0174,0.018,0.0165,0.0174,85475656.18
2020-07-03,0.0174,0.0175,0.0165,0.01709,66028593.88
2020-07-04,0.01709,0.0196,0.0169,0.01911,164683740.62
2020-07-05,0.01911,0.0194,0.0179,0.0186,147709411.95
2020-07-06,0.0186,0.0194,0.0184,0.0191,105845472.19
2020-07-07,0.0191,0.0208,0.0187,0.0203,149433475.79
2020-07-08,0.0203,0.0215,0.0202,0.0208,158379523.23
2020-07-09,0.0208,0.021,0.0193,0.0198,50911878.47
2020-07-10,0.0198,0.0201,0.0187,0.0198,63840605.54
2020-07-11,0.0198,0.0205,0.0195,0.0199,51502233.31
2020-07-12,0.0199,0.0201,0.01925,0.0195,57063093.21
2020-07-13,0.0195,0.021,0.0189,0.0201,107518350.11
2020-07-14,0.0201,0.02025,0.0192,0.0199,58300619.94
2020-07-15,0.0199,0.0201,0.019,0.0191,46327562.38
2020-07-16,0.0191,0.0191,0.0172,0.018,90270645.9
2020-07-17,0.018,0.0186,0.0177,0.0182,51230577.88
2020-07-18,0.0182,0.01822,0.0177,0.018,23244362.88
2020-07-19,0.018,0.0183,0.0175,0.0179,26136027.36
2020-07-20,0.0179,0.018,0.0169,0.0173,33146891.97
2020-07-21,0.0173,0.0183,0.0173,0.0179,39572655.76
2020-07-22,0.0179,0.0191,0.0176,0.0191,43062886.46
2020-07-23,0.0191,0.01981,0.0186,0.01959,58571913.33
2020-07-24,0.01959,0.0197,0.0182,0.0185,30344274.43
2020-07-25,0.0185,0.0188,0.0183,0.0185,22416999.92
2020-07-26,0.0185,0.0186,0.0178,0.0179,23574186.28
2020-07-27,0.0179,0.0181,0.01621,0.0169,39535817.81
2020-07-28,0.0169,0.0181,0.0167,0.018,27430171.99
2020-07-29,0.018,0.0185,0.0176,0.0177,17958609.74
2020-07-30,0.0177,0.0199,0.0175,0.0182,36601205.95
2020-07-31,0.0182,0.019,0.0178,0.018,19488975.1
2020-08-01,0.018,0.0188,0.0179,0.0187,24439765.25
2020-08-02,0.0187,0.0189,0.01641,0.0179,31342203.37
2020-08-03,0.0179,0.0184,0.0174,0.0176,20264752.33
2020-08-04,0.0176,0.0185,0.0176,0.0185,15186069.98
2020-08-05,0.0185,0.0198,0.0182,0.0197,34799378.1
2020-08-06,0.0197,0.021,0.0195,0.0201,54629187.76
2020-08-07,0.0201,0.0228,0.02,0.0218,40897105.31
2020-08-08,0.0218,0.0269,0.0213,0.0264,118536379.09
2020-08-09,0.0264,0.0264,0.0233,0.0252,74488166.37
2020-08-10,0.0252,0.026,0.02305,0.025,56952352.43
2020-08-11,0.025,0.0284,0.0239,0.0262,120250975.39
2020-08-12,0.0262,0.0268,0.02349,0.0256,66154161.17
2020-08-13,0.0256,0.0273,0.0247,0.0255,60510521.32
2020-08-14,0.0255,0.0266,0.0248,0.0251,40435726.96
2020-08-15,0.0251,0.0255,0.0237,0.0248,27873657.19
2020-08-16,0.0248,0.0275,0.0246,0.0263,56975388.33
2020-08-17,0.0263,0.0269,0.02492,0.0253,27038710.52
2020-08-18,0.0253,0.0258,0.02261,0.0232,27913998.04
2020-08-19,0.0232,0.0239,0.0206,0.0219,37381200.29
2020-08-20,0.0219,0.0232,0.0217,0.0228,23267173.13
2020-08-21,0.0228,0.0247,0.021,0.0211,33415298.7
2020-08-22,0.0211,0.022,0.02011,0.0219,27431746.73
2020-08-23,0.0219,0.0222,0.0208,0.0215,15701598.17
2020-08-24,0.0215,0.0244,0.0211,0.0238,35136296.23
2020-08-25,0.0238,0.0242,0.0205,0.0214,27685920.28
2020-08-26,0.0214,0.0226,0.0209,0.0223,17279584.26
2020-08-27,0.0223,0.0225,0.0194,0.0203,22202014.75
2020-08-28,0.0203,0.0212,0.02,0.0209,10702333.27
2020-08-29,0.0209,0.0214,0.0205,0.0209,7329016.78
2020-08-30,0.0209,0.0234,0.0208,0.0232,14997491.7
